Date,Time,Open,High,Low,Close
"2017-10-30","00:00",945.145,946.641,943.239,945.741
"2017-10-31","00:00",945.739,945.903,940.719,942.165
"2017-11-01","00:00",942.163,947.71,941.356,945.645
"2017-11-02","00:00",945.646,952.488,945.225,951.514
"2017-11-03","00:00",951.513,951.531,942.856,943.709
"2017-11-06","00:00",943.528,946.028,943.07,945.421
"2017-11-07","00:00",945.42,947.144,941.086,942.29
"2017-11-08","00:00",942.292,946.28,941.388,946.022
"2017-11-09","00:00",946.023,947.138,941.627,943.506
"2017-11-10","00:00",943.505,944.797,939.335,940.197
"2017-11-13","00:00",939.972,942.273,936.037,936.539
"2017-11-14","00:00",936.539,939.403,934.558,935.52
"2017-11-15","00:00",935.519,935.675,927.633,930.073
"2017-11-16","00:00",930.072,932.491,928.031,929.564
"2017-11-17","00:00",929.565,929.66,922.405,925.028
"2017-11-20","00:00",924.906,926.36,923.195,925.575
"2017-11-21","00:00",925.575,928.915,923.022,928.264
"2017-11-22","00:00",928.268,929,923.92,926.914
"2017-11-23","00:00",926.912,928.867,925.682,927.946
"2017-11-24","00:00",927.944,928.789,925.181,925.764
"2017-11-27","00:00",925.512,927.974,923.282,925.219
"2017-11-28","00:00",925.217,928.938,923.869,926.957
"2017-11-29","00:00",926.962,926.964,921.525,922.683
"2017-11-30","00:00",922.684,925.018,920.515,921.336
"2017-12-01","00:00",921.332,926.736,919.974,924.265
"2017-12-04","00:00",923.562,926.446,923.276,924.291
"2017-12-05","00:00",924.289,930.89,924.279,925.978
"2017-12-06","00:00",925.978,929.4,921.535,923.259
"2017-12-07","00:00",923.262,923.501,917.449,918.135
"2017-12-08","00:00",918.138,921.533,917.556,919.426
"2017-12-11","00:00",919.578,923.581,919.365,922.597
"2017-12-12","00:00",922.604,928.326,921.537,927.105
"2017-12-13","00:00",927.108,932.765,926.199,931.332
"2017-12-14","00:00",931.333,937.16,931.184,935.367
"2017-12-15","00:00",935.362,937.932,934.679,936.203
"2017-12-18","00:00",936.921,938.613,936.121,937.226
"2017-12-19","00:00",937.21,938.93,935.63,935.643
"2017-12-20","00:00",935.666,938.581,935.601,937.186
"2017-12-21","00:00",937.18,940.568,935.551,940.522
"2017-12-22","00:00",940.531,942.961,940.488,941.365
"2017-12-26","00:00",942.087,942.583,941.149,942.546
"2017-12-27","00:00",942.562,946.991,942.56,946.183
"2017-12-28","00:00",946.19,947.77,944.711,945.699
"2017-12-29","00:00",945.709,946.679,944.034,944.327
"2018-01-02","00:00",943.914,948.523,943.183,944.123
"2018-01-03","00:00",944.146,948.225,941.873,946.847
"2018-01-04","00:00",946.856,949.75,945.64,949.312
"2018-01-05","00:00",949.307,950.157,946.586,950.039
"2018-01-08","00:00",948.032,949.016,945.886,947.766
"2018-01-09","00:00",947.768,949.261,944.83,945.121
"2018-01-10","00:00",945.126,1100.947,846.198,947.936
"2018-01-11","00:00",947.935,953.53,947.289,950.448
"2018-01-12","00:00",950.453,951.48,943.946,947.539
"2018-01-15","00:00",946.958,951.144,946.777,949.764
"2018-01-16","00:00",949.764,951.557,948.685,950.435
"2018-01-17","00:00",950.435,955.521,949.301,953.508
"2018-01-18","00:00",953.478,955.573,950.393,954.795
"2018-01-19","00:00",954.791,956.408,953.352,955.052
"2018-01-22","00:00",954.512,956.107,952.891,953.973
"2018-01-23","00:00",953.986,955.729,948.616,950.209
"2018-01-24","00:00",950.245,954.79,948.157,949.245
"2018-01-25","00:00",949.23,953.332,946.646,948.79
"2018-01-26","00:00",948.774,956.597,948.212,955.752
"2018-01-29","00:00",955.602,956.689,953.205,955.935
"2018-01-30","00:00",955.936,956.677,951.493,954.477
"2018-01-31","00:00",954.465,954.874,947.682,949.334
"2018-02-01","00:00",949.331,949.74,941.518,944.326
"2018-02-02","00:00",944.333,944.432,936.966,937.583
"2018-02-05","00:00",935.227,942.141,934.501,935.215
"2018-02-06","00:00",935.202,939.155,929.831,937.303
"2018-02-07","00:00",937.293,938.412,930.877,930.96
"2018-02-08","00:00",930.969,934.15,924.732,926.378
"2018-02-09","00:00",926.368,933.339,923.909,930.215
"2018-02-12","00:00",932.174,936.232,930.089,935.292
"2018-02-13","00:00",935.328,937.486,929.449,932.95
"2018-02-14","00:00",932.946,935.633,924.048,933.811
"2018-02-15","00:00",933.813,937.011,929.1,932.926
"2018-02-16","00:00",932.908,937.094,931.567,932.808
"2018-02-19","00:00",932.954,935.521,932.884,934.281
"2018-02-20","00:00",934.283,937.628,932.768,934.183
"2018-02-21","00:00",934.195,936.282,927.281,927.384
"2018-02-22","00:00",927.382,932.39,926.153,929.948
"2018-02-23","00:00",929.934,930.424,926.094,929.006
"2018-02-26","00:00",929.789,933.062,928.402,931.284
"2018-02-27","00:00",931.288,932.617,927.388,928.599
"2018-02-28","00:00",928.6,931.95,926.128,927.085
"2018-03-01","00:00",927.08,927.447,921.876,924.906
"2018-03-02","00:00",924.912,925.877,920.754,923.377
"2018-03-05","00:00",922.627,926.1,920.819,925.239
"2018-03-06","00:00",925.23,930.702,922.936,924.272
"2018-03-07","00:00",924.276,929.717,922.685,929.506
"2018-03-08","00:00",929.507,930.732,926.265,928.511
"2018-03-09","00:00",928.499,934.49,927.514,934.152
"2018-03-12","00:00",935.734,936.653,934.588,935.243
"2018-03-13","00:00",935.255,938.548,933.013,934.214
"2018-03-14","00:00",934.199,940.081,933.809,936.282
"2018-03-15","00:00",936.269,936.655,928.494,928.593
"2018-03-16","00:00",928.581,929.343,919.409,919.914
"2018-03-19","00:00",920.279,920.729,915.585,917.163
"2018-03-20","00:00",917.159,919.684,915.611,917.257
"2018-03-21","00:00",917.256,921.592,913.094,920.659
"2018-03-22","00:00",920.635,921.093,909.714,910.756
"2018-03-23","00:00",910.752,914.473,909.18,909.584
"2018-03-26","00:00",910.663,914.21,909.462,913.866
"2018-03-27","00:00",913.89,914.248,906.334,907.748
"2018-03-28","00:00",907.745,911.12,905.122,910.262
"2018-03-29","00:00",910.248,913.26,908.129,913.029
"2018-03-30","00:00",913.072,914.415,911.186,912.134
"2018-04-02","00:00",912.317,913.365,907.901,908.335
"2018-04-03","00:00",908.335,913.924,908.326,911.165
"2018-04-04","00:00",911.175,916.045,908.339,915.252
"2018-04-05","00:00",915.241,915.595,910.226,911.502
"2018-04-06","00:00",911.502,914.733,909.613,910.389
"2018-04-09","00:00",911.161,913.196,908.346,910.854
"2018-04-10","00:00",910.85,917.344,910.07,916.278
"2018-04-11","00:00",916.285,916.765,913.118,915.06
"2018-04-12","00:00",915.055,916.453,913.853,915.478
"2018-04-13","00:00",915.493,921.569,915.493,916.795
"2018-04-16","00:00",917.793,918.439,914.413,914.738
"2018-04-17","00:00",914.746,916.044,913.166,914.373
"2018-04-18","00:00",914.367,920.214,913.336,919.512
"2018-04-19","00:00",919.505,922.354,913.731,914.321
"2018-04-20","00:00",914.308,915.144,910.232,912.095
"2018-04-23","00:00",911.313,913.552,908.664,908.916
"2018-04-24","00:00",908.917,910.301,906.894,907.948
"2018-04-25","00:00",907.957,907.957,904.931,906.435
"2018-04-26","00:00",906.433,907.48,905.488,906.204
"2018-04-27","00:00",906.21,910.152,904.618,909.774
"2018-04-30","00:00",909.448,910.142,904.799,905.306
"2018-05-01","00:00",905.317,907.271,903.656,903.911
"2018-05-02","00:00",903.909,908.715,903.306,906.085
"2018-05-03","00:00",906.089,910.124,906.007,908.903
"2018-05-04","00:00",908.911,912.21,907.363,911.041
"2018-05-07","00:00",909.452,910.607,907.237,908.77
"2018-05-08","00:00",908.824,909.596,902.351,902.358
"2018-05-09","00:00",902.361,904.819,900.59,904.001
"2018-05-10","00:00",904.003,910.926,903.527,909.717
"2018-05-11","00:00",909.753,912.579,909.032,911.294
"2018-05-14","00:00",911.706,912.766,909.505,909.902
"2018-05-15","00:00",909.913,910.93,906.368,907.33
"2018-05-16","00:00",907.331,912.667,905.19,911.632
"2018-05-17","00:00",911.596,914.388,910.808,912.586
"2018-05-18","00:00",912.581,915.193,912.406,914.73
"2018-05-21","00:00",916.25,923.046,915.759,922.356
"2018-05-22","00:00",922.349,924.629,921.442,921.993
"2018-05-23","00:00",922.001,922.547,916.898,921.528
"2018-05-24","00:00",921.534,922.769,918.872,921.523
"2018-05-25","00:00",921.527,925.034,921.023,922.371
"2018-05-28","00:00",923.18,924.913,922.036,922.604
"2018-05-29","00:00",922.591,922.891,915.298,916.003
"2018-05-30","00:00",916.011,924.22,916.011,922.835
"2018-05-31","00:00",922.821,925.047,920.519,922.127
"2018-06-01","00:00",922.138,924.718,919.18,924.047
"2018-06-04","00:00",923.902,934.768,923.874,934.303
"2018-06-05","00:00",934.298,934.749,928.205,929.345
"2018-06-06","00:00",929.345,935.174,929.295,933.628
"2018-06-07","00:00",933.632,934.249,926.93,927.395
"2018-06-08","00:00",927.405,928.569,921.458,925.314
"2018-06-11","00:00",925.421,928.707,924.609,928.151
"2018-06-12","00:00",928.155,930.537,924.729,925.419
"2018-06-13","00:00",925.426,928.041,922.152,922.92
"2018-06-14","00:00",922.917,924.621,918.274,918.388
"2018-06-15","00:00",918.388,919.566,915.32,915.32
"2018-06-18","00:00",915.744,917.439,909.587,910.151
"2018-06-19","00:00",910.159,912.799,905.449,911.124
"2018-06-20","00:00",911.117,913.959,908.922,909.965
"2018-06-21","00:00",909.973,911.932,907.958,908.577
"2018-06-22","00:00",908.567,915.334,908.433,914.765
"2018-06-25","00:00",914.674,914.674,908.492,909.854
"2018-06-26","00:00",909.855,911.111,908.019,910.145
"2018-06-27","00:00",910.148,912.634,906.127,907.197
"2018-06-28","00:00",907.188,909.597,906.367,908.053
"2018-06-29","00:00",908.045,911.752,906.828,909.967
"2018-07-02","00:00",909.522,910.364,902.316,904.435
"2018-07-03","00:00",904.429,910.732,902.34,907.071
"2018-07-04","00:00",907.024,911.645,906.613,906.758
"2018-07-05","00:00",906.762,908.821,904.873,907.287
"2018-07-06","00:00",907.293,912.292,906.578,909.926
"2018-07-09","00:00",910.75,916.794,910.509,916.345
"2018-07-10","00:00",916.359,918.291,910.077,910.396
"2018-07-11","00:00",910.395,912.201,907.887,908.424
