Date,Time,Open,High,Low,Close
"2017-10-30","00:00",945.145,945.145,944.949,944.949
"2017-10-30","00:01",944.947,944.979,944.909,944.914
"2017-10-30","00:02",944.91,945.08,944.906,945.068
"2017-10-30","00:03",945.052,945.086,945.052,945.085
"2017-10-30","00:04",945.089,945.213,945.089,945.165
"2017-10-30","00:05",945.166,945.285,945.166,945.243
"2017-10-30","00:06",945.235,945.254,945.133,945.19
"2017-10-30","00:07",945.183,945.35,945.183,945.349
"2017-10-30","00:08",945.349,945.379,945.28,945.364
"2017-10-30","00:09",945.371,945.408,945.333,945.381
"2017-10-30","00:10",945.382,945.441,945.317,945.425
"2017-10-30","00:11",945.423,945.426,945.275,945.277
"2017-10-30","00:12",945.267,945.326,945.253,945.3
"2017-10-30","00:13",945.298,945.313,945.193,945.195
"2017-10-30","00:14",945.187,945.395,945.187,945.395
"2017-10-30","00:15",945.394,945.419,945.384,945.392
"2017-10-30","00:16",945.373,945.373,945.31,945.365
"2017-10-30","00:17",945.365,945.375,945.337,945.37
"2017-10-30","00:18",945.377,945.515,945.375,945.515
"2017-10-30","00:19",945.515,945.598,945.511,945.559
"2017-10-30","00:20",945.574,945.702,945.557,945.677
"2017-10-30","00:21",945.673,945.744,945.623,945.623
"2017-10-30","00:22",945.622,945.65,945.563,945.576
"2017-10-30","00:23",945.579,945.699,945.563,945.688
"2017-10-30","00:24",945.689,945.703,945.57,945.592
"2017-10-30","00:25",945.592,945.604,945.525,945.585
"2017-10-30","00:26",945.584,945.645,945.581,945.625
"2017-10-30","00:27",945.624,945.626,945.332,945.431
"2017-10-30","00:28",945.438,945.566,945.404,945.426
"2017-10-30","00:29",945.429,945.499,945.417,945.46
"2017-10-30","00:30",945.46,945.5,945.348,945.373
"2017-10-30","00:31",945.38,945.488,945.328,945.404
"2017-10-30","00:32",945.401,945.497,945.401,945.449
"2017-10-30","00:33",945.439,945.591,945.432,945.585
"2017-10-30","00:34",945.586,945.607,945.494,945.607
"2017-10-30","00:35",945.612,945.69,945.601,945.659
"2017-10-30","00:36",945.655,945.665,945.558,945.56
"2017-10-30","00:37",945.561,945.561,945.432,945.523
"2017-10-30","00:38",945.49,945.54,945.424,945.432
"2017-10-30","00:39",945.431,945.609,945.424,945.609
"2017-10-30","00:40",945.615,945.617,945.48,945.502
"2017-10-30","00:41",945.5,945.585,945.421,945.585
"2017-10-30","00:42",945.585,945.675,945.562,945.617
"2017-10-30","00:43",945.615,945.761,945.596,945.746
"2017-10-30","00:44",945.747,945.865,945.747,945.815
"2017-10-30","00:45",945.797,945.867,945.752,945.849
"2017-10-30","00:46",945.856,946.003,945.856,945.997
"2017-10-30","00:47",945.996,946.093,945.975,946.089
"2017-10-30","00:48",946.087,946.152,946.029,946.152
"2017-10-30","00:49",946.15,946.165,946.036,946.164
"2017-10-30","00:50",946.169,946.197,946.107,946.196
"2017-10-30","00:51",946.197,946.243,945.945,945.947
"2017-10-30","00:52",945.951,945.991,945.895,945.895
"2017-10-30","00:53",945.889,946.069,945.888,946.027
"2017-10-30","00:54",946.052,946.181,945.946,946.181
