Date,Time,Open,High,Low,Close
"2017-10-30","00:00",0.98362,0.9875,0.98344,0.98715
"2017-10-31","00:00",0.98715,0.98887,0.98334,0.98753
"2017-11-01","00:00",0.98753,0.99172,0.98654,0.9882
"2017-11-02","00:00",0.9882,0.99148,0.98769,0.988
"2017-11-03","00:00",0.988,0.988,0.97555,0.9766
"2017-11-06","00:00",0.9763,0.97909,0.9758,0.97739
"2017-11-07","00:00",0.97739,0.97881,0.97535,0.97695
"2017-11-08","00:00",0.97696,0.97836,0.97608,0.97737
"2017-11-09","00:00",0.97737,0.97853,0.97233,0.97407
"2017-11-10","00:00",0.97407,0.97481,0.97082,0.97144
"2017-11-13","00:00",0.97062,0.97226,0.96908,0.96996
"2017-11-14","00:00",0.96996,0.97328,0.96988,0.9719
"2017-11-15","00:00",0.9719,0.97231,0.96391,0.96921
"2017-11-16","00:00",0.96921,0.97143,0.96636,0.96798
"2017-11-17","00:00",0.968,0.96824,0.96125,0.96584
"2017-11-20","00:00",0.96636,0.96803,0.96447,0.968
"2017-11-21","00:00",0.968,0.9713,0.96497,0.96889
"2017-11-22","00:00",0.9689,0.96942,0.96366,0.9674
"2017-11-23","00:00",0.96737,0.97043,0.96563,0.96936
"2017-11-24","00:00",0.96936,0.97018,0.96655,0.9682
"2017-11-27","00:00",0.96782,0.97143,0.96593,0.97063
"2017-11-28","00:00",0.97063,0.97569,0.96998,0.97473
"2017-11-29","00:00",0.97473,0.97474,0.97052,0.97339
"2017-11-30","00:00",0.9734,0.97847,0.97264,0.97511
"2017-12-01","00:00",0.97511,0.97681,0.9653,0.96605
"2017-12-04","00:00",0.96512,0.96742,0.96269,0.96393
"2017-12-05","00:00",0.96393,0.96929,0.96355,0.96539
"2017-12-06","00:00",0.96539,0.96883,0.95796,0.96766
"2017-12-07","00:00",0.96769,0.96813,0.96403,0.96579
"2017-12-08","00:00",0.9658,0.96699,0.9642,0.96574
"2017-12-11","00:00",0.96553,0.96961,0.96545,0.96777
"2017-12-12","00:00",0.96777,0.97392,0.96667,0.97252
"2017-12-13","00:00",0.97253,0.97988,0.97216,0.97803
"2017-12-14","00:00",0.97803,0.98588,0.97625,0.9808
"2017-12-15","00:00",0.98079,0.98548,0.97852,0.98454
"2017-12-18","00:00",0.98452,0.98755,0.98361,0.98616
"2017-12-19","00:00",0.98616,0.98821,0.98535,0.98558
"2017-12-20","00:00",0.98559,0.98767,0.98297,0.98391
"2017-12-21","00:00",0.98391,0.98434,0.97751,0.98162
"2017-12-22","00:00",0.98162,0.98742,0.98011,0.98225
"2017-12-26","00:00",0.98213,0.98262,0.98006,0.98084
"2017-12-27","00:00",0.98084,0.98389,0.98081,0.98314
"2017-12-28","00:00",0.98326,0.9842,0.97901,0.97935
"2017-12-29","00:00",0.97935,0.98181,0.97784,0.97857
"2018-01-02","00:00",0.9793,0.98288,0.97816,0.97933
"2018-01-03","00:00",0.97938,0.98378,0.97761,0.982
"2018-01-04","00:00",0.98205,0.98483,0.98073,0.98225
"2018-01-05","00:00",0.98225,0.98255,0.97115,0.97734
"2018-01-08","00:00",0.97411,0.97493,0.97149,0.97399
"2018-01-09","00:00",0.97399,0.9759,0.97205,0.97434
"2018-01-10","00:00",0.97435,0.98585,0.97371,0.98341
"2018-01-11","00:00",0.98341,0.99061,0.98341,0.98753
"2018-01-12","00:00",0.98755,0.98898,0.9845,0.98687
"2018-01-15","00:00",0.98547,0.99084,0.98536,0.98936
"2018-01-16","00:00",0.98936,0.99104,0.98589,0.99038
"2018-01-17","00:00",0.99038,0.99772,0.9872,0.99196
"2018-01-18","00:00",0.99191,0.99765,0.98998,0.99361
"2018-01-19","00:00",0.99363,1.00001,0.9935,0.99999
"2018-01-22","00:00",0.99907,0.99957,0.99658,0.99723
"2018-01-23","00:00",0.99724,0.99886,0.9928,0.99373
"2018-01-24","00:00",0.99375,0.99788,0.9927,0.99425
"2018-01-25","00:00",0.99422,0.99836,0.99145,0.99395
"2018-01-26","00:00",0.99391,1.00099,0.99338,0.99992
"2018-01-29","00:00",0.99936,1.00059,0.99612,0.99867
"2018-01-30","00:00",0.99867,0.99971,0.9954,0.99912
"2018-01-31","00:00",0.99908,0.99909,0.9897,0.99169
"2018-02-01","00:00",0.99169,0.99204,0.98425,0.98556
"2018-02-02","00:00",0.98556,0.98579,0.98087,0.98507
"2018-02-05","00:00",0.98289,0.99059,0.98277,0.98727
"2018-02-06","00:00",0.98726,0.98855,0.98402,0.98711
"2018-02-07","00:00",0.98708,0.98843,0.98196,0.98225
"2018-02-08","00:00",0.98225,0.98546,0.97849,0.98055
"2018-02-09","00:00",0.98054,0.99045,0.9784,0.98246
"2018-02-12","00:00",0.98445,0.98985,0.9822,0.98859
"2018-02-13","00:00",0.98863,0.9911,0.98643,0.98969
"2018-02-14","00:00",0.98971,0.99191,0.98293,0.98978
"2018-02-15","00:00",0.98978,0.99345,0.98804,0.99151
"2018-02-16","00:00",0.9915,0.99526,0.99069,0.99279
"2018-02-19","00:00",0.99352,0.99511,0.99266,0.99399
"2018-02-20","00:00",0.99399,0.99766,0.9928,0.9968
"2018-02-21","00:00",0.99681,0.99907,0.99008,0.99019
"2018-02-22","00:00",0.99019,0.99805,0.98928,0.9966
"2018-02-23","00:00",0.99657,0.99709,0.98742,0.99186
"2018-02-26","00:00",0.99148,0.99654,0.99096,0.99575
"2018-02-27","00:00",0.99575,0.99785,0.99347,0.99537
"2018-02-28","00:00",0.99533,0.99924,0.99412,0.99642
"2018-03-01","00:00",0.9964,0.99669,0.99132,0.99631
"2018-03-02","00:00",0.99629,1.00127,0.99487,1.0002
"2018-03-05","00:00",0.99954,1.00893,0.99837,1.00792
"2018-03-06","00:00",1.00792,1.01159,1.0066,1.00817
"2018-03-07","00:00",1.00815,1.01368,1.00609,1.01002
"2018-03-08","00:00",1.01001,1.01182,1.00354,1.00477
"2018-03-09","00:00",1.00476,1.00815,1.00109,1.00568
"2018-03-12","00:00",1.00723,1.01164,1.00643,1.01098
"2018-03-13","00:00",1.01097,1.01988,1.01066,1.01839
"2018-03-14","00:00",1.01838,1.02428,1.01758,1.02088
"2018-03-15","00:00",1.02087,1.02132,1.01669,1.01677
"2018-03-16","00:00",1.01678,1.01886,1.00955,1.01036
"2018-03-19","00:00",1.01051,1.01107,1.0067,1.00838
"2018-03-20","00:00",1.00836,1.00904,1.00394,1.00537
"2018-03-21","00:00",1.00537,1.0058,0.9968,1.00269
"2018-03-22","00:00",1.00265,1.00334,0.99377,0.99505
"2018-03-23","00:00",0.99501,0.9983,0.991,0.99277
"2018-03-26","00:00",0.99313,0.9987,0.99295,0.99542
"2018-03-27","00:00",0.99544,0.99588,0.98855,0.98991
"2018-03-28","00:00",0.98991,0.99152,0.98741,0.98965
"2018-03-29","00:00",0.98965,0.99348,0.98818,0.99046
"2018-03-30","00:00",0.99047,0.99267,0.98916,0.99093
"2018-04-02","00:00",0.99066,0.99169,0.98742,0.98886
"2018-04-03","00:00",0.98887,0.9923,0.98133,0.98379
"2018-04-04","00:00",0.9838,0.98764,0.98248,0.98473
"2018-04-05","00:00",0.9847,0.98497,0.97832,0.97931
"2018-04-06","00:00",0.97934,0.98271,0.97887,0.98092
"2018-04-09","00:00",0.98152,0.98289,0.97737,0.97804
"2018-04-10","00:00",0.97803,0.98192,0.97744,0.97776
"2018-04-11","00:00",0.97776,0.97832,0.97495,0.97569
"2018-04-12","00:00",0.97571,0.97825,0.97522,0.97663
"2018-04-13","00:00",0.97661,0.98125,0.97661,0.9793
"2018-04-16","00:00",0.97962,0.9808,0.97677,0.9771
"2018-04-17","00:00",0.97709,0.97831,0.97368,0.97542
"2018-04-18","00:00",0.97541,0.98523,0.975,0.98338
"2018-04-19","00:00",0.98338,0.98579,0.97746,0.97789
"2018-04-20","00:00",0.97789,0.97957,0.97266,0.97917
"2018-04-23","00:00",0.97796,0.97979,0.97612,0.9765
"2018-04-24","00:00",0.97651,0.97742,0.97385,0.97521
"2018-04-25","00:00",0.97522,0.97575,0.97111,0.97161
"2018-04-26","00:00",0.9716,0.97396,0.97116,0.97237
"2018-04-27","00:00",0.97238,0.97392,0.97112,0.97244
"2018-04-30","00:00",0.97253,0.97313,0.96604,0.96657
"2018-05-01","00:00",0.96659,0.96783,0.96083,0.96112
"2018-05-02","00:00",0.9611,0.96595,0.96074,0.9646
"2018-05-03","00:00",0.9646,0.96901,0.96444,0.96751
"2018-05-04","00:00",0.96751,0.97069,0.96643,0.96841
"2018-05-07","00:00",0.96727,0.96901,0.96502,0.96853
"2018-05-08","00:00",0.96855,0.9707,0.96412,0.96422
"2018-05-09","00:00",0.96423,0.96445,0.95701,0.95822
"2018-05-10","00:00",0.95822,0.96297,0.95547,0.96108
"2018-05-11","00:00",0.96112,0.96571,0.96042,0.96504
"2018-05-14","00:00",0.96503,0.96643,0.96288,0.9634
"2018-05-15","00:00",0.9634,0.96435,0.96054,0.96128
"2018-05-16","00:00",0.96131,0.96359,0.95884,0.96093
"2018-05-17","00:00",0.96089,0.96447,0.96018,0.96336
"2018-05-18","00:00",0.96335,0.96896,0.96152,0.96785
"2018-05-21","00:00",0.96874,0.97161,0.96658,0.96866
"2018-05-22","00:00",0.96866,0.97167,0.96811,0.97131
"2018-05-23","00:00",0.97131,0.97347,0.96883,0.97113
"2018-05-24","00:00",0.97115,0.97729,0.97006,0.97561
