Date,Time,Open,High,Low,Close
"2017-10-30","00:00",0.76509,0.76667,0.76338,0.76572
"2017-10-31","00:00",0.7657,0.76603,0.76258,0.76423
"2017-11-01","00:00",0.76422,0.77031,0.76382,0.76961
"2017-11-02","00:00",0.76961,0.77207,0.76886,0.77087
"2017-11-03","00:00",0.77086,0.77098,0.76488,0.76563
"2017-11-06","00:00",0.76526,0.76769,0.76482,0.76703
"2017-11-07","00:00",0.76702,0.76859,0.76234,0.76416
"2017-11-08","00:00",0.76418,0.76847,0.76357,0.76781
"2017-11-09","00:00",0.76778,0.76915,0.7611,0.76365
"2017-11-10","00:00",0.76364,0.76502,0.76116,0.76299
"2017-11-13","00:00",0.76212,0.76389,0.75821,0.75883
"2017-11-14","00:00",0.75883,0.76113,0.75394,0.75518
"2017-11-15","00:00",0.75519,0.75545,0.74752,0.75044
"2017-11-16","00:00",0.75045,0.75478,0.74882,0.75381
"2017-11-17","00:00",0.75382,0.75389,0.74661,0.74801
"2017-11-20","00:00",0.74743,0.75037,0.74626,0.75036
"2017-11-21","00:00",0.75037,0.75364,0.74805,0.75138
"2017-11-22","00:00",0.75139,0.75219,0.7454,0.74777
"2017-11-23","00:00",0.74776,0.74916,0.7464,0.74853
"2017-11-24","00:00",0.74854,0.74887,0.74533,0.74623
"2017-11-27","00:00",0.74623,0.74998,0.74431,0.74656
"2017-11-28","00:00",0.74656,0.74915,0.74491,0.74857
"2017-11-29","00:00",0.74857,0.74868,0.7445,0.74494
"2017-11-30","00:00",0.74494,0.74762,0.74327,0.7442
"2017-12-01","00:00",0.74418,0.7496,0.74242,0.74315
"2017-12-04","00:00",0.7455,0.74941,0.74486,0.74875
"2017-12-05","00:00",0.74875,0.75449,0.74871,0.75098
"2017-12-06","00:00",0.75098,0.75395,0.74696,0.7487
"2017-12-07","00:00",0.74871,0.74926,0.74504,0.74719
"2017-12-08","00:00",0.74721,0.74974,0.74463,0.74528
"2017-12-11","00:00",0.74545,0.7473,0.74481,0.74647
"2017-12-12","00:00",0.74646,0.75143,0.74561,0.74928
"2017-12-13","00:00",0.74927,0.75386,0.74901,0.75195
"2017-12-14","00:00",0.75194,0.75957,0.75189,0.75813
"2017-12-15","00:00",0.75813,0.76087,0.75697,0.75724
"2017-12-18","00:00",0.75794,0.75958,0.75477,0.75545
"2017-12-19","00:00",0.75545,0.75707,0.75415,0.75416
"2017-12-20","00:00",0.75416,0.75862,0.75335,0.75663
"2017-12-21","00:00",0.75662,0.76231,0.75484,0.76194
"2017-12-22","00:00",0.76198,0.76486,0.76191,0.7636
"2017-12-26","00:00",0.76394,0.76513,0.76327,0.76513
"2017-12-27","00:00",0.76514,0.76954,0.76486,0.76643
"2017-12-28","00:00",0.76644,0.76719,0.76155,0.76288
"2017-12-29","00:00",0.76289,0.76389,0.76049,0.76055
"2018-01-02","00:00",0.76028,0.76381,0.75943,0.76072
"2018-01-03","00:00",0.76077,0.76717,0.75901,0.76481
"2018-01-04","00:00",0.76482,0.7676,0.76335,0.76632
"2018-01-05","00:00",0.76633,0.76802,0.76429,0.76783
"2018-01-08","00:00",0.76636,0.76736,0.76428,0.7668
"2018-01-09","00:00",0.76679,0.7698,0.76668,0.7686
"2018-01-10","00:00",0.76859,0.77019,0.76514,0.76721
"2018-01-11","00:00",0.76719,0.77294,0.7666,0.76944
"2018-01-12","00:00",0.76943,0.77019,0.76307,0.76611
"2018-01-15","00:00",0.76568,0.76883,0.7637,0.76681
"2018-01-16","00:00",0.76681,0.76834,0.7628,0.76453
"2018-01-17","00:00",0.76453,0.77047,0.76445,0.76944
"2018-01-18","00:00",0.76942,0.77075,0.76587,0.76777
"2018-01-19","00:00",0.7678,0.77016,0.7653,0.76997
"2018-01-22","00:00",0.76944,0.77151,0.76772,0.77045
"2018-01-23","00:00",0.77044,0.77152,0.76455,0.76567
"2018-01-24","00:00",0.7657,0.76798,0.76082,0.76184
"2018-01-25","00:00",0.76184,0.76444,0.7507,0.75616
"2018-01-26","00:00",0.75618,0.75958,0.75445,0.75745
"2018-01-29","00:00",0.75769,0.75944,0.75559,0.75897
"2018-01-30","00:00",0.75893,0.75955,0.7537,0.75706
"2018-01-31","00:00",0.75704,0.75774,0.74915,0.7506
"2018-02-01","00:00",0.75057,0.75087,0.74308,0.74448
"2018-02-02","00:00",0.7445,0.74477,0.73791,0.73816
"2018-02-05","00:00",0.73616,0.74428,0.73301,0.73369
