Date,Time,Open,High,Low,Close
"2017-10-30","00:00",87.183,87.332,86.78,86.981
"2017-10-31","00:00",86.98,87.161,86.693,87.055
"2017-11-01","00:00",87.055,87.728,87.013,87.642
"2017-11-02","00:00",87.642,88.1,87.535,87.955
"2017-11-03","00:00",87.954,87.976,87.197,87.291
"2017-11-06","00:00",87.343,87.662,87.28,87.457
"2017-11-07","00:00",87.457,87.695,86.941,87.067
"2017-11-08","00:00",87.067,87.519,86.979,87.481
"2017-11-09","00:00",87.48,87.672,86.792,87.09
"2017-11-10","00:00",87.087,87.255,86.851,86.987
"2017-11-13","00:00",86.941,87.091,86.471,86.511
"2017-11-14","00:00",86.513,86.844,86.309,86.537
"2017-11-15","00:00",86.538,86.566,85.505,85.608
"2017-11-16","00:00",85.606,86.024,85.501,85.769
"2017-11-17","00:00",85.77,85.773,84.643,84.808
"2017-11-20","00:00",84.611,85.081,84.542,85.026
"2017-11-21","00:00",85.025,85.316,84.752,85.209
"2017-11-22","00:00",85.209,85.248,84.606,84.726
"2017-11-23","00:00",84.726,84.936,84.525,84.838
"2017-11-24","00:00",84.837,85.046,84.744,84.982
"2017-11-27","00:00",84.989,85.058,84.353,84.549
"2017-11-28","00:00",84.548,84.918,84.393,84.911
"2017-11-29","00:00",84.913,84.914,84.454,84.752
"2017-11-30","00:00",84.752,85.212,84.654,85.147
"2017-12-01","00:00",85.147,85.715,84.978,85.305
"2017-12-04","00:00",85.661,85.962,85.37,85.541
"2017-12-05","00:00",85.54,86.202,85.52,85.526
"2017-12-06","00:00",85.525,85.814,84.834,84.987
"2017-12-07","00:00",84.988,85.046,84.668,85.031
"2017-12-08","00:00",85.034,85.376,84.916,85.181
"2017-12-11","00:00",85.252,85.528,85.189,85.49
"2017-12-12","00:00",85.49,85.993,85.323,85.794
"2017-12-13","00:00",85.794,86.113,85.667,86.036
"2017-12-14","00:00",86.037,86.495,86.001,86.151
"2017-12-15","00:00",86.151,86.327,85.969,86.07
"2017-12-18","00:00",86.197,86.437,86.13,86.285
"2017-12-19","00:00",86.284,86.637,86.215,86.473
"2017-12-20","00:00",86.472,86.972,86.463,86.871
"2017-12-21","00:00",86.872,87.417,86.714,87.313
"2017-12-22","00:00",87.313,87.528,87.285,87.376
"2017-12-26","00:00",87.512,87.549,87.389,87.511
"2017-12-27","00:00",87.513,88.148,87.511,88.012
"2017-12-28","00:00",88.013,88.113,87.766,87.975
"2017-12-29","00:00",87.977,88.157,87.76,87.946
"2018-01-02","00:00",87.956,88.401,87.64,87.899
"2018-01-03","00:00",87.906,88.232,87.698,88.139
"2018-01-04","00:00",88.139,88.719,88.101,88.703
"2018-01-05","00:00",88.706,89.091,88.445,89.059
"2018-01-08","00:00",88.936,89.035,88.477,88.768
"2018-01-09","00:00",88.767,88.851,87.867,88.09
"2018-01-10","00:00",88.089,88.108,87.214,87.459
"2018-01-11","00:00",87.459,88.091,87.312,87.76
"2018-01-12","00:00",87.761,87.894,87.397,87.861
"2018-01-15","00:00",87.896,88.169,87.674,88.057
"2018-01-16","00:00",88.058,88.417,87.724,87.992
"2018-01-17","00:00",87.99,89.001,87.91,88.767
"2018-01-18","00:00",88.763,88.985,88.406,88.898
"2018-01-19","00:00",88.895,89.021,88.376,88.53
"2018-01-22","00:00",88.567,88.995,88.383,88.873
"2018-01-23","00:00",88.874,89.07,87.912,88.131
"2018-01-24","00:00",88.136,88.428,87.855,88.004
"2018-01-25","00:00",88.001,88.338,87.71,88.059
"2018-01-26","00:00",88.056,88.496,87.796,88.202
"2018-01-29","00:00",88.153,88.337,87.929,88.201
"2018-01-30","00:00",88.201,88.309,87.467,88.077
"2018-01-31","00:00",88.077,88.495,87.664,88.005
"2018-02-01","00:00",88.004,88.13,87.493,87.952
"2018-02-02","00:00",87.951,87.965,87.274,87.294
"2018-02-05","00:00",86.978,87.513,85.857,85.905
"2018-02-06","00:00",85.905,86.738,84.993,86.535
"2018-02-07","00:00",86.535,86.594,85.298,85.317
"2018-02-08","00:00",85.318,85.989,84.441,84.555
"2018-02-09","00:00",84.553,85.436,84.013,84.87
"2018-02-12","00:00",85.089,85.518,84.759,85.429
"2018-02-13","00:00",85.433,85.6,84.291,84.721
"2018-02-14","00:00",84.72,84.898,83.321,84.492
"2018-02-15","00:00",84.492,84.815,83.874,84.283
"2018-02-16","00:00",84.28,84.663,83.921,84.072
"2018-02-19","00:00",84.076,84.508,84.073,84.404
"2018-02-20","00:00",84.403,84.814,84.212,84.634
"2018-02-21","00:00",84.633,84.864,83.869,83.885
"2018-02-22","00:00",83.885,84.063,83.521,83.742
"2018-02-23","00:00",83.742,83.857,83.275,83.736
"2018-02-26","00:00",83.936,84.129,83.602,84.049
"2018-02-27","00:00",84.049,84.164,83.58,83.722
"2018-02-28","00:00",83.727,83.809,82.713,82.786
"2018-03-01","00:00",82.785,83.177,82.132,82.438
"2018-03-02","00:00",82.439,82.607,81.563,82.051
"2018-03-05","00:00",81.871,82.582,81.493,82.502
"2018-03-06","00:00",82.504,83.327,82.019,82.206
"2018-03-07","00:00",82.206,83.128,82.062,83.105
"2018-03-08","00:00",83.107,83.176,82.5,82.917
"2018-03-09","00:00",82.912,83.904,82.808,83.822
"2018-03-12","00:00",84.037,84.087,83.637,83.66
"2018-03-13","00:00",83.669,84.528,83.546,83.735
"2018-03-14","00:00",83.731,84.261,83.488,83.663
"2018-03-15","00:00",83.662,83.697,82.701,82.81
"2018-03-16","00:00",82.808,82.817,81.721,81.785
"2018-03-19","00:00",81.775,82.01,81.259,81.717
"2018-03-20","00:00",81.718,82.198,81.613,81.877
"2018-03-21","00:00",81.879,82.578,81.482,82.37
"2018-03-22","00:00",82.365,82.437,80.499,80.77
"2018-03-23","00:00",80.77,81.463,80.607,80.637
"2018-03-26","00:00",80.83,81.862,80.796,81.842
