Date,Time,Open,High,Low,Close
"2017-10-30","00:00",87.183,87.183,87.138,87.151
"2017-10-30","00:01",87.151,87.151,87.138,87.138
"2017-10-30","00:02",87.138,87.162,87.138,87.161
"2017-10-30","00:03",87.16,87.164,87.16,87.161
"2017-10-30","00:04",87.162,87.174,87.157,87.168
"2017-10-30","00:05",87.169,87.194,87.169,87.19
"2017-10-30","00:06",87.189,87.206,87.189,87.197
"2017-10-30","00:07",87.197,87.209,87.195,87.207
"2017-10-30","00:08",87.208,87.209,87.191,87.204
"2017-10-30","00:09",87.207,87.208,87.191,87.203
"2017-10-30","00:10",87.203,87.203,87.189,87.198
"2017-10-30","00:11",87.198,87.198,87.169,87.171
"2017-10-30","00:12",87.172,87.182,87.168,87.18
"2017-10-30","00:13",87.178,87.186,87.173,87.174
"2017-10-30","00:14",87.174,87.198,87.174,87.198
"2017-10-30","00:15",87.197,87.2,87.186,87.186
"2017-10-30","00:16",87.178,87.191,87.178,87.19
"2017-10-30","00:17",87.19,87.202,87.181,87.202
"2017-10-30","00:18",87.204,87.221,87.197,87.221
"2017-10-30","00:19",87.221,87.239,87.216,87.221
"2017-10-30","00:20",87.222,87.249,87.222,87.244
"2017-10-30","00:21",87.245,87.259,87.244,87.25
"2017-10-30","00:22",87.251,87.259,87.239,87.239
"2017-10-30","00:23",87.238,87.261,87.235,87.26
"2017-10-30","00:24",87.26,87.264,87.248,87.25
"2017-10-30","00:25",87.25,87.253,87.24,87.248
"2017-10-30","00:26",87.245,87.257,87.245,87.25
"2017-10-30","00:27",87.251,87.258,87.226,87.237
"2017-10-30","00:28",87.243,87.252,87.237,87.239
"2017-10-30","00:29",87.24,87.254,87.238,87.249
"2017-10-30","00:30",87.25,87.26,87.239,87.25
"2017-10-30","00:31",87.254,87.255,87.239,87.241
"2017-10-30","00:32",87.242,87.252,87.242,87.244
"2017-10-30","00:33",87.243,87.258,87.24,87.257
"2017-10-30","00:34",87.256,87.257,87.243,87.257
"2017-10-30","00:35",87.258,87.269,87.258,87.268
"2017-10-30","00:36",87.267,87.276,87.266,87.266
"2017-10-30","00:37",87.266,87.267,87.251,87.264
"2017-10-30","00:38",87.262,87.268,87.245,87.245
"2017-10-30","00:39",87.245,87.261,87.245,87.261
"2017-10-30","00:40",87.263,87.264,87.25,87.25
"2017-10-30","00:41",87.25,87.268,87.242,87.268
"2017-10-30","00:42",87.267,87.273,87.257,87.26
"2017-10-30","00:43",87.257,87.285,87.257,87.281
"2017-10-30","00:44",87.282,87.291,87.272,87.278
"2017-10-30","00:45",87.277,87.288,87.277,87.287
"2017-10-30","00:46",87.289,87.3,87.288,87.297
"2017-10-30","00:47",87.296,87.304,87.29,87.303
"2017-10-30","00:48",87.303,87.303,87.284,87.298
"2017-10-30","00:49",87.299,87.303,87.293,87.303
"2017-10-30","00:50",87.303,87.304,87.294,87.299
"2017-10-30","00:51",87.299,87.305,87.275,87.276
"2017-10-30","00:52",87.276,87.292,87.275,87.279
"2017-10-30","00:53",87.279,87.309,87.276,87.304
"2017-10-30","00:54",87.307,87.307,87.273,87.281
"2017-10-30","00:55",87.294,87.296,87.259,87.268
"2017-10-30","00:56",87.269,87.28,87.263,87.268
"2017-10-30","00:57",87.269,87.275,87.265,87.265
"2017-10-30","00:58",87.263,87.263,87.243,87.262
"2017-10-30","00:59",87.263,87.277,87.255,87.274
"2017-10-30","01:00",87.266,87.266,87.243,87.249
"2017-10-30","01:01",87.248,87.261,87.244,87.245
"2017-10-30","01:02",87.245,87.251,87.237,87.25
"2017-10-30","01:03",87.252,87.259,87.232,87.233
"2017-10-30","01:04",87.234,87.251,87.233,87.25
"2017-10-30","01:05",87.251,87.271,87.248,87.268
"2017-10-30","01:06",87.268,87.269,87.247,87.255
"2017-10-30","01:07",87.256,87.26,87.252,87.26
"2017-10-30","01:08",87.259,87.274,87.252,87.273
"2017-10-30","01:09",87.272,87.278,87.258,87.262
"2017-10-30","01:10",87.263,87.272,87.263,87.267
"2017-10-30","01:11",87.267,87.267,87.26,87.266
"2017-10-30","01:12",87.265,87.276,87.262,87.267
"2017-10-30","01:13",87.267,87.273,87.26,87.269
"2017-10-30","01:14",87.269,87.289,87.269,87.284
"2017-10-30","01:15",87.285,87.285,87.25,87.252
"2017-10-30","01:16",87.252,87.267,87.252,87.267
"2017-10-30","01:17",87.267,87.289,87.267,87.287
"2017-10-30","01:18",87.287,87.287,87.281,87.284
"2017-10-30","01:19",87.285,87.302,87.282,87.302
