Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.11728,1.12296,1.1166,1.11856
"2017-10-31","00:00",1.11857,1.12229,1.10769,1.10946
"2017-11-01","00:00",1.10946,1.11502,1.10826,1.11403
"2017-11-02","00:00",1.11401,1.11712,1.11191,1.1159
"2017-11-03","00:00",1.11589,1.11591,1.10489,1.10772
"2017-11-06","00:00",1.10738,1.11269,1.10544,1.10758
"2017-11-07","00:00",1.10758,1.10963,1.10552,1.10758
"2017-11-08","00:00",1.10758,1.10973,1.10118,1.1039
"2017-11-09","00:00",1.10387,1.10764,1.10162,1.10638
"2017-11-10","00:00",1.10637,1.1095,1.10352,1.10562
"2017-11-13","00:00",1.10428,1.10757,1.10363,1.10412
"2017-11-14","00:00",1.10413,1.114,1.10395,1.10928
"2017-11-15","00:00",1.10929,1.11023,1.09898,1.10425
"2017-11-16","00:00",1.10425,1.10982,1.10223,1.10668
"2017-11-17","00:00",1.10668,1.11306,1.1044,1.10997
"2017-11-20","00:00",1.11074,1.11172,1.10581,1.10915
"2017-11-21","00:00",1.10915,1.11163,1.10666,1.10787
"2017-11-22","00:00",1.10787,1.10878,1.10545,1.1078
"2017-11-23","00:00",1.1078,1.10844,1.10522,1.10682
"2017-11-24","00:00",1.10681,1.10902,1.10565,1.10689
"2017-11-27","00:00",1.10752,1.10882,1.09816,1.09929
"2017-11-28","00:00",1.0993,1.1025,1.09619,1.10238
"2017-11-29","00:00",1.10233,1.10355,1.09491,1.09919
"2017-11-30","00:00",1.09919,1.10943,1.09919,1.10721
"2017-12-01","00:00",1.10719,1.1093,1.10442,1.10502
"2017-12-04","00:00",1.10719,1.1105,1.10578,1.10739
"2017-12-05","00:00",1.10739,1.11139,1.10502,1.10627
"2017-12-06","00:00",1.10628,1.10895,1.0966,1.09884
"2017-12-07","00:00",1.09884,1.10171,1.09587,1.10034
"2017-12-08","00:00",1.10033,1.10038,1.0952,1.09721
"2017-12-11","00:00",1.09729,1.09746,1.08642,1.08989
"2017-12-12","00:00",1.08988,1.09141,1.08605,1.08922
"2017-12-13","00:00",1.08924,1.09126,1.08656,1.08717
