Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.11728,1.11742,1.11714,1.11736
"2017-10-30","00:01",1.11735,1.11738,1.11718,1.11731
"2017-10-30","00:02",1.11732,1.1176,1.11732,1.11759
"2017-10-30","00:03",1.11758,1.11758,1.11754,1.11757
"2017-10-30","00:04",1.11757,1.11767,1.11756,1.11765
"2017-10-30","00:05",1.11769,1.11783,1.11769,1.11779
"2017-10-30","00:06",1.1178,1.11787,1.11774,1.1178
"2017-10-30","00:07",1.11777,1.11787,1.11772,1.11787
"2017-10-30","00:08",1.11787,1.11788,1.11774,1.11786
"2017-10-30","00:09",1.11787,1.11792,1.11779,1.11791
"2017-10-30","00:10",1.11791,1.11792,1.11779,1.11779
"2017-10-30","00:11",1.11777,1.11777,1.11764,1.11764
"2017-10-30","00:12",1.11764,1.11776,1.11756,1.11776
"2017-10-30","00:13",1.11775,1.11779,1.1177,1.11774
"2017-10-30","00:14",1.11775,1.11791,1.11771,1.11791
"2017-10-30","00:15",1.11793,1.11796,1.1179,1.11795
"2017-10-30","00:16",1.11787,1.11806,1.11787,1.11803
"2017-10-30","00:17",1.11804,1.11805,1.1179,1.11799
"2017-10-30","00:18",1.118,1.11816,1.118,1.11816
"2017-10-30","00:19",1.11813,1.11834,1.1181,1.1183
"2017-10-30","00:20",1.11834,1.11842,1.11813,1.11842
"2017-10-30","00:21",1.11841,1.11857,1.1184,1.11845
"2017-10-30","00:22",1.11844,1.11848,1.11835,1.11842
"2017-10-30","00:23",1.11841,1.11841,1.11823,1.11825
"2017-10-30","00:24",1.11827,1.11828,1.11808,1.11815
"2017-10-30","00:25",1.11816,1.11821,1.118,1.11803
"2017-10-30","00:26",1.11803,1.11811,1.11799,1.11804
"2017-10-30","00:27",1.11805,1.11817,1.11774,1.11786
"2017-10-30","00:28",1.11787,1.11794,1.1178,1.11781
"2017-10-30","00:29",1.11781,1.1179,1.11779,1.11787
"2017-10-30","00:30",1.11794,1.11796,1.11781,1.11784
"2017-10-30","00:31",1.11784,1.11787,1.11774,1.11783
"2017-10-30","00:32",1.11783,1.11786,1.11775,1.11782
"2017-10-30","00:33",1.11782,1.118,1.11781,1.118
"2017-10-30","00:34",1.11798,1.11802,1.11791,1.11802
"2017-10-30","00:35",1.11802,1.11806,1.11791,1.11795
"2017-10-30","00:36",1.11796,1.11796,1.1179,1.11792
"2017-10-30","00:37",1.11791,1.11794,1.11779,1.11794
"2017-10-30","00:38",1.11793,1.11797,1.11788,1.1179
"2017-10-30","00:39",1.11793,1.11804,1.1179,1.11803
"2017-10-30","00:40",1.11803,1.11804,1.1179,1.11796
"2017-10-30","00:41",1.11795,1.11821,1.11793,1.11821
"2017-10-30","00:42",1.11821,1.11844,1.11819,1.11828
"2017-10-30","00:43",1.11825,1.11841,1.11825,1.11841
"2017-10-30","00:44",1.11844,1.11856,1.11842,1.11854
"2017-10-30","00:45",1.11851,1.11862,1.11848,1.11862
"2017-10-30","00:46",1.11864,1.11873,1.11861,1.11867
"2017-10-30","00:47",1.11867,1.11867,1.11856,1.11858
"2017-10-30","00:48",1.11858,1.1187,1.11855,1.11868
"2017-10-30","00:49",1.11868,1.1187,1.11854,1.1187
"2017-10-30","00:50",1.1187,1.11871,1.11854,1.11855
"2017-10-30","00:51",1.11867,1.11875,1.11856,1.11856
"2017-10-30","00:52",1.1186,1.11881,1.1186,1.11877
"2017-10-30","00:53",1.11875,1.11884,1.11872,1.11879
"2017-10-30","00:54",1.11878,1.11933,1.11877,1.11933
"2017-10-30","00:55",1.11945,1.11945,1.11873,1.11875
"2017-10-30","00:56",1.11876,1.11876,1.11862,1.11862
"2017-10-30","00:57",1.11863,1.11875,1.11849,1.1187
"2017-10-30","00:58",1.11875,1.11884,1.11861,1.11879
"2017-10-30","00:59",1.11879,1.1189,1.11864,1.1189
"2017-10-30","01:00",1.11895,1.11895,1.11878,1.11889
"2017-10-30","01:01",1.1189,1.11919,1.1189,1.11903
"2017-10-30","01:02",1.11899,1.11899,1.11877,1.11878
"2017-10-30","01:03",1.11878,1.11879,1.11866,1.11877
"2017-10-30","01:04",1.11881,1.11901,1.11877,1.11901
"2017-10-30","01:05",1.119,1.11915,1.11889,1.11896
"2017-10-30","01:06",1.11895,1.11901,1.11888,1.11893
"2017-10-30","01:07",1.11892,1.11908,1.11891,1.11908
"2017-10-30","01:08",1.11907,1.1193,1.11902,1.11928
"2017-10-30","01:09",1.1193,1.11945,1.11919,1.11945
"2017-10-30","01:10",1.11944,1.11969,1.11938,1.11952
"2017-10-30","01:11",1.11952,1.11952,1.1193,1.1193
"2017-10-30","01:12",1.11932,1.11949,1.1193,1.11943
"2017-10-30","01:13",1.11942,1.11945,1.11934,1.11939
"2017-10-30","01:14",1.11939,1.11957,1.11938,1.11956
"2017-10-30","01:15",1.11956,1.11959,1.11934,1.11944
"2017-10-30","01:16",1.1194,1.11947,1.11938,1.11945
"2017-10-30","01:17",1.11946,1.11963,1.11943,1.11943
"2017-10-30","01:18",1.11944,1.11952,1.11942,1.11949
"2017-10-30","01:19",1.11941,1.11953,1.1194,1.11953
"2017-10-30","01:20",1.11953,1.1197,1.11949,1.11965
"2017-10-30","01:21",1.11963,1.11972,1.11958,1.11972
"2017-10-30","01:22",1.11971,1.11973,1.1196,1.11963
"2017-10-30","01:23",1.11962,1.11967,1.11959,1.11959
"2017-10-30","01:24",1.1196,1.11974,1.11955,1.11972
"2017-10-30","01:25",1.11972,1.1199,1.1197,1.11974
"2017-10-30","01:26",1.11974,1.11985,1.11972,1.11975
"2017-10-30","01:27",1.11972,1.11977,1.1197,1.11977
"2017-10-30","01:28",1.11977,1.12007,1.11974,1.11994
"2017-10-30","01:29",1.11989,1.11995,1.11982,1.11986
"2017-10-30","01:30",1.11986,1.12004,1.11981,1.11984
"2017-10-30","01:31",1.11984,1.11985,1.11974,1.11981
"2017-10-30","01:32",1.1198,1.11989,1.1198,1.11987
"2017-10-30","01:33",1.11985,1.11994,1.11983,1.11991
"2017-10-30","01:34",1.11991,1.11996,1.1199,1.11996
"2017-10-30","01:35",1.11995,1.11997,1.11994,1.11996
"2017-10-30","01:36",1.11995,1.11997,1.11993,1.11993
"2017-10-30","01:37",1.11992,1.12,1.11989,1.12
"2017-10-30","01:38",1.11998,1.11998,1.11995,1.11996
"2017-10-30","01:39",1.11996,1.11997,1.11994,1.11997
"2017-10-30","01:40",1.11996,1.11996,1.11975,1.11993
"2017-10-30","01:41",1.11993,1.12021,1.11992,1.12017
"2017-10-30","01:42",1.12016,1.12023,1.12006,1.12013
"2017-10-30","01:43",1.12013,1.12013,1.11997,1.12011
"2017-10-30","01:44",1.12011,1.12017,1.11991,1.1201
"2017-10-30","01:45",1.12017,1.12032,1.11998,1.12025
"2017-10-30","01:46",1.12024,1.12032,1.1202,1.1202
"2017-10-30","01:47",1.1202,1.12023,1.12,1.12
"2017-10-30","01:48",1.12,1.12026,1.12,1.12026
"2017-10-30","01:49",1.12027,1.12034,1.12027,1.12033
"2017-10-30","01:50",1.12033,1.12033,1.12027,1.12028
"2017-10-30","01:51",1.12027,1.12046,1.12025,1.12046
"2017-10-30","01:52",1.12047,1.12055,1.1204,1.1204
"2017-10-30","01:53",1.12033,1.12053,1.12033,1.12043
"2017-10-30","01:54",1.12044,1.12044,1.12026,1.12036
"2017-10-30","01:55",1.12035,1.12062,1.12035,1.12059
"2017-10-30","01:56",1.1206,1.12067,1.12039,1.12056
"2017-10-30","01:57",1.12057,1.12065,1.12053,1.12053
"2017-10-30","01:58",1.12054,1.12057,1.12051,1.12056
"2017-10-30","01:59",1.12055,1.12055,1.12047,1.1205
"2017-10-30","02:00",1.12054,1.12063,1.12043,1.12045
"2017-10-30","02:01",1.12048,1.12051,1.12042,1.12047
"2017-10-30","02:02",1.12051,1.12055,1.12048,1.12049
"2017-10-30","02:03",1.12049,1.12049,1.12038,1.12044
"2017-10-30","02:04",1.12045,1.1205,1.11983,1.11983
"2017-10-30","02:05",1.11991,1.11999,1.1198,1.11982
"2017-10-30","02:06",1.11983,1.1199,1.11982,1.1199
"2017-10-30","02:07",1.1199,1.12016,1.1199,1.12005
"2017-10-30","02:08",1.12005,1.12012,1.12,1.12
"2017-10-30","02:09",1.12,1.12004,1.11985,1.11985
"2017-10-30","02:10",1.11986,1.11993,1.11975,1.11975
"2017-10-30","02:11",1.11977,1.11982,1.11947,1.11978
"2017-10-30","02:12",1.1198,1.11981,1.11953,1.11953
"2017-10-30","02:13",1.11953,1.11975,1.11953,1.11973
"2017-10-30","02:14",1.11974,1.12005,1.11974,1.12005
"2017-10-30","02:15",1.12004,1.12014,1.1199,1.12003
"2017-10-30","02:16",1.12003,1.12011,1.11999,1.11999
"2017-10-30","02:17",1.11995,1.12004,1.11993,1.12004
"2017-10-30","02:18",1.12005,1.12006,1.11989,1.12001
"2017-10-30","02:19",1.12,1.12,1.11993,1.11993
"2017-10-30","02:20",1.11995,1.12009,1.11995,1.12007
"2017-10-30","02:21",1.12009,1.12018,1.12008,1.12013
"2017-10-30","02:22",1.12013,1.12014,1.12008,1.12011
"2017-10-30","02:23",1.12012,1.12013,1.12011,1.12012
"2017-10-30","02:24",1.12011,1.12052,1.12011,1.12052
"2017-10-30","02:25",1.12053,1.12055,1.12046,1.12047
"2017-10-30","02:26",1.12045,1.12048,1.12032,1.12035
"2017-10-30","02:27",1.12032,1.12032,1.12008,1.12016
"2017-10-30","02:28",1.12016,1.12018,1.11988,1.1199
"2017-10-30","02:29",1.11989,1.11993,1.11989,1.11993
"2017-10-30","02:30",1.12004,1.12004,1.11977,1.11989
"2017-10-30","02:31",1.11986,1.1199,1.1198,1.11989
"2017-10-30","02:32",1.11991,1.12004,1.11991,1.12004
"2017-10-30","02:33",1.12003,1.12004,1.11994,1.11995
"2017-10-30","02:34",1.11996,1.12004,1.11996,1.12003
"2017-10-30","02:35",1.12003,1.12003,1.11984,1.11992
"2017-10-30","02:36",1.11995,1.11999,1.11994,1.11999
"2017-10-30","02:37",1.11998,1.12004,1.11995,1.12001
"2017-10-30","02:38",1.12001,1.12001,1.11991,1.11991
"2017-10-30","02:39",1.11989,1.11997,1.11989,1.1199
"2017-10-30","02:40",1.11989,1.11993,1.11985,1.11993
"2017-10-30","02:41",1.11993,1.11994,1.11987,1.11994
"2017-10-30","02:42",1.11993,1.12,1.11993,1.12
"2017-10-30","02:43",1.12005,1.12014,1.12004,1.12008
"2017-10-30","02:44",1.12013,1.12038,1.12008,1.1203
"2017-10-30","02:45",1.1203,1.1203,1.12025,1.12025
"2017-10-30","02:46",1.12026,1.12027,1.12017,1.12017
"2017-10-30","02:47",1.12014,1.12031,1.12013,1.12029
"2017-10-30","02:48",1.1203,1.12045,1.1203,1.12043
"2017-10-30","02:49",1.12043,1.12044,1.12041,1.12043
"2017-10-30","02:50",1.12043,1.12045,1.12041,1.12044
"2017-10-30","02:51",1.12045,1.12047,1.12039,1.12042
"2017-10-30","02:52",1.1204,1.1204,1.12024,1.12032
"2017-10-30","02:53",1.1203,1.12038,1.1203,1.12031
"2017-10-30","02:54",1.1203,1.1203,1.11995,1.11997
"2017-10-30","02:55",1.11996,1.11997,1.11968,1.11968
"2017-10-30","02:56",1.11967,1.1198,1.11967,1.11978
"2017-10-30","02:57",1.11976,1.11976,1.11966,1.11967
"2017-10-30","02:58",1.11967,1.11989,1.11963,1.11989
"2017-10-30","02:59",1.11989,1.12004,1.11989,1.12003
"2017-10-30","03:00",1.12003,1.12018,1.12001,1.12007
