Date,Time,Open,High,Low,Close
"2017-10-30","00:00",0.76662,0.76991,0.76559,0.76964
"2017-10-31","00:00",0.76963,0.76971,0.764,0.76598
"2017-11-01","00:00",0.76597,0.7696,0.76486,0.76762
"2017-11-02","00:00",0.76762,0.77299,0.76761,0.77143
"2017-11-03","00:00",0.7714,0.77157,0.76394,0.7652
"2017-11-06","00:00",0.765,0.76933,0.76386,0.7687
"2017-11-07","00:00",0.76869,0.77008,0.76275,0.76544
"2017-11-08","00:00",0.76545,0.7685,0.76447,0.76793
"2017-11-09","00:00",0.76794,0.7694,0.76499,0.76822
"2017-11-10","00:00",0.76822,0.76952,0.76543,0.76621
"2017-11-13","00:00",0.76467,0.76659,0.76107,0.76152
"2017-11-14","00:00",0.76152,0.76498,0.76126,0.76301
"2017-11-15","00:00",0.763,0.76318,0.75735,0.75917
"2017-11-16","00:00",0.75917,0.76095,0.75713,0.75873
"2017-11-17","00:00",0.75873,0.76083,0.75365,0.75665
"2017-11-20","00:00",0.75532,0.75739,0.75443,0.75543
"2017-11-21","00:00",0.75543,0.75901,0.75324,0.75851
"2017-11-22","00:00",0.75851,0.76238,0.75556,0.76135
"2017-11-23","00:00",0.76135,0.76388,0.76041,0.76251
"2017-11-24","00:00",0.76252,0.76279,0.76071,0.76163
"2017-11-27","00:00",0.76112,0.76449,0.75934,0.76076
"2017-11-28","00:00",0.76076,0.76202,0.75883,0.76063
"2017-11-29","00:00",0.76064,0.76078,0.75526,0.75666
"2017-11-30","00:00",0.75666,0.75947,0.75518,0.75628
"2017-12-01","00:00",0.75627,0.76392,0.75565,0.76092
"2017-12-04","00:00",0.7588,0.76142,0.75799,0.76038
"2017-12-05","00:00",0.76038,0.7654,0.75987,0.76044
"2017-12-06","00:00",0.76045,0.76337,0.75589,0.75673
"2017-12-07","00:00",0.75674,0.75678,0.75055,0.75114
"2017-12-08","00:00",0.75114,0.75339,0.75018,0.75056
"2017-12-11","00:00",0.75071,0.75453,0.7507,0.7529
"2017-12-12","00:00",0.7529,0.75803,0.75196,0.75565
"2017-12-13","00:00",0.75566,0.76398,0.75538,0.76298
"2017-12-14","00:00",0.76297,0.76798,0.7628,0.76653
"2017-12-15","00:00",0.76653,0.76947,0.76382,0.76451
"2017-12-18","00:00",0.76464,0.76777,0.76409,0.76645
"2017-12-19","00:00",0.76643,0.76839,0.76462,0.76517
"2017-12-20","00:00",0.76521,0.76796,0.76514,0.76711
"2017-12-21","00:00",0.76709,0.7708,0.76538,0.77058
"2017-12-22","00:00",0.77058,0.77209,0.77022,0.77146
"2017-12-26","00:00",0.77233,0.77306,0.7713,0.77299
"2017-12-27","00:00",0.773,0.77789,0.773,0.77738
"2017-12-28","00:00",0.77738,0.78097,0.77737,0.77938
"2017-12-29","00:00",0.77939,0.78249,0.77886,0.78119
"2018-01-02","00:00",0.7799,0.78448,0.7799,0.78308
"2018-01-03","00:00",0.78308,0.7845,0.78054,0.7827
"2018-01-04","00:00",0.78269,0.78689,0.78146,0.78636
