Date,Time,Open,High,Low,Close
"2017-10-30","00:00",982.348,984.393,981.212,982.933
"2017-10-31","00:00",982.937,985.95,982.026,984.948
"2017-11-01","00:00",984.949,985.076,982.142,983.628
"2017-11-02","00:00",983.628,987.835,982.44,986.999
"2017-11-03","00:00",986.999,988.539,983.108,983.396
"2017-11-06","00:00",984.075,985.15,979.448,980.007
"2017-11-07","00:00",980.005,982.075,977.932,980.708
"2017-11-08","00:00",980.707,981.713,978.786,980.2
"2017-11-09","00:00",980.198,983.708,978.676,982.306
"2017-11-10","00:00",982.309,984.261,981.117,983.838
"2017-11-13","00:00",985.571,987.609,983.44,987.213
"2017-11-14","00:00",987.214,997.495,987.167,996.616
"2017-11-15","00:00",996.616,1001.444,995.087,996.016
"2017-11-16","00:00",996.015,997.91,993.832,995.679
"2017-11-17","00:00",995.681,998.466,995.399,995.788
"2017-11-20","00:00",991.66,996.239,990.883,992.472
"2017-11-21","00:00",992.47,994.205,989.541,990.982
"2017-11-22","00:00",990.983,993.305,990.374,992.416
"2017-11-23","00:00",992.419,995.652,991.883,995.325
"2017-11-24","00:00",995.324,1003.023,994.967,1002.465
"2017-11-27","00:00",1002.666,1003.261,999.847,1000.578
"2017-11-28","00:00",1000.575,1002.429,995.565,997.073
"2017-11-29","00:00",997.073,999.387,995.962,999.063
"2017-11-30","00:00",999.064,1004.309,996.048,1002.819
"2017-12-01","00:00",1002.822,1005.036,996.996,997.905
"2017-12-04","00:00",997.066,998.382,993.761,996.493
"2017-12-05","00:00",996.492,996.653,992.257,994.449
"2017-12-06","00:00",994.45,995.667,991.674,994.703
"2017-12-07","00:00",994.701,997.229,994.453,994.841
"2017-12-08","00:00",994.841,996.814,992.104,996.333
"2017-12-11","00:00",996.599,999.121,995.824,997.23
"2017-12-12","00:00",997.221,997.58,992.803,994.269
"2017-12-13","00:00",994.27,997.117,991.842,996.791
"2017-12-14","00:00",996.792,997.481,988.756,989.304
"2017-12-15","00:00",989.306,993.43,988.118,991.283
"2017-12-18","00:00",990.717,995.315,990.679,992.322
"2017-12-19","00:00",992.328,998.83,991.917,998.001
"2017-12-20","00:00",998.004,1002.746,996.956,1000.74
"2017-12-21","00:00",1000.739,1002.117,996.339,996.342
"2017-12-22","00:00",996.332,997.161,993.575,995.909
"2017-12-26","00:00",997.186,997.67,995.156,995.23
"2017-12-27","00:00",995.224,997.488,994.327,996.655
"2017-12-28","00:00",996.654,998.698,996.111,996.993
"2017-12-29","00:00",996.991,1001.1,996.455,1000.992
"2018-01-02","00:00",1001.423,1004.107,1000.042,1001.869
"2018-01-03","00:00",1001.867,1002.279,998.154,1000.246
"2018-01-04","00:00",1000.248,1005.599,999.933,1002.807
"2018-01-05","00:00",1002.806,1004.001,998.641,999.514
"2018-01-08","00:00",999.186,999.772,993.407,994.362
"2018-01-09","00:00",994.362,994.442,990.857,992.649
"2018-01-10","00:00",992.643,1518.589,991.07,992.895
"2018-01-11","00:00",992.889,1000.053,991.8,998.193
"2018-01-12","00:00",998.202,1005.895,998.115,1005.402
"2018-01-15","00:00",1005.934,1010.058,1004.523,1008.362
"2018-01-16","00:00",1008.371,1009.451,1003.24,1007.929
"2018-01-17","00:00",1007.926,1010.392,1001.707,1002.125
"2018-01-18","00:00",1002.131,1006.74,1002.043,1003.608
"2018-01-19","00:00",1003.609,1006.485,1003.191,1004.552
"2018-01-22","00:00",1006.098,1006.174,1003.437,1004.634
"2018-01-23","00:00",1004.63,1007.082,1003.707,1006.47
"2018-01-24","00:00",1006.467,1007.246,1002.255,1006.634
"2018-01-25","00:00",1006.64,1013.154,1004.878,1009.164
"2018-01-26","00:00",1009.157,1012.073,1005.658,1006.813
"2018-01-29","00:00",1007.133,1008.54,1003.066,1005.703
"2018-01-30","00:00",1005.695,1009.311,1004.768,1006.276
"2018-01-31","00:00",1006.271,1010.068,1006.271,1007.693
"2018-02-01","00:00",1007.693,1015.211,1007.477,1014.464
"2018-02-02","00:00",1014.459,1019.669,1014.067,1019.407
"2018-02-05","00:00",1018.952,1019.254,1015.052,1015.298
"2018-02-06","00:00",1015.319,1020.182,1013.016,1016.453
"2018-02-07","00:00",1016.451,1017.48,1009.394,1010.64
"2018-02-08","00:00",1010.643,1012.168,1006.547,1009.011
"2018-02-09","00:00",1009.026,1012.554,1007.057,1008.791
"2018-02-12","00:00",1009.573,1012.17,1008.083,1011.969
"2018-02-13","00:00",1011.932,1015.75,1010.26,1014.034
"2018-02-14","00:00",1014.042,1016.485,1010.816,1015.72
"2018-02-15","00:00",1015.717,1017.758,1014.687,1016.043
"2018-02-16","00:00",1016.048,1018.673,1011.818,1012.026
"2018-02-19","00:00",1012.039,1013.137,1011.075,1012.728
"2018-02-20","00:00",1012.724,1013.302,1008.941,1010.624
"2018-02-21","00:00",1010.622,1012.56,1010.315,1010.715
"2018-02-22","00:00",1010.715,1012.526,1008.44,1011.609
"2018-02-23","00:00",1011.615,1011.863,1007.319,1008.177
"2018-02-26","00:00",1007.699,1010.281,1006.577,1010.245
"2018-02-27","00:00",1010.243,1012.384,1006.907,1007.278
