Date,Time,Open,High,Low,Close
"2017-10-30","00:00",982.348,982.374,982.303,982.374
"2017-10-30","00:01",982.365,982.39,982.348,982.368
"2017-10-30","00:02",982.369,982.37,982.278,982.31
"2017-10-30","00:03",982.322,982.331,982.244,982.244
"2017-10-30","00:04",982.24,982.24,982.124,982.165
"2017-10-30","00:05",982.165,982.241,982.139,982.241
"2017-10-30","00:06",982.239,982.278,982.133,982.203
"2017-10-30","00:07",982.197,982.251,982.184,982.249
"2017-10-30","00:08",982.25,982.262,982.145,982.192
"2017-10-30","00:09",982.196,982.2,982.153,982.19
"2017-10-30","00:10",982.19,982.24,982.174,982.203
"2017-10-30","00:11",982.204,982.263,982.194,982.263
"2017-10-30","00:12",982.27,982.299,982.202,982.202
"2017-10-30","00:13",982.195,982.24,982.178,982.178
"2017-10-30","00:14",982.175,982.24,982.175,982.232
"2017-10-30","00:15",982.223,982.244,982.198,982.201
"2017-10-30","00:16",982.191,982.221,982.17,982.197
"2017-10-30","00:17",982.198,982.198,982.156,982.191
"2017-10-30","00:18",982.183,982.252,982.17,982.228
"2017-10-30","00:19",982.228,982.241,982.203,982.209
"2017-10-30","00:20",982.205,982.238,982.13,982.159
"2017-10-30","00:21",982.168,982.179,982.118,982.138
"2017-10-30","00:22",982.137,982.181,982.117,982.117
"2017-10-30","00:23",982.122,982.192,982.119,982.192
"2017-10-30","00:24",982.18,982.199,982.162,982.169
"2017-10-30","00:25",982.169,982.2,982.169,982.2
"2017-10-30","00:26",982.2,982.226,982.12,982.124
"2017-10-30","00:27",982.127,982.14,982.035,982.088
"2017-10-30","00:28",982.082,982.127,982.066,982.114
"2017-10-30","00:29",982.118,982.134,982.077,982.083
"2017-10-30","00:30",982.084,982.203,982.082,982.202
"2017-10-30","00:31",982.202,982.241,982.178,982.209
"2017-10-30","00:32",982.208,982.208,982.163,982.195
"2017-10-30","00:33",982.2,982.2,982.148,982.164
"2017-10-30","00:34",982.163,982.206,982.163,982.206
"2017-10-30","00:35",982.219,982.299,982.219,982.268
"2017-10-30","00:36",982.265,982.285,982.26,982.273
"2017-10-30","00:37",982.269,982.28,982.247,982.272
"2017-10-30","00:38",982.251,982.282,982.218,982.278
"2017-10-30","00:39",982.263,982.28,982.203,982.203
"2017-10-30","00:40",982.202,982.209,982.117,982.119
"2017-10-30","00:41",982.119,982.119,982.037,982.04
"2017-10-30","00:42",982.05,982.145,982.009,982.145
"2017-10-30","00:43",982.145,982.182,982.131,982.166
"2017-10-30","00:44",982.165,982.165,981.981,981.981
"2017-10-30","00:45",981.972,981.972,981.916,981.953
"2017-10-30","00:46",981.954,981.955,981.913,981.913
"2017-10-30","00:47",981.911,981.946,981.892,981.946
