Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.51393,1.51787,1.51135,1.51389
"2017-10-31","00:00",1.51391,1.52344,1.5134,1.52123
"2017-11-01","00:00",1.52126,1.52248,1.5121,1.51491
"2017-11-02","00:00",1.51491,1.51541,1.50878,1.51142
"2017-11-03","00:00",1.51141,1.52058,1.51137,1.51728
"2017-11-06","00:00",1.51831,1.51949,1.50936,1.51052
"2017-11-07","00:00",1.51053,1.51751,1.50815,1.51561
"2017-11-08","00:00",1.51562,1.51693,1.50875,1.50998
"2017-11-09","00:00",1.50996,1.52018,1.5084,1.51605
"2017-11-10","00:00",1.51606,1.52346,1.51381,1.5225
"2017-11-13","00:00",1.52502,1.53284,1.51977,1.53181
"2017-11-14","00:00",1.53182,1.54727,1.52798,1.54535
"2017-11-15","00:00",1.54534,1.56069,1.54517,1.55211
"2017-11-16","00:00",1.55212,1.55585,1.5485,1.55239
"2017-11-17","00:00",1.55241,1.56576,1.55203,1.55887
"2017-11-20","00:00",1.55361,1.56001,1.55068,1.55379
"2017-11-21","00:00",1.55377,1.55924,1.54601,1.54802
"2017-11-22","00:00",1.54801,1.55646,1.54655,1.55183
"2017-11-23","00:00",1.55186,1.556,1.55116,1.55417
"2017-11-24","00:00",1.55417,1.56741,1.5535,1.5665
"2017-11-27","00:00",1.56713,1.56976,1.56159,1.56483
"2017-11-28","00:00",1.56483,1.56891,1.55699,1.55785
"2017-11-29","00:00",1.55784,1.56798,1.55759,1.56643
"2017-11-30","00:00",1.56642,1.57505,1.56144,1.57327
"2017-12-01","00:00",1.57327,1.57713,1.55809,1.56271
"2017-12-04","00:00",1.5626,1.56393,1.55639,1.56082
"2017-12-05","00:00",1.56082,1.56097,1.54941,1.55579
"2017-12-06","00:00",1.5558,1.56312,1.5493,1.55991
"2017-12-07","00:00",1.5599,1.56964,1.55975,1.56739
"2017-12-08","00:00",1.56736,1.56847,1.56028,1.5675
"2017-12-11","00:00",1.56759,1.56839,1.5626,1.56415
"2017-12-12","00:00",1.56415,1.56597,1.55179,1.55398
"2017-12-13","00:00",1.55395,1.55571,1.54415,1.55137
"2017-12-14","00:00",1.55138,1.55138,1.53483,1.5361
"2017-12-15","00:00",1.53612,1.54112,1.5323,1.53751
"2017-12-18","00:00",1.53579,1.54256,1.53428,1.53744
"2017-12-19","00:00",1.53748,1.54703,1.53614,1.54694
"2017-12-20","00:00",1.54695,1.55278,1.54202,1.54837
"2017-12-21","00:00",1.54833,1.55207,1.53814,1.53814
"2017-12-22","00:00",1.53812,1.5388,1.53265,1.53647
"2017-12-26","00:00",1.53709,1.53854,1.53382,1.53394
"2017-12-27","00:00",1.53394,1.53453,1.52799,1.53085
"2017-12-28","00:00",1.53083,1.5349,1.52885,1.53192
"2017-12-29","00:00",1.53191,1.53919,1.53053,1.53891
"2018-01-02","00:00",1.54005,1.54289,1.53234,1.5403
"2018-01-03","00:00",1.54032,1.54314,1.53168,1.53453
"2018-01-04","00:00",1.53453,1.54157,1.53134,1.53449
"2018-01-05","00:00",1.53451,1.53947,1.52896,1.52933
"2018-01-08","00:00",1.53161,1.53417,1.52542,1.52581
"2018-01-09","00:00",1.52582,1.52746,1.52172,1.52717
"2018-01-10","00:00",1.52715,1.53118,1.5229,1.52368
"2018-01-11","00:00",1.5237,1.53133,1.51555,1.52711
"2018-01-12","00:00",1.52711,1.54465,1.52614,1.54021
"2018-01-15","00:00",1.54169,1.54414,1.53525,1.54099
"2018-01-16","00:00",1.54099,1.5425,1.53417,1.53953
"2018-01-17","00:00",1.53952,1.541,1.52678,1.528
"2018-01-18","00:00",1.52806,1.53443,1.52636,1.52819
"2018-01-19","00:00",1.52818,1.53252,1.52702,1.52903
"2018-01-22","00:00",1.53172,1.5327,1.52701,1.53059
"2018-01-23","00:00",1.53055,1.53985,1.52858,1.53807
"2018-01-24","00:00",1.53801,1.54129,1.52794,1.53953
"2018-01-25","00:00",1.53956,1.54957,1.53357,1.54331
"2018-01-26","00:00",1.54331,1.54582,1.52956,1.53096
"2018-01-29","00:00",1.53157,1.53606,1.52604,1.52929
"2018-01-30","00:00",1.52929,1.53794,1.52784,1.53199
"2018-01-31","00:00",1.53198,1.54255,1.53187,1.54069
"2018-02-01","00:00",1.54073,1.55761,1.54,1.55615
"2018-02-02","00:00",1.55614,1.57255,1.55593,1.57186
"2018-02-05","00:00",1.57456,1.57468,1.56347,1.56985
"2018-02-06","00:00",1.5699,1.57967,1.56435,1.56844
"2018-02-07","00:00",1.56844,1.57469,1.56393,1.5698
"2018-02-08","00:00",1.56977,1.57682,1.5649,1.57416
"2018-02-09","00:00",1.5742,1.57849,1.56481,1.56845
"2018-02-12","00:00",1.56675,1.57129,1.56241,1.56548
"2018-02-13","00:00",1.56539,1.57795,1.56079,1.57143
"2018-02-14","00:00",1.57144,1.58173,1.5692,1.57237
"2018-02-15","00:00",1.57238,1.58052,1.56759,1.57404
"2018-02-16","00:00",1.57407,1.57731,1.56771,1.56901
"2018-02-19","00:00",1.56882,1.56942,1.5652,1.56787
"2018-02-20","00:00",1.56785,1.57004,1.56065,1.56528
"2018-02-21","00:00",1.56527,1.57529,1.56209,1.57493
"2018-02-22","00:00",1.57496,1.57556,1.56766,1.57249
"2018-02-23","00:00",1.57254,1.57595,1.56899,1.56933
"2018-02-26","00:00",1.56765,1.57181,1.56187,1.56883
"2018-02-27","00:00",1.56884,1.57353,1.56616,1.5688
"2018-02-28","00:00",1.56879,1.57249,1.56271,1.57045
"2018-03-01","00:00",1.57043,1.58245,1.57008,1.58042
"2018-03-02","00:00",1.58039,1.59199,1.57881,1.58886
"2018-03-05","00:00",1.58825,1.59372,1.58605,1.58879
"2018-03-06","00:00",1.58882,1.59674,1.58239,1.59464
"2018-03-07","00:00",1.59461,1.59779,1.5854,1.58592
"2018-03-08","00:00",1.58594,1.59409,1.57895,1.57963
"2018-03-09","00:00",1.57963,1.58252,1.56785,1.56825
"2018-03-12","00:00",1.56581,1.56852,1.5623,1.56749
"2018-03-13","00:00",1.5675,1.57922,1.56488,1.57676
"2018-03-14","00:00",1.57675,1.5777,1.56394,1.57035
"2018-03-15","00:00",1.57034,1.58011,1.56962,1.57986
"2018-03-16","00:00",1.5799,1.59391,1.57855,1.59317
"2018-03-19","00:00",1.59131,1.60262,1.58994,1.60057
"2018-03-20","00:00",1.60057,1.60408,1.59221,1.59287
"2018-03-21","00:00",1.59287,1.60008,1.58609,1.58804
"2018-03-22","00:00",1.58806,1.60292,1.58745,1.60149
"2018-03-23","00:00",1.60152,1.60562,1.59448,1.60465
"2018-03-26","00:00",1.60242,1.61326,1.59762,1.60641
"2018-03-27","00:00",1.60637,1.61639,1.60528,1.61438
"2018-03-28","00:00",1.61437,1.61916,1.60509,1.60711
"2018-03-29","00:00",1.60709,1.61184,1.59964,1.60082
"2018-03-30","00:00",1.60068,1.60492,1.59849,1.6035
"2018-04-02","00:00",1.60255,1.60855,1.60102,1.60635
"2018-04-03","00:00",1.60637,1.60637,1.59364,1.59844
"2018-04-04","00:00",1.59841,1.6057,1.58994,1.59156
"2018-04-05","00:00",1.59155,1.59978,1.59035,1.59726
"2018-04-06","00:00",1.59726,1.60226,1.59135,1.60045
"2018-04-09","00:00",1.59813,1.60613,1.59473,1.60026
"2018-04-10","00:00",1.60026,1.60189,1.58914,1.59245
"2018-04-11","00:00",1.59242,1.59955,1.59141,1.59381
"2018-04-12","00:00",1.59383,1.59634,1.58705,1.58929
"2018-04-13","00:00",1.58926,1.5898,1.57757,1.58815
"2018-04-16","00:00",1.58654,1.59481,1.58562,1.59284
"2018-04-17","00:00",1.59282,1.59553,1.58804,1.59293
"2018-04-18","00:00",1.59296,1.59652,1.58821,1.58947
"2018-04-19","00:00",1.5895,1.59929,1.58493,1.59877
"2018-04-20","00:00",1.59879,1.6031,1.59747,1.60165
"2018-04-23","00:00",1.60265,1.60619,1.59759,1.60613
"2018-04-24","00:00",1.60612,1.61146,1.60217,1.60886
"2018-04-25","00:00",1.60893,1.61411,1.60679,1.60798
"2018-04-26","00:00",1.60797,1.61108,1.60129,1.60288
"2018-04-27","00:00",1.60287,1.60534,1.59686,1.60006
"2018-04-30","00:00",1.60078,1.60569,1.59977,1.60408
"2018-05-01","00:00",1.60407,1.6045,1.59994,1.60268
"2018-05-02","00:00",1.60268,1.60407,1.59346,1.59624
"2018-05-03","00:00",1.59625,1.59676,1.58919,1.59239
"2018-05-04","00:00",1.59236,1.59258,1.58448,1.58655
"2018-05-07","00:00",1.58901,1.59163,1.58397,1.58707
"2018-05-08","00:00",1.58698,1.59434,1.58558,1.59357
"2018-05-09","00:00",1.59356,1.59637,1.58726,1.58865
"2018-05-10","00:00",1.58861,1.59037,1.58147,1.5832
"2018-05-11","00:00",1.58319,1.58512,1.57766,1.58314
"2018-05-14","00:00",1.58306,1.58841,1.58172,1.58537
"2018-05-15","00:00",1.58534,1.58885,1.58236,1.58282
"2018-05-16","00:00",1.58286,1.58674,1.56904,1.57167
"2018-05-17","00:00",1.57175,1.57285,1.566,1.57094
"2018-05-18","00:00",1.57095,1.57278,1.56551,1.56728
"2018-05-21","00:00",1.56394,1.56457,1.55329,1.55509
"2018-05-22","00:00",1.5551,1.55686,1.54893,1.55553
"2018-05-23","00:00",1.55554,1.56193,1.54628,1.54766
"2018-05-24","00:00",1.54765,1.55266,1.54604,1.54835
"2018-05-25","00:00",1.54836,1.54883,1.54066,1.54309
"2018-05-28","00:00",1.54676,1.54957,1.53726,1.54082
"2018-05-29","00:00",1.54085,1.54561,1.53165,1.54184
"2018-05-30","00:00",1.54185,1.54408,1.53639,1.54088
"2018-05-31","00:00",1.54089,1.54661,1.5371,1.54621
"2018-06-01","00:00",1.54624,1.55306,1.53956,1.5408
"2018-06-04","00:00",1.54176,1.54178,1.52757,1.52913
"2018-06-05","00:00",1.52915,1.53941,1.52851,1.53813
"2018-06-06","00:00",1.53814,1.5392,1.52834,1.53738
"2018-06-07","00:00",1.53738,1.55129,1.53718,1.54874
"2018-06-08","00:00",1.54872,1.55584,1.5477,1.5477
"2018-06-11","00:00",1.55009,1.55265,1.54723,1.54832
"2018-06-12","00:00",1.54829,1.55201,1.54432,1.55103
"2018-06-13","00:00",1.55102,1.55962,1.54895,1.55937
"2018-06-14","00:00",1.55937,1.56939,1.54282,1.54897
"2018-06-15","00:00",1.54891,1.56035,1.54844,1.55995
"2018-06-18","00:00",1.55805,1.57268,1.55445,1.57093
"2018-06-19","00:00",1.57087,1.5752,1.56395,1.56818
"2018-06-20","00:00",1.56818,1.57228,1.5619,1.57054
"2018-06-21","00:00",1.57052,1.57441,1.56324,1.57321
"2018-06-22","00:00",1.57321,1.57563,1.56535,1.56675
"2018-06-25","00:00",1.56733,1.58184,1.56583,1.57923
"2018-06-26","00:00",1.57924,1.58236,1.57478,1.576
"2018-06-27","00:00",1.57602,1.58267,1.56978,1.57506
"2018-06-28","00:00",1.57508,1.57861,1.57141,1.57377
"2018-06-29","00:00",1.57376,1.58089,1.57219,1.57828
"2018-07-02","00:00",1.57859,1.58709,1.57638,1.58645
"2018-07-03","00:00",1.58645,1.58881,1.57485,1.5801
"2018-07-04","00:00",1.58016,1.58109,1.57289,1.58012
"2018-07-05","00:00",1.58013,1.58709,1.57875,1.58291
"2018-07-06","00:00",1.58289,1.58508,1.57798,1.58098
"2018-07-09","00:00",1.58022,1.58047,1.57235,1.57381
"2018-07-10","00:00",1.57381,1.58241,1.57005,1.58151
"2018-07-11","00:00",1.5815,1.58817,1.57943,1.58516
"2018-07-12","00:00",1.58516,1.58583,1.57414,1.57486
"2018-07-13","00:00",1.57473,1.57726,1.57132,1.57412
"2018-07-16","00:00",1.57428,1.57978,1.57187,1.57942
"2018-07-17","00:00",1.57942,1.58284,1.57542,1.57951
"2018-07-18","00:00",1.57956,1.5831,1.57287,1.57397
"2018-07-19","00:00",1.574,1.58474,1.56583,1.58294
"2018-07-20","00:00",1.58295,1.58906,1.57823,1.58027
"2018-07-23","00:00",1.57978,1.58632,1.57925,1.58454
"2018-07-24","00:00",1.58451,1.58699,1.57276,1.57355
"2018-07-25","00:00",1.57353,1.58081,1.57032,1.57361
"2018-07-26","00:00",1.57364,1.58076,1.57303,1.57761
"2018-07-27","00:00",1.57758,1.57886,1.57207,1.57577
"2018-07-30","00:00",1.57587,1.58199,1.57454,1.58039
"2018-07-31","00:00",1.58041,1.58197,1.57244,1.57553
"2018-08-01","00:00",1.5755,1.57899,1.57342,1.5751
"2018-08-02","00:00",1.57512,1.5794,1.57288,1.57424
"2018-08-03","00:00",1.57424,1.57512,1.56236,1.56236
"2018-08-06","00:00",1.56368,1.56582,1.56156,1.56479
"2018-08-07","00:00",1.5649,1.5651,1.55802,1.56263
"2018-08-08","00:00",1.56268,1.56755,1.56072,1.56332
"2018-08-09","00:00",1.56333,1.56488,1.55888,1.56315
"2018-08-10","00:00",1.56314,1.57031,1.56083,1.56305
"2018-08-13","00:00",1.56348,1.5699,1.56303,1.56908
"2018-08-14","00:00",1.56908,1.57264,1.56616,1.5682
"2018-08-15","00:00",1.5682,1.5717,1.5651,1.5681
"2018-08-16","00:00",1.56808,1.57226,1.56291,1.56664
"2018-08-17","00:00",1.56663,1.56831,1.56327,1.56425
"2018-08-20","00:00",1.56505,1.56666,1.56034,1.56641
"2018-08-21","00:00",1.5664,1.57415,1.56491,1.57252
"2018-08-22","00:00",1.57256,1.58005,1.57231,1.57984
"2018-08-23","00:00",1.57977,1.59352,1.5797,1.5934
"2018-08-24","00:00",1.59342,1.5947,1.58311,1.58635
"2018-08-27","00:00",1.586,1.59065,1.58518,1.58982
"2018-08-28","00:00",1.58984,1.59547,1.58954,1.59208
"2018-08-29","00:00",1.59208,1.60562,1.59134,1.60163
"2018-08-30","00:00",1.60163,1.60847,1.59856,1.60634
"2018-08-31","00:00",1.60633,1.61608,1.60624,1.61265
"2018-09-03","00:00",1.61338,1.61721,1.60767,1.61135
"2018-09-04","00:00",1.61134,1.61514,1.6042,1.61274
"2018-09-05","00:00",1.61273,1.62013,1.60711,1.61694
"2018-09-06","00:00",1.61694,1.6222,1.61318,1.61609
"2018-09-07","00:00",1.61605,1.62898,1.61565,1.62575
"2018-09-10","00:00",1.62501,1.63204,1.62255,1.63086
"2018-09-11","00:00",1.63077,1.63545,1.62824,1.63074
"2018-09-12","00:00",1.63077,1.63407,1.6198,1.62116
"2018-09-13","00:00",1.6212,1.62688,1.61383,1.62677
"2018-09-14","00:00",1.62681,1.62867,1.62278,1.62515
"2018-09-17","00:00",1.62733,1.63324,1.62367,1.63319
"2018-09-18","00:00",1.6332,1.63333,1.61478,1.61646
"2018-09-19","00:00",1.61645,1.6168,1.60532,1.60826
"2018-09-20","00:00",1.60826,1.61713,1.60665,1.61623
"2018-09-21","00:00",1.61613,1.61765,1.61147,1.61188
"2018-09-24","00:00",1.61466,1.62434,1.61347,1.62051
"2018-09-25","00:00",1.62051,1.62542,1.61851,1.62291
"2018-09-26","00:00",1.6229,1.62323,1.61222,1.61896
"2018-09-27","00:00",1.61897,1.62114,1.61468,1.61509
