Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.4891,1.49558,1.48795,1.49441
"2017-10-31","00:00",1.49443,1.50413,1.49229,1.50221
"2017-11-01","00:00",1.50221,1.50266,1.49381,1.49696
"2017-11-02","00:00",1.49695,1.49914,1.49241,1.49329
"2017-11-03","00:00",1.49329,1.49694,1.48032,1.48175
"2017-11-06","00:00",1.48233,1.48368,1.47483,1.47639
"2017-11-07","00:00",1.47636,1.48375,1.47396,1.48069
"2017-11-08","00:00",1.48069,1.48101,1.47366,1.47588
"2017-11-09","00:00",1.47587,1.47949,1.47463,1.47677
"2017-11-10","00:00",1.47677,1.48119,1.47392,1.47899
"2017-11-13","00:00",1.48018,1.48626,1.47715,1.48572
"2017-11-14","00:00",1.48572,1.50333,1.48558,1.50194
"2017-11-15","00:00",1.50193,1.51257,1.50103,1.5043
"2017-11-16","00:00",1.5043,1.50669,1.49818,1.50265
"2017-11-17","00:00",1.50266,1.51236,1.50217,1.50562
"2017-11-20","00:00",1.50136,1.5078,1.49976,1.504
"2017-11-21","00:00",1.50401,1.50824,1.4961,1.4999
"2017-11-22","00:00",1.49989,1.50301,1.49622,1.50127
"2017-11-23","00:00",1.50127,1.50761,1.50068,1.50657
"2017-11-24","00:00",1.50657,1.51726,1.50604,1.51676
"2017-11-27","00:00",1.5167,1.51981,1.51336,1.51887
"2017-11-28","00:00",1.51882,1.52343,1.51627,1.51841
"2017-11-29","00:00",1.5184,1.52557,1.51593,1.52474
"2017-11-30","00:00",1.52473,1.53724,1.52242,1.5341
"2017-12-01","00:00",1.53411,1.53576,1.50859,1.50961
"2017-12-04","00:00",1.50806,1.51031,1.49998,1.5045
"2017-12-05","00:00",1.50452,1.50467,1.49516,1.50193
"2017-12-06","00:00",1.50194,1.51049,1.49229,1.5095
"2017-12-07","00:00",1.5095,1.51823,1.50929,1.51374
"2017-12-08","00:00",1.51374,1.51472,1.5049,1.51378
"2017-12-11","00:00",1.51358,1.51824,1.51203,1.51372
"2017-12-12","00:00",1.51372,1.51419,1.50852,1.51125
"2017-12-13","00:00",1.51125,1.51798,1.50806,1.51727
"2017-12-14","00:00",1.51729,1.52167,1.49992,1.5066
"2017-12-15","00:00",1.50659,1.51533,1.50179,1.51371
"2017-12-18","00:00",1.51204,1.52155,1.51144,1.51621
"2017-12-19","00:00",1.5162,1.52712,1.51529,1.52463
"2017-12-20","00:00",1.52463,1.53019,1.51872,1.52347
"2017-12-21","00:00",1.52346,1.52549,1.50711,1.50985
"2017-12-22","00:00",1.50982,1.51696,1.50486,1.50915
"2017-12-26","00:00",1.50962,1.51045,1.50382,1.50453
"2017-12-27","00:00",1.50453,1.50741,1.50199,1.50498
"2017-12-28","00:00",1.50497,1.50652,1.49994,1.50028
"2017-12-29","00:00",1.50028,1.50724,1.49954,1.50589
"2018-01-02","00:00",1.50815,1.51412,1.5056,1.50856
"2018-01-03","00:00",1.50852,1.50928,1.50334,1.507
"2018-01-04","00:00",1.50701,1.51394,1.50526,1.50726
"2018-01-05","00:00",1.50724,1.50854,1.48814,1.49465
"2018-01-08","00:00",1.49193,1.49248,1.48442,1.48609
"2018-01-09","00:00",1.4861,1.48835,1.48185,1.48798
"2018-01-10","00:00",1.48798,1.50452,1.48595,1.49846
"2018-01-11","00:00",1.49844,1.51303,1.49813,1.50806
"2018-01-12","00:00",1.50806,1.52209,1.50775,1.51996
"2018-01-15","00:00",1.51929,1.52778,1.51876,1.52459
"2018-01-16","00:00",1.5246,1.52681,1.51439,1.52468
"2018-01-17","00:00",1.52472,1.53122,1.51368,1.51572
"2018-01-18","00:00",1.51571,1.52835,1.51559,1.51845
"2018-01-19","00:00",1.51846,1.52907,1.51844,1.52903
"2018-01-22","00:00",1.53033,1.53051,1.52376,1.52633
"2018-01-23","00:00",1.52636,1.53274,1.52561,1.52819
"2018-01-24","00:00",1.52819,1.53341,1.52017,1.53058
"2018-01-25","00:00",1.5306,1.54158,1.52674,1.53397
"2018-01-26","00:00",1.53395,1.53836,1.52918,1.53085
"2018-01-29","00:00",1.53063,1.53457,1.52209,1.52731
"2018-01-30","00:00",1.5273,1.5351,1.52644,1.53064
"2018-01-31","00:00",1.53063,1.53255,1.52533,1.52787
"2018-02-01","00:00",1.52787,1.53585,1.52611,1.53372
"2018-02-02","00:00",1.5337,1.5489,1.5335,1.54835
"2018-02-05","00:00",1.54764,1.55325,1.5451,1.54983
"2018-02-06","00:00",1.54988,1.55705,1.54261,1.54821
"2018-02-07","00:00",1.54819,1.5507,1.53957,1.54191
"2018-02-08","00:00",1.54194,1.54499,1.5375,1.54354
"2018-02-09","00:00",1.54359,1.55603,1.53952,1.54093
"2018-02-12","00:00",1.54239,1.54946,1.54051,1.54758
"2018-02-13","00:00",1.54753,1.56014,1.54584,1.55524
"2018-02-14","00:00",1.55525,1.55946,1.55099,1.55632
"2018-02-15","00:00",1.55632,1.56444,1.55553,1.56068
"2018-02-16","00:00",1.56068,1.56483,1.55673,1.55769
"2018-02-19","00:00",1.55864,1.56005,1.55481,1.55843
"2018-02-20","00:00",1.55845,1.56054,1.55362,1.56027
"2018-02-21","00:00",1.56027,1.56287,1.55821,1.55951
"2018-02-22","00:00",1.55953,1.56881,1.55695,1.56716
"2018-02-23","00:00",1.56716,1.56759,1.55139,1.55659
"2018-02-26","00:00",1.55429,1.56318,1.55376,1.5622
"2018-02-27","00:00",1.56221,1.56583,1.55873,1.56146
"2018-02-28","00:00",1.56146,1.56672,1.55797,1.56483
"2018-03-01","00:00",1.56481,1.575,1.56218,1.57454
"2018-03-02","00:00",1.57456,1.5918,1.57292,1.58916
"2018-03-05","00:00",1.58751,1.60314,1.58366,1.60136
"2018-03-06","00:00",1.60142,1.60931,1.59645,1.60766
"2018-03-07","00:00",1.60768,1.61225,1.59988,1.60183
"2018-03-08","00:00",1.60184,1.60676,1.58646,1.58718
"2018-03-09","00:00",1.58717,1.58899,1.57613,1.5772
"2018-03-12","00:00",1.57711,1.5848,1.57612,1.58471
