Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.1583,1.16187,1.15715,1.15921
"2017-10-31","00:00",1.15921,1.16337,1.15836,1.16257
"2017-11-01","00:00",1.16256,1.16647,1.16141,1.16583
"2017-11-02","00:00",1.16584,1.16644,1.16261,1.16508
"2017-11-03","00:00",1.16508,1.16528,1.16126,1.16166
"2017-11-06","00:00",1.16192,1.16407,1.15775,1.1586
"2017-11-07","00:00",1.15861,1.15983,1.1543,1.15815
"2017-11-08","00:00",1.15815,1.16004,1.15751,1.15937
"2017-11-09","00:00",1.15936,1.16197,1.15532,1.15773
"2017-11-10","00:00",1.15773,1.16188,1.15583,1.16163
"2017-11-13","00:00",1.1622,1.163,1.15843,1.1624
"2017-11-14","00:00",1.16241,1.16778,1.16236,1.16701
"2017-11-15","00:00",1.16702,1.16898,1.16441,1.1648
"2017-11-16","00:00",1.1648,1.17044,1.1647,1.17016
"2017-11-17","00:00",1.17017,1.17229,1.16555,1.16603
"2017-11-20","00:00",1.16124,1.16826,1.15911,1.16584
"2017-11-21","00:00",1.16583,1.16711,1.16184,1.16316
"2017-11-22","00:00",1.16315,1.1646,1.1586,1.16042
"2017-11-23","00:00",1.16042,1.16405,1.15958,1.16337
"2017-11-24","00:00",1.16337,1.16979,1.16264,1.16898
"2017-11-27","00:00",1.16943,1.17233,1.16735,1.16826
"2017-11-28","00:00",1.16835,1.16999,1.16463,1.16614
"2017-11-29","00:00",1.16614,1.16816,1.16521,1.1669
"2017-11-30","00:00",1.1669,1.17159,1.16498,1.17081
"2017-12-01","00:00",1.17081,1.17372,1.15993,1.16135
"2017-12-04","00:00",1.16488,1.16936,1.16445,1.16866
"2017-12-05","00:00",1.16867,1.17038,1.16606,1.16833
"2017-12-06","00:00",1.16833,1.17009,1.16588,1.16788
"2017-12-07","00:00",1.16788,1.17176,1.1675,1.17115
"2017-12-08","00:00",1.17114,1.17199,1.16761,1.16823
"2017-12-11","00:00",1.16859,1.16969,1.16712,1.16758
"2017-12-12","00:00",1.16759,1.16852,1.16254,1.1643
"2017-12-13","00:00",1.16431,1.16692,1.1621,1.16651
"2017-12-14","00:00",1.16651,1.16992,1.16378,1.16453
"2017-12-15","00:00",1.16453,1.1687,1.16403,1.16424
"2017-12-18","00:00",1.16409,1.16681,1.16101,1.16153
"2017-12-19","00:00",1.16153,1.16771,1.16128,1.16665
"2017-12-20","00:00",1.16665,1.17205,1.16575,1.17151
"2017-12-21","00:00",1.17152,1.17505,1.16986,1.17206
"2017-12-22","00:00",1.17204,1.17449,1.16969,1.17323
"2017-12-26","00:00",1.17414,1.17551,1.17306,1.17368
"2017-12-27","00:00",1.17368,1.17768,1.17239,1.17334
"2017-12-28","00:00",1.17333,1.1738,1.16813,1.16874
"2017-12-29","00:00",1.16874,1.17224,1.16717,1.17049
"2018-01-02","00:00",1.1709,1.17279,1.16921,1.17183
"2018-01-03","00:00",1.17184,1.17627,1.17012,1.17365
"2018-01-04","00:00",1.17365,1.17753,1.17343,1.17597
"2018-01-05","00:00",1.17596,1.17787,1.17331,1.17426
"2018-01-08","00:00",1.17378,1.1747,1.16838,1.16998
"2018-01-09","00:00",1.16999,1.17411,1.169,1.17375
"2018-01-10","00:00",1.17375,1.17478,1.16866,1.16897
"2018-01-11","00:00",1.16897,1.17572,1.16885,1.17503
"2018-01-12","00:00",1.17502,1.18023,1.17487,1.17993
"2018-01-15","00:00",1.18044,1.18318,1.17836,1.18166
"2018-01-16","00:00",1.18165,1.18283,1.17615,1.17705
"2018-01-17","00:00",1.17703,1.18019,1.17534,1.17571
"2018-01-18","00:00",1.17571,1.17752,1.17294,1.17335
"2018-01-19","00:00",1.17334,1.17732,1.17118,1.1773
"2018-01-22","00:00",1.1785,1.1798,1.17516,1.17922
"2018-01-23","00:00",1.17921,1.17969,1.17682,1.1777
"2018-01-24","00:00",1.17771,1.17815,1.16858,1.17291
"2018-01-25","00:00",1.1729,1.17373,1.16267,1.16703
"2018-01-26","00:00",1.16704,1.16851,1.15881,1.15966
"2018-01-29","00:00",1.16045,1.16375,1.15414,1.16068
"2018-01-30","00:00",1.16067,1.16146,1.15684,1.15979
"2018-01-31","00:00",1.15982,1.16374,1.15525,1.1564
"2018-02-01","00:00",1.15641,1.16073,1.15521,1.15856
"2018-02-02","00:00",1.15856,1.16228,1.15792,1.16028
"2018-02-05","00:00",1.15917,1.16398,1.15091,1.15178
"2018-02-06","00:00",1.1518,1.16289,1.15131,1.15905
"2018-02-07","00:00",1.15905,1.16194,1.15589,1.15652
"2018-02-08","00:00",1.15651,1.15947,1.1448,1.14661
"2018-02-09","00:00",1.14661,1.15281,1.14503,1.15021
"2018-02-12","00:00",1.15136,1.15504,1.1487,1.15483
"2018-02-13","00:00",1.15482,1.15626,1.15081,1.15552
"2018-02-14","00:00",1.1555,1.15849,1.14987,1.1565
"2018-02-15","00:00",1.15653,1.15739,1.152,1.15312
"2018-02-16","00:00",1.15312,1.15467,1.15045,1.15098
"2018-02-19","00:00",1.15095,1.15362,1.15046,1.15246
"2018-02-20","00:00",1.15247,1.15582,1.15187,1.15515
"2018-02-21","00:00",1.15515,1.15605,1.15285,1.15287
"2018-02-22","00:00",1.15285,1.15443,1.14989,1.15028
"2018-02-23","00:00",1.15025,1.15238,1.14912,1.15178
"2018-02-26","00:00",1.1517,1.15601,1.14961,1.15599
"2018-02-27","00:00",1.15598,1.15629,1.14848,1.14866
"2018-02-28","00:00",1.14868,1.15324,1.14857,1.15151
"2018-03-01","00:00",1.15151,1.15606,1.1515,1.15536
"2018-03-02","00:00",1.15538,1.15609,1.14961,1.15574
"2018-03-05","00:00",1.15441,1.16006,1.15111,1.15945
"2018-03-06","00:00",1.15947,1.16742,1.15941,1.16494
"2018-03-07","00:00",1.16498,1.17128,1.16314,1.17107
"2018-03-08","00:00",1.17106,1.17416,1.16826,1.17099
"2018-03-09","00:00",1.17099,1.17268,1.16783,1.17057
"2018-03-12","00:00",1.17042,1.17159,1.1674,1.16881
"2018-03-13","00:00",1.16882,1.1709,1.16786,1.16948
"2018-03-14","00:00",1.16948,1.17122,1.1683,1.16876
"2018-03-15","00:00",1.16874,1.17127,1.16776,1.17081
"2018-03-16","00:00",1.17083,1.17136,1.16882,1.1702
"2018-03-19","00:00",1.17023,1.17446,1.16932,1.17345
"2018-03-20","00:00",1.17351,1.17492,1.16961,1.17093
"2018-03-21","00:00",1.17094,1.17294,1.16892,1.17128
"2018-03-22","00:00",1.17129,1.17247,1.16516,1.16658
"2018-03-23","00:00",1.16658,1.17162,1.1654,1.17036
"2018-03-26","00:00",1.17022,1.17741,1.17013,1.17724
"2018-03-27","00:00",1.17721,1.17741,1.17366,1.17442
"2018-03-28","00:00",1.17442,1.18036,1.17439,1.17781
"2018-03-29","00:00",1.1778,1.17968,1.17549,1.17647
"2018-03-30","00:00",1.17648,1.1768,1.17333,1.17495
"2018-04-02","00:00",1.17541,1.17637,1.17372,1.17421
"2018-04-03","00:00",1.17421,1.17751,1.1742,1.17683
"2018-04-04","00:00",1.17686,1.18047,1.17564,1.17977
"2018-04-05","00:00",1.17977,1.18053,1.17721,1.17875
"2018-04-06","00:00",1.17875,1.18047,1.17692,1.17814
"2018-04-09","00:00",1.17725,1.17986,1.17725,1.17815
"2018-04-10","00:00",1.17815,1.18274,1.17686,1.18244
"2018-04-11","00:00",1.18245,1.188,1.18217,1.18451
"2018-04-12","00:00",1.18451,1.18901,1.18449,1.18651
"2018-04-13","00:00",1.1865,1.18796,1.18502,1.18656
"2018-04-16","00:00",1.18775,1.18851,1.18654,1.18828
"2018-04-17","00:00",1.18827,1.19637,1.18819,1.19606
"2018-04-18","00:00",1.19606,1.1992,1.19571,1.199
"2018-04-19","00:00",1.19899,1.20013,1.19604,1.19937
"2018-04-20","00:00",1.19938,1.20056,1.19503,1.19802
"2018-04-23","00:00",1.19792,1.19831,1.19265,1.19425
"2018-04-24","00:00",1.19427,1.19909,1.19251,1.19786
"2018-04-25","00:00",1.19786,1.19972,1.19548,1.19603
"2018-04-26","00:00",1.19603,1.19904,1.19556,1.19758
"2018-04-27","00:00",1.19757,1.19849,1.19528,1.19837
"2018-04-30","00:00",1.19794,1.19875,1.19562,1.197
"2018-05-01","00:00",1.19701,1.19735,1.19362,1.19514
"2018-05-02","00:00",1.19512,1.19632,1.19351,1.19428
"2018-05-03","00:00",1.19427,1.19692,1.19385,1.19575
"2018-05-04","00:00",1.19577,1.19749,1.19364,1.19605
"2018-05-07","00:00",1.19623,1.19796,1.19476,1.19573
"2018-05-08","00:00",1.19573,1.19603,1.1867,1.18842
"2018-05-09","00:00",1.18841,1.19227,1.18671,1.19131
"2018-05-10","00:00",1.19126,1.1958,1.18998,1.19502
"2018-05-11","00:00",1.19502,1.19583,1.19251,1.19495
"2018-05-14","00:00",1.19524,1.19804,1.19307,1.19346
"2018-05-15","00:00",1.19346,1.19416,1.18331,1.18372
"2018-05-16","00:00",1.18372,1.18422,1.17716,1.18225
"2018-05-17","00:00",1.18225,1.18408,1.18029,1.18121
"2018-05-18","00:00",1.18122,1.18179,1.17302,1.17436
"2018-05-21","00:00",1.17428,1.17623,1.17071,1.17528
"2018-05-22","00:00",1.17529,1.17717,1.16847,1.16942
"2018-05-23","00:00",1.16941,1.16965,1.15815,1.16429
"2018-05-24","00:00",1.16429,1.16528,1.15885,1.16207
"2018-05-25","00:00",1.16206,1.16427,1.1521,1.153
"2018-05-28","00:00",1.15971,1.16289,1.15458,1.15508
"2018-05-29","00:00",1.15509,1.15546,1.13688,1.14311
"2018-05-30","00:00",1.14314,1.15673,1.14313,1.15328
"2018-05-31","00:00",1.15326,1.15715,1.14641,1.15177
"2018-06-01","00:00",1.15177,1.15741,1.15019,1.15188
"2018-06-04","00:00",1.15359,1.15648,1.15309,1.15627
"2018-06-05","00:00",1.15625,1.15638,1.15068,1.15423
"2018-06-06","00:00",1.15422,1.16401,1.15318,1.16174
"2018-06-07","00:00",1.16174,1.16352,1.15588,1.15678
"2018-06-08","00:00",1.15681,1.16192,1.15373,1.15924
"2018-06-11","00:00",1.16065,1.16569,1.16043,1.16134
"2018-06-12","00:00",1.16135,1.16254,1.15814,1.15955
"2018-06-13","00:00",1.15955,1.16247,1.15889,1.16224
"2018-06-14","00:00",1.16226,1.1649,1.15274,1.15295
"2018-06-15","00:00",1.15294,1.15861,1.15259,1.15789
"2018-06-18","00:00",1.15669,1.15718,1.15335,1.1564
"2018-06-19","00:00",1.15641,1.15651,1.14874,1.15217
"2018-06-20","00:00",1.15219,1.15525,1.15088,1.15331
"2018-06-21","00:00",1.1533,1.15414,1.14801,1.15083
"2018-06-22","00:00",1.15083,1.1551,1.15015,1.15161
"2018-06-25","00:00",1.15207,1.15592,1.14902,1.15504
"2018-06-26","00:00",1.15503,1.15651,1.15252,1.15445
"2018-06-27","00:00",1.15442,1.15553,1.15098,1.15265
"2018-06-28","00:00",1.15264,1.15653,1.1515,1.1536
"2018-06-29","00:00",1.15359,1.16006,1.15353,1.15729
"2018-07-02","00:00",1.15657,1.15701,1.1535,1.15646
"2018-07-03","00:00",1.15647,1.15856,1.15573,1.15667
"2018-07-04","00:00",1.15665,1.15843,1.15499,1.15721
"2018-07-05","00:00",1.15721,1.16198,1.1568,1.16127
"2018-07-06","00:00",1.1613,1.16398,1.16114,1.16272
"2018-07-09","00:00",1.16265,1.16587,1.1606,1.16553
"2018-07-10","00:00",1.16553,1.16595,1.16321,1.16426
"2018-07-11","00:00",1.16426,1.16582,1.16193,1.16239
"2018-07-12","00:00",1.1624,1.17083,1.16223,1.16966
"2018-07-13","00:00",1.16965,1.17088,1.16583,1.17053
"2018-07-16","00:00",1.17053,1.17144,1.16704,1.16729
"2018-07-17","00:00",1.1673,1.16819,1.16406,1.16581
"2018-07-18","00:00",1.16582,1.16698,1.1603,1.16314
"2018-07-19","00:00",1.16313,1.16426,1.16138,1.16406
"2018-07-20","00:00",1.16408,1.16548,1.1625,1.16309
"2018-07-23","00:00",1.16353,1.16375,1.16032,1.16143
"2018-07-24","00:00",1.16145,1.16315,1.1596,1.16101
"2018-07-25","00:00",1.16103,1.16346,1.15955,1.16329
"2018-07-26","00:00",1.16329,1.16383,1.15673,1.15746
"2018-07-27","00:00",1.15746,1.16062,1.15693,1.1592
"2018-07-30","00:00",1.15915,1.16045,1.1566,1.15707
"2018-07-31","00:00",1.15704,1.15983,1.15611,1.15771
"2018-08-01","00:00",1.15775,1.16035,1.15635,1.15681
"2018-08-02","00:00",1.15678,1.15717,1.1528,1.15331
"2018-08-03","00:00",1.15332,1.15421,1.14976,1.14982
"2018-08-06","00:00",1.14992,1.1529,1.14981,1.15164
"2018-08-07","00:00",1.15165,1.15537,1.15131,1.15484
"2018-08-08","00:00",1.15485,1.15577,1.15259,1.15314
"2018-08-09","00:00",1.15314,1.15369,1.14505,1.1455
"2018-08-10","00:00",1.14548,1.14614,1.134,1.13595
"2018-08-13","00:00",1.13321,1.13606,1.12869,1.13257
