Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.1583,1.15842,1.15829,1.1584
"2017-10-30","00:01",1.15838,1.15843,1.15838,1.15841
"2017-10-30","00:02",1.15841,1.15848,1.15834,1.15842
"2017-10-30","00:03",1.15843,1.15843,1.15829,1.15829
"2017-10-30","00:04",1.15829,1.15839,1.1582,1.15839
"2017-10-30","00:05",1.15838,1.15848,1.15836,1.15846
"2017-10-30","00:06",1.15846,1.1585,1.15829,1.15831
"2017-10-30","00:07",1.1583,1.15837,1.15828,1.15833
"2017-10-30","00:08",1.15834,1.15835,1.15821,1.15826
"2017-10-30","00:09",1.15824,1.15826,1.15819,1.15819
"2017-10-30","00:10",1.15816,1.1582,1.15812,1.15819
"2017-10-30","00:11",1.15819,1.15824,1.15814,1.15824
"2017-10-30","00:12",1.15825,1.15835,1.15825,1.15827
"2017-10-30","00:13",1.15828,1.15836,1.15826,1.15826
"2017-10-30","00:14",1.15825,1.15835,1.15825,1.15834
"2017-10-30","00:15",1.15835,1.15835,1.15831,1.15833
"2017-10-30","00:16",1.15833,1.15833,1.15823,1.15824
"2017-10-30","00:17",1.15823,1.15823,1.15816,1.15823
"2017-10-30","00:18",1.1582,1.15822,1.15818,1.15821
"2017-10-30","00:19",1.15822,1.15826,1.15818,1.15818
"2017-10-30","00:20",1.15818,1.15824,1.15815,1.15821
"2017-10-30","00:21",1.15822,1.15838,1.15821,1.15837
"2017-10-30","00:22",1.15837,1.15842,1.1583,1.15831
"2017-10-30","00:23",1.1583,1.15843,1.1583,1.15843
"2017-10-30","00:24",1.15845,1.15847,1.15841,1.15841
"2017-10-30","00:25",1.15841,1.15851,1.15841,1.15848
"2017-10-30","00:26",1.15848,1.1585,1.15847,1.15847
"2017-10-30","00:27",1.15846,1.15846,1.1583,1.15831
"2017-10-30","00:28",1.15831,1.15843,1.15831,1.15841
"2017-10-30","00:29",1.15841,1.15842,1.15836,1.15839
"2017-10-30","00:30",1.15847,1.15853,1.15843,1.15848
"2017-10-30","00:31",1.15849,1.15849,1.1584,1.15842
