Date,Time,Open,High,Low,Close
"2017-10-30","00:00",0.88365,0.88372,0.88362,0.88364
"2017-10-30","00:01",0.88361,0.88365,0.88361,0.88363
"2017-10-30","00:02",0.88363,0.88363,0.88353,0.88353
"2017-10-30","00:03",0.88354,0.88356,0.88352,0.88355
"2017-10-30","00:04",0.88355,0.8836,0.88348,0.88354
"2017-10-30","00:05",0.88353,0.88357,0.88352,0.88357
"2017-10-30","00:06",0.88357,0.8836,0.88353,0.8836
"2017-10-30","00:07",0.88359,0.88362,0.88352,0.88357
"2017-10-30","00:08",0.8836,0.88362,0.88351,0.88355
"2017-10-30","00:09",0.88356,0.88356,0.88352,0.88355
"2017-10-30","00:10",0.88356,0.88361,0.88352,0.88358
"2017-10-30","00:11",0.88358,0.88359,0.8835,0.88355
"2017-10-30","00:12",0.88354,0.88358,0.88352,0.88352
"2017-10-30","00:13",0.88353,0.88356,0.88351,0.88353
"2017-10-30","00:14",0.88352,0.88356,0.88351,0.88354
"2017-10-30","00:15",0.88353,0.8836,0.88352,0.88358
"2017-10-30","00:16",0.88359,0.8836,0.88357,0.8836
"2017-10-30","00:17",0.88359,0.8836,0.88356,0.88356
"2017-10-30","00:18",0.88359,0.88359,0.88349,0.88355
"2017-10-30","00:19",0.88356,0.8836,0.88356,0.8836
"2017-10-30","00:20",0.88359,0.8836,0.88355,0.88356
"2017-10-30","00:21",0.88358,0.88358,0.88351,0.88353
"2017-10-30","00:22",0.88352,0.88356,0.88351,0.88351
"2017-10-30","00:23",0.88354,0.88357,0.88352,0.88356
"2017-10-30","00:24",0.88357,0.8836,0.88354,0.88359
"2017-10-30","00:25",0.88359,0.88364,0.88357,0.88364
"2017-10-30","00:26",0.88364,0.88365,0.88353,0.88357
"2017-10-30","00:27",0.88356,0.88359,0.88347,0.88356
"2017-10-30","00:28",0.88357,0.88361,0.88354,0.88357
"2017-10-30","00:29",0.88357,0.8836,0.88354,0.88354
"2017-10-30","00:30",0.88351,0.88363,0.88351,0.8836
"2017-10-30","00:31",0.88359,0.88364,0.88359,0.88364
"2017-10-30","00:32",0.88363,0.88364,0.88362,0.88363
"2017-10-30","00:33",0.88364,0.88365,0.88361,0.88362
"2017-10-30","00:34",0.88363,0.88363,0.88361,0.88363
"2017-10-30","00:35",0.88363,0.8837,0.8836,0.8836
"2017-10-30","00:36",0.8836,0.88361,0.88357,0.88357
"2017-10-30","00:37",0.88358,0.88361,0.88354,0.88356
"2017-10-30","00:38",0.88353,0.88358,0.8835,0.88358
"2017-10-30","00:39",0.88356,0.88356,0.88353,0.88353
"2017-10-30","00:40",0.88353,0.88354,0.88337,0.88338
"2017-10-30","00:41",0.88338,0.88338,0.88326,0.88327
"2017-10-30","00:42",0.88326,0.8835,0.88326,0.88349
"2017-10-30","00:43",0.88348,0.88352,0.88347,0.8835
"2017-10-30","00:44",0.8835,0.8835,0.88329,0.88329
"2017-10-30","00:45",0.88326,0.88329,0.88321,0.88328
"2017-10-30","00:46",0.88328,0.88328,0.88326,0.88326
