Date,Time,Open,High,Low,Close
"2017-10-30","00:00",131.987,132.288,131.459,131.678
"2017-10-31","00:00",131.68,132.572,131.512,132.452
"2017-11-01","00:00",132.452,132.84,132.389,132.772
"2017-11-02","00:00",132.773,133.147,132.594,132.935
"2017-11-03","00:00",132.933,132.992,132.402,132.42
"2017-11-06","00:00",132.61,133.121,132.005,132.108
"2017-11-07","00:00",132.106,132.416,131.843,131.962
"2017-11-08","00:00",131.962,132.171,131.406,132.091
"2017-11-09","00:00",132.09,132.264,131.522,132.032
"2017-11-10","00:00",132.026,132.552,131.959,132.433
"2017-11-13","00:00",132.584,132.629,131.935,132.52
"2017-11-14","00:00",132.52,133.887,132.512,133.728
"2017-11-15","00:00",133.73,133.841,132.806,132.874
"2017-11-16","00:00",132.873,133.457,132.762,133.147
"2017-11-17","00:00",133.154,133.154,132.054,132.203
"2017-11-20","00:00",131.45,132.466,131.285,132.112
"2017-11-21","00:00",132.11,132.272,131.579,131.925
"2017-11-22","00:00",131.921,131.93,131.43,131.478
"2017-11-23","00:00",131.482,131.883,131.234,131.85
"2017-11-24","00:00",131.851,133.24,131.846,133.111
"2017-11-27","00:00",133.189,133.192,132.087,132.303
"2017-11-28","00:00",132.302,132.572,131.726,132.274
"2017-11-29","00:00",132.277,132.811,131.996,132.756
"2017-11-30","00:00",132.755,134.149,132.656,133.96
"2017-12-01","00:00",133.959,134.382,132.923,133.306
"2017-12-04","00:00",133.853,134.053,133.273,133.514
"2017-12-05","00:00",133.511,133.745,133.013,133.06
"2017-12-06","00:00",133.058,133.079,132.263,132.574
"2017-12-07","00:00",132.575,133.288,132.575,133.274
"2017-12-08","00:00",133.275,133.611,133.117,133.519
"2017-12-11","00:00",133.644,133.886,133.54,133.719
"2017-12-12","00:00",133.719,133.761,133.031,133.321
"2017-12-13","00:00",133.321,133.505,132.863,133.473
"2017-12-14","00:00",133.479,133.69,132.175,132.339
"2017-12-15","00:00",132.339,132.73,132.055,132.333
"2017-12-18","00:00",132.38,133.007,132.375,132.661
"2017-12-19","00:00",132.659,133.922,132.613,133.768
"2017-12-20","00:00",133.762,134.776,133.661,134.511
"2017-12-21","00:00",134.511,134.882,134.297,134.297
"2017-12-22","00:00",134.298,134.502,133.911,134.245
"2017-12-26","00:00",134.51,134.561,134.207,134.24
"2017-12-27","00:00",134.239,134.972,134.203,134.752
"2017-12-28","00:00",134.752,134.983,134.47,134.786
"2017-12-29","00:00",134.786,135.516,134.545,135.362
"2018-01-02","00:00",135.458,135.632,134.939,135.401
"2018-01-03","00:00",135.402,135.509,134.808,135.258
"2018-01-04","00:00",135.258,136.366,135.249,136.123
"2018-01-05","00:00",136.124,136.638,136.085,136.211
"2018-01-08","00:00",136.215,136.325,135.132,135.443
"2018-01-09","00:00",135.442,135.475,134.053,134.524
"2018-01-10","00:00",134.524,134.537,133.056,133.262
"2018-01-11","00:00",133.261,134.348,133.123,134.016
"2018-01-12","00:00",134.022,135.369,133.942,135.328
"2018-01-15","00:00",135.505,135.983,135.022,135.694
"2018-01-16","00:00",135.694,136.1,134.982,135.463
"2018-01-17","00:00",135.464,135.983,135.157,135.636
"2018-01-18","00:00",135.638,136.31,135.578,135.851
"2018-01-19","00:00",135.849,136.043,135.188,135.365
"2018-01-22","00:00",135.661,136.147,135.348,136.025
"2018-01-23","00:00",136.024,136.218,135.203,135.55
"2018-01-24","00:00",135.552,135.65,134.927,135.483
"2018-01-25","00:00",135.48,136.291,135.044,135.903
"2018-01-26","00:00",135.899,136.139,134.55,135.035
"2018-01-29","00:00",135.012,135.343,134.327,134.888
"2018-01-30","00:00",134.886,135.204,134.132,134.935
"2018-01-31","00:00",134.935,136.052,134.93,135.593
"2018-02-01","00:00",135.591,136.961,135.504,136.87
"2018-02-02","00:00",136.869,137.502,136.67,137.213
"2018-02-05","00:00",136.957,137.096,134.826,134.859
"2018-02-06","00:00",134.863,135.851,133.98,135.726
"2018-02-07","00:00",135.729,135.762,133.825,133.944
"2018-02-08","00:00",133.947,134.798,132.944,133.107
"2018-02-09","00:00",133.105,134.169,131.988,133.12
"2018-02-12","00:00",133.312,133.79,132.904,133.74
"2018-02-13","00:00",133.735,133.735,132.522,133.133
"2018-02-14","00:00",133.135,133.389,131.613,132.853
"2018-02-15","00:00",132.854,133.263,132.523,132.662
"2018-02-16","00:00",132.662,133.104,131.828,131.912
"2018-02-19","00:00",131.904,132.379,131.891,132.334
"2018-02-20","00:00",132.334,132.508,132.121,132.478
"2018-02-21","00:00",132.478,133.06,132.052,132.117
"2018-02-22","00:00",132.117,132.218,131.291,131.685
"2018-02-23","00:00",131.686,131.85,130.938,131.409
"2018-02-26","00:00",131.584,131.872,131.083,131.863
"2018-02-27","00:00",131.863,132.185,131.276,131.345
"2018-02-28","00:00",131.344,131.523,129.956,130.008
"2018-03-01","00:00",130.01,130.792,129.77,130.29
"2018-03-02","00:00",130.291,130.441,129.563,130.369
"2018-03-05","00:00",130.029,131.121,129.355,131.083
"2018-03-06","00:00",131.089,132.019,130.602,131.088
"2018-03-07","00:00",131.085,131.835,131.059,131.799
"2018-03-08","00:00",131.797,131.98,130.519,130.978
"2018-03-09","00:00",130.972,131.894,130.89,131.454
"2018-03-12","00:00",131.58,131.671,130.968,131.135
"2018-03-13","00:00",131.144,132.43,131.116,132.029
"2018-03-14","00:00",132.022,132.281,131.027,131.376
"2018-03-15","00:00",131.376,131.391,130.565,130.831
"2018-03-16","00:00",130.83,130.842,130.078,130.283
"2018-03-19","00:00",130.136,131.07,129.61,130.799
"2018-03-20","00:00",130.799,131.713,130.348,130.418
"2018-03-21","00:00",130.417,131.064,130.198,130.803
"2018-03-22","00:00",130.801,131.02,128.955,129.353
"2018-03-23","00:00",129.358,129.976,129.162,129.401
"2018-03-26","00:00",129.522,131.477,129.468,131.471
"2018-03-27","00:00",131.478,131.817,130.586,130.849
"2018-03-28","00:00",130.85,131.714,130.594,131.489
"2018-03-29","00:00",131.492,131.605,130.615,131
"2018-03-30","00:00",131,131.096,130.608,130.938
"2018-04-02","00:00",130.911,131.297,129.983,130.06
"2018-04-03","00:00",130.061,130.918,129.989,130.694
"2018-04-04","00:00",130.694,131.237,130.234,131.216
"2018-04-05","00:00",131.217,131.499,131.074,131.194
"2018-04-06","00:00",131.194,131.62,131.118,131.316
"2018-04-09","00:00",131.25,131.996,131.132,131.533
"2018-04-10","00:00",131.531,132.621,131.427,132.444
"2018-04-11","00:00",132.445,132.609,132.034,132.167
"2018-04-12","00:00",132.166,132.347,131.81,132.224
"2018-04-13","00:00",132.237,132.897,132.237,132.401
"2018-04-16","00:00",132.594,132.972,132.118,132.579
"2018-04-17","00:00",132.577,132.772,132.111,132.417
"2018-04-18","00:00",132.416,132.909,132.376,132.894
"2018-04-19","00:00",132.892,133.09,132.358,132.625
"2018-04-20","00:00",132.624,132.976,132.046,132.274
"2018-04-23","00:00",132.412,132.829,132.109,132.806
"2018-04-24","00:00",132.805,133.485,132.62,133.144
"2018-04-25","00:00",133.149,133.339,132.918,133.127
"2018-04-26","00:00",133.129,133.252,132.284,132.347
"2018-04-27","00:00",132.347,132.365,131.888,132.286
"2018-04-30","00:00",132.247,132.542,131.865,132.111
"2018-05-01","00:00",132.109,132.135,131.575,131.789
"2018-05-02","00:00",131.788,132.115,131.238,131.278
"2018-05-03","00:00",131.279,131.669,130.268,130.806
"2018-05-04","00:00",130.806,130.881,129.897,130.489
"2018-05-07","00:00",130.477,130.532,129.956,130.012
"2018-05-08","00:00",130.008,130.026,129.236,129.396
"2018-05-09","00:00",129.398,130.489,129.367,130.132
"2018-05-10","00:00",130.13,130.764,130.012,130.4
"2018-05-11","00:00",130.405,130.686,130.004,130.621
"2018-05-14","00:00",130.665,131.376,130.602,130.92
"2018-05-15","00:00",130.921,131.137,130.31,130.373
"2018-05-16","00:00",130.374,130.572,129.534,130.402
"2018-05-17","00:00",130.401,130.849,130.263,130.692
"2018-05-18","00:00",130.694,131.126,130.241,130.38
"2018-05-21","00:00",130.474,131,130.377,130.868
"2018-05-22","00:00",130.868,131.349,130.512,130.536
"2018-05-23","00:00",130.542,130.653,128.236,128.661
"2018-05-24","00:00",128.663,128.879,127.72,128.144
"2018-05-25","00:00",128.144,128.528,127.154,127.428
"2018-05-28","00:00",128.123,128.535,126.863,127.195
"2018-05-29","00:00",127.195,127.201,124.623,125.07
"2018-05-30","00:00",125.076,127.319,124.989,126.829
"2018-05-31","00:00",126.827,127.727,126.33,127.184
"2018-06-01","00:00",127.197,128.137,127.13,127.726
"2018-06-04","00:00",127.893,128.701,127.848,128.668
"2018-06-05","00:00",128.669,128.926,127.797,128.86
"2018-06-06","00:00",128.86,129.829,128.716,129.758
"2018-06-07","00:00",129.757,130.276,129.284,129.389
"2018-06-08","00:00",129.394,129.732,128.115,128.914
"2018-06-11","00:00",128.996,130.059,128.897,129.962
"2018-06-12","00:00",129.963,130.274,129.51,129.758
"2018-06-13","00:00",129.759,130.344,129.668,130.12
"2018-06-14","00:00",130.12,130.363,127.918,127.941
"2018-06-15","00:00",127.939,128.5,127.704,128.454
"2018-06-18","00:00",128.27,128.515,127.817,128.089
"2018-06-19","00:00",128.085,128.23,126.646,127.57
"2018-06-20","00:00",127.57,127.938,127.107,127.796
"2018-06-21","00:00",127.793,128.032,126.999,127.605
"2018-06-22","00:00",127.596,128.598,127.575,128.21
"2018-06-25","00:00",128.201,128.836,127.289,128.286
"2018-06-26","00:00",128.291,128.456,127.803,128.29
"2018-06-27","00:00",128.293,128.345,127.263,127.45
"2018-06-28","00:00",127.451,127.924,127.15,127.766
"2018-06-29","00:00",127.767,129.469,127.706,129.331
"2018-07-02","00:00",129.32,129.501,128.419,129.084
"2018-07-03","00:00",129.086,129.56,128.717,128.745
"2018-07-04","00:00",128.736,128.967,128.503,128.849
"2018-07-05","00:00",128.855,129.633,128.581,129.27
"2018-07-06","00:00",129.279,129.969,129.245,129.742
"2018-07-09","00:00",129.79,130.471,129.685,130.438
"2018-07-10","00:00",130.445,130.745,129.965,130.013
"2018-07-11","00:00",130.01,130.958,129.912,130.746
"2018-07-12","00:00",130.748,131.477,130.727,131.42
"2018-07-13","00:00",131.432,131.533,130.809,131.302
"2018-07-16","00:00",131.268,131.698,131.264,131.595
"2018-07-17","00:00",131.594,131.984,131.531,131.711
"2018-07-18","00:00",131.707,131.774,130.886,131.359
"2018-07-19","00:00",131.358,131.419,130.731,130.959
"2018-07-20","00:00",130.959,131.213,130.555,130.578
"2018-07-23","00:00",130.392,130.469,129.863,130.341
"2018-07-24","00:00",130.343,130.343,129.748,130.029
"2018-07-25","00:00",130.026,130.277,129.413,130.127
"2018-07-26","00:00",130.127,130.156,129.399,129.433
"2018-07-27","00:00",129.43,129.47,129.129,129.429
"2018-07-30","00:00",129.353,130.073,129.316,129.953
"2018-07-31","00:00",129.953,131.149,129.708,130.725
"2018-08-01","00:00",130.725,131.108,130.033,130.216
"2018-08-02","00:00",130.21,130.285,129.262,129.411
"2018-08-03","00:00",129.411,129.535,128.646,128.678
"2018-08-06","00:00",128.608,128.882,128.508,128.686
"2018-08-07","00:00",128.685,129.267,128.595,129.202
"2018-08-08","00:00",129.201,129.458,128.56,128.76
"2018-08-09","00:00",128.761,129.008,127.992,128.017
"2018-08-10","00:00",128.017,128.06,126.012,126.487
"2018-08-13","00:00",126.061,126.778,125.148,126.126
"2018-08-14","00:00",126.127,126.993,125.811,126.239
"2018-08-15","00:00",126.241,126.373,124.906,125.415
"2018-08-16","00:00",125.412,126.49,125.286,126.246
"2018-08-17","00:00",126.245,126.61,125.584,126.395
"2018-08-20","00:00",126.368,126.472,126.078,126.356
"2018-08-21","00:00",126.357,128.054,126.262,127.473
"2018-08-22","00:00",127.475,128.276,127.35,128.129
"2018-08-23","00:00",128.13,128.766,127.921,128.54
"2018-08-24","00:00",128.542,129.419,128.483,129.291
"2018-08-27","00:00",129.605,129.863,128.801,129.855
"2018-08-28","00:00",129.856,130.274,129.711,129.975
"2018-08-29","00:00",129.974,130.851,129.585,130.781
"2018-08-30","00:00",130.779,130.868,129.418,129.5
"2018-08-31","00:00",129.499,129.84,128.56,128.856
"2018-09-03","00:00",128.906,129.149,128.577,129.016
"2018-09-04","00:00",129.015,129.198,128.322,129.16
"2018-09-05","00:00",129.159,129.984,128.625,129.67
"2018-09-06","00:00",129.67,129.838,128.375,128.388
"2018-09-07","00:00",128.391,129.107,128.024,128.237
"2018-09-10","00:00",128.233,129.073,127.873,128.857
"2018-09-11","00:00",128.857,129.826,128.775,129.445
"2018-09-12","00:00",129.445,129.812,128.939,129.303
"2018-09-13","00:00",129.302,130.998,129.261,130.981
"2018-09-14","00:00",130.982,131.116,130.18,130.249
"2018-09-17","00:00",130.144,131.042,130.102,130.331
"2018-09-18","00:00",130.329,131.498,130.301,131.122
"2018-09-19","00:00",131.12,131.68,130.785,131.148
"2018-09-20","00:00",131.147,132.526,130.917,132.474
"2018-09-21","00:00",132.481,133.129,132.163,132.291
"2018-09-24","00:00",132.209,133.072,131.905,132.549
"2018-09-25","00:00",132.547,133.111,132.372,132.903
"2018-09-26","00:00",132.901,133.117,132.233,132.399
"2018-09-27","00:00",132.403,132.678,131.579,131.948
"2018-09-28","00:00",131.947,132.308,131.185,131.942
"2018-10-01","00:00",132.07,132.463,131.742,131.927
"2018-10-02","00:00",131.928,131.962,130.714,131.175
"2018-10-03","00:00",131.177,131.976,130.97,131.414
"2018-10-04","00:00",131.419,131.578,130.746,131.188
"2018-10-05","00:00",131.192,131.413,130.603,130.969
"2018-10-08","00:00",131.041,131.248,129.511,130.026
"2018-10-09","00:00",130.024,130.231,129.341,130.029
"2018-10-10","00:00",130.029,130.499,129.211,129.272
"2018-10-11","00:00",129.274,130.21,129.257,129.92
"2018-10-12","00:00",129.909,130.502,129.358,129.689
"2018-10-15","00:00",129.608,129.798,129.129,129.546
"2018-10-16","00:00",129.545,130.294,129.525,130.06
"2018-10-17","00:00",130.056,130.156,129.177,129.536
"2018-10-18","00:00",129.534,129.731,128.326,128.516
"2018-10-19","00:00",128.516,129.685,128.513,129.592
"2018-10-22","00:00",129.451,130.202,129.205,129.277
"2018-10-23","00:00",129.274,129.319,128.218,128.997
"2018-10-24","00:00",128.995,129.217,127.633,127.663
"2018-10-25","00:00",127.666,128.438,127.499,127.795
"2018-10-26","00:00",127.809,127.84,126.637,127.591
"2018-10-29","00:00",127.566,128.234,127.249,127.78
"2018-10-30","00:00",127.779,128.401,127.739,128.036
