Date,Time,Open,High,Low,Close
"2017-10-30","00:00",131.987,131.988,131.934,131.963
"2017-10-30","00:01",131.965,131.965,131.946,131.946
"2017-10-30","00:02",131.947,131.963,131.945,131.96
"2017-10-30","00:03",131.963,131.965,131.95,131.951
"2017-10-30","00:04",131.95,131.95,131.928,131.942
"2017-10-30","00:05",131.942,131.974,131.942,131.972
"2017-10-30","00:06",131.973,132.002,131.973,131.987
"2017-10-30","00:07",131.986,131.995,131.979,131.992
"2017-10-30","00:08",131.992,131.993,131.962,131.977
"2017-10-30","00:09",131.98,131.982,131.958,131.973
"2017-10-30","00:10",131.974,131.974,131.956,131.963
"2017-10-30","00:11",131.963,131.964,131.942,131.947
"2017-10-30","00:12",131.948,131.953,131.945,131.946
"2017-10-30","00:13",131.942,131.963,131.942,131.946
"2017-10-30","00:14",131.947,131.967,131.947,131.967
"2017-10-30","00:15",131.968,131.968,131.945,131.945
"2017-10-30","00:16",131.944,131.957,131.939,131.957
"2017-10-30","00:17",131.956,131.971,131.942,131.971
"2017-10-30","00:18",131.972,131.99,131.963,131.986
"2017-10-30","00:19",131.987,132.004,131.978,131.983
"2017-10-30","00:20",131.982,132.002,131.976,131.997
"2017-10-30","00:21",131.998,132.013,131.994,132.009
"2017-10-30","00:22",132.01,132.022,131.997,131.998
"2017-10-30","00:23",131.995,132.022,131.995,132.022
"2017-10-30","00:24",132.02,132.035,132.014,132.016
"2017-10-30","00:25",132.016,132.02,132.006,132.017
"2017-10-30","00:26",132.012,132.022,132.007,132.01
"2017-10-30","00:27",132.008,132.018,132.002,132.005
"2017-10-30","00:28",132.006,132.017,132.005,132.012
"2017-10-30","00:29",132.013,132.024,132.008,132.021
"2017-10-30","00:30",132.023,132.047,132.022,132.047
"2017-10-30","00:31",132.046,132.046,132.026,132.029
"2017-10-30","00:32",132.029,132.029,132.026,132.027
"2017-10-30","00:33",132.027,132.031,132.019,132.028
"2017-10-30","00:34",132.026,132.029,132.02,132.029
"2017-10-30","00:35",132.031,132.049,132.031,132.046
"2017-10-30","00:36",132.045,132.062,132.043,132.058
"2017-10-30","00:37",132.057,132.066,132.053,132.059
"2017-10-30","00:38",132.055,132.059,132.04,132.04
"2017-10-30","00:39",132.04,132.052,132.034,132.034
"2017-10-30","00:40",132.034,132.036,132.022,132.022
"2017-10-30","00:41",132.022,132.026,132.016,132.026
"2017-10-30","00:42",132.026,132.034,132.011,132.024
