Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.69151,1.69956,1.69101,1.69338
"2017-10-31","00:00",1.69338,1.70604,1.68513,1.68771
"2017-11-01","00:00",1.68771,1.69061,1.67959,1.68763
"2017-11-02","00:00",1.68766,1.69153,1.68006,1.68659
"2017-11-03","00:00",1.68661,1.68739,1.6785,1.68067
"2017-11-06","00:00",1.68133,1.68904,1.66897,1.67304
"2017-11-07","00:00",1.67304,1.68042,1.66915,1.67871
"2017-11-08","00:00",1.67871,1.68124,1.66301,1.66681
"2017-11-09","00:00",1.66687,1.67995,1.66311,1.67728
"2017-11-10","00:00",1.67728,1.68524,1.67462,1.68331
"2017-11-13","00:00",1.68403,1.69219,1.67955,1.69125
"2017-11-14","00:00",1.69127,1.71715,1.69088,1.71423
"2017-11-15","00:00",1.71423,1.72145,1.71167,1.7139
"2017-11-16","00:00",1.71388,1.72146,1.71374,1.71799
"2017-11-17","00:00",1.71801,1.74099,1.71666,1.73029
"2017-11-20","00:00",1.72562,1.72866,1.71606,1.72337
"2017-11-21","00:00",1.72337,1.72996,1.71443,1.715
"2017-11-22","00:00",1.71497,1.72369,1.71393,1.71904
"2017-11-23","00:00",1.71905,1.72194,1.71547,1.72016
"2017-11-24","00:00",1.72017,1.73525,1.71877,1.73389
"2017-11-27","00:00",1.73565,1.73952,1.71832,1.72023
"2017-11-28","00:00",1.72022,1.72148,1.70808,1.71722
"2017-11-29","00:00",1.71724,1.72259,1.71008,1.72188
"2017-11-30","00:00",1.72188,1.74404,1.72188,1.7419
"2017-12-01","00:00",1.74191,1.74808,1.7216,1.72678
"2017-12-04","00:00",1.73008,1.73422,1.72547,1.72839
"2017-12-05","00:00",1.72842,1.73193,1.71539,1.72109
"2017-12-06","00:00",1.72111,1.72111,1.7105,1.71418
"2017-12-07","00:00",1.71406,1.72666,1.71338,1.72459
"2017-12-08","00:00",1.72459,1.72542,1.71174,1.71986
"2017-12-11","00:00",1.7201,1.72044,1.70091,1.70475
"2017-12-12","00:00",1.70475,1.70584,1.69066,1.69263
"2017-12-13","00:00",1.69264,1.69437,1.68006,1.68653
"2017-12-14","00:00",1.68661,1.69585,1.6834,1.68484
"2017-12-15","00:00",1.68484,1.68738,1.67593,1.68145
"2017-12-18","00:00",1.67824,1.6881,1.67453,1.68487
"2017-12-19","00:00",1.68488,1.69965,1.68044,1.69836
"2017-12-20","00:00",1.69836,1.70646,1.692,1.69315
"2017-12-21","00:00",1.69317,1.69944,1.69002,1.69008
"2017-12-22","00:00",1.69007,1.69231,1.68584,1.68877
"2017-12-26","00:00",1.68959,1.69135,1.68392,1.68637
"2017-12-27","00:00",1.68637,1.68746,1.67958,1.68368
"2017-12-28","00:00",1.68372,1.68894,1.68104,1.68348
"2017-12-29","00:00",1.68318,1.69487,1.68131,1.69439
"2018-01-02","00:00",1.69466,1.69951,1.68687,1.6992
"2018-01-03","00:00",1.69921,1.70261,1.68946,1.69475
"2018-01-04","00:00",1.69474,1.69753,1.68535,1.68636
"2018-01-05","00:00",1.68636,1.68918,1.67642,1.67735
"2018-01-08","00:00",1.67857,1.68016,1.66574,1.66845
"2018-01-09","00:00",1.66847,1.67088,1.65898,1.66965
