Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.69151,1.69191,1.69138,1.69191
"2017-10-30","00:01",1.69188,1.69188,1.69171,1.69186
"2017-10-30","00:02",1.69186,1.69205,1.69177,1.69201
"2017-10-30","00:03",1.69202,1.69202,1.69179,1.69184
"2017-10-30","00:04",1.69183,1.69183,1.69156,1.6917
"2017-10-30","00:05",1.69169,1.69192,1.69163,1.69189
"2017-10-30","00:06",1.69189,1.69211,1.69174,1.69202
"2017-10-30","00:07",1.69197,1.69197,1.69169,1.69195
"2017-10-30","00:08",1.69195,1.69196,1.69165,1.69179
"2017-10-30","00:09",1.69181,1.69192,1.6917,1.69192
"2017-10-30","00:10",1.69192,1.69201,1.69158,1.69162
"2017-10-30","00:11",1.69162,1.69169,1.69158,1.69168
"2017-10-30","00:12",1.69172,1.69179,1.69154,1.69171
"2017-10-30","00:13",1.69169,1.69195,1.69163,1.69183
"2017-10-30","00:14",1.69184,1.69191,1.69171,1.69189
"2017-10-30","00:15",1.69188,1.69198,1.69186,1.69196
"2017-10-30","00:16",1.69196,1.69211,1.69186,1.6921
"2017-10-30","00:17",1.69209,1.6921,1.69185,1.69199
"2017-10-30","00:18",1.69199,1.69217,1.69199,1.69212
"2017-10-30","00:19",1.6921,1.69226,1.69204,1.69222
"2017-10-30","00:20",1.6922,1.6922,1.69195,1.69211
"2017-10-30","00:21",1.69213,1.69232,1.69206,1.69223
"2017-10-30","00:22",1.69221,1.69237,1.6921,1.69222
"2017-10-30","00:23",1.6922,1.69222,1.69188,1.69196
"2017-10-30","00:24",1.69197,1.69198,1.69178,1.69185
"2017-10-30","00:25",1.69186,1.69192,1.6917,1.69176
"2017-10-30","00:26",1.69176,1.69184,1.69151,1.69151
"2017-10-30","00:27",1.69152,1.69172,1.69148,1.69151
"2017-10-30","00:28",1.6915,1.69156,1.69148,1.69151
"2017-10-30","00:29",1.69152,1.69156,1.69144,1.69149
"2017-10-30","00:30",1.69162,1.69176,1.69162,1.69173
"2017-10-30","00:31",1.69175,1.69177,1.69154,1.6917
"2017-10-30","00:32",1.69171,1.69171,1.69152,1.69161
"2017-10-30","00:33",1.69162,1.69169,1.69157,1.69166
"2017-10-30","00:34",1.69166,1.69178,1.69166,1.69176
"2017-10-30","00:35",1.69178,1.6919,1.69161,1.69162
"2017-10-30","00:36",1.69161,1.69173,1.69155,1.69163
"2017-10-30","00:37",1.69169,1.69181,1.69167,1.69176
"2017-10-30","00:38",1.69175,1.69193,1.69172,1.69193
"2017-10-30","00:39",1.69198,1.69198,1.69179,1.69182
"2017-10-30","00:40",1.69178,1.69181,1.69162,1.69162
"2017-10-30","00:41",1.69165,1.69176,1.69162,1.69176
"2017-10-30","00:42",1.69181,1.69203,1.69181,1.69202
"2017-10-30","00:43",1.69199,1.69207,1.69195,1.69206
"2017-10-30","00:44",1.69204,1.69205,1.69185,1.69186
"2017-10-30","00:45",1.69181,1.69183,1.69173,1.69181
"2017-10-30","00:46",1.6918,1.69182,1.69166,1.69168
"2017-10-30","00:47",1.69169,1.69169,1.69139,1.69144
"2017-10-30","00:48",1.69144,1.69177,1.69144,1.69172
"2017-10-30","00:49",1.69173,1.6918,1.69159,1.69168
"2017-10-30","00:50",1.69168,1.69181,1.69135,1.69156
"2017-10-30","00:51",1.69155,1.69189,1.69149,1.69181
"2017-10-30","00:52",1.69183,1.69217,1.69183,1.69215
"2017-10-30","00:53",1.6922,1.6922,1.69173,1.69182
"2017-10-30","00:54",1.69182,1.69222,1.69179,1.69209
"2017-10-30","00:55",1.69194,1.69206,1.69101,1.69103
"2017-10-30","00:56",1.69104,1.69127,1.69101,1.69115
"2017-10-30","00:57",1.69114,1.69153,1.6911,1.69144
"2017-10-30","00:58",1.69152,1.69171,1.69144,1.69152
"2017-10-30","00:59",1.69152,1.69172,1.69135,1.69172
"2017-10-30","01:00",1.69178,1.69244,1.69178,1.69244
"2017-10-30","01:01",1.6924,1.6927,1.69237,1.69264
"2017-10-30","01:02",1.69264,1.69264,1.6922,1.6922
"2017-10-30","01:03",1.69219,1.69233,1.69205,1.69233
"2017-10-30","01:04",1.69234,1.69258,1.69226,1.69249
"2017-10-30","01:05",1.69246,1.69284,1.69238,1.69239
"2017-10-30","01:06",1.6924,1.6926,1.69229,1.6923
"2017-10-30","01:07",1.69227,1.69251,1.69227,1.69246
"2017-10-30","01:08",1.69247,1.69267,1.69245,1.69258
"2017-10-30","01:09",1.69259,1.69301,1.69256,1.69297
"2017-10-30","01:10",1.69298,1.69318,1.69279,1.69297
"2017-10-30","01:11",1.69297,1.69297,1.69251,1.69251
"2017-10-30","01:12",1.69256,1.69263,1.69242,1.69244
"2017-10-30","01:13",1.69252,1.69253,1.69238,1.69244
"2017-10-30","01:14",1.69246,1.69261,1.69244,1.69246
"2017-10-30","01:15",1.69247,1.69262,1.69201,1.69216
"2017-10-30","01:16",1.69222,1.69233,1.69216,1.69232
"2017-10-30","01:17",1.69231,1.69267,1.69226,1.69226
"2017-10-30","01:18",1.69227,1.69245,1.69225,1.69227
"2017-10-30","01:19",1.69223,1.69223,1.69212,1.69213
"2017-10-30","01:20",1.69214,1.69246,1.69213,1.69246
"2017-10-30","01:21",1.69246,1.69259,1.69234,1.69244
"2017-10-30","01:22",1.69247,1.69258,1.69245,1.69247
"2017-10-30","01:23",1.69247,1.69274,1.69247,1.69266
"2017-10-30","01:24",1.69266,1.69292,1.69263,1.69292
"2017-10-30","01:25",1.69293,1.69328,1.69291,1.6931
"2017-10-30","01:26",1.69308,1.69329,1.69307,1.69314
"2017-10-30","01:27",1.69314,1.69315,1.69302,1.69309
"2017-10-30","01:28",1.6931,1.69365,1.69303,1.69327
"2017-10-30","01:29",1.69318,1.69332,1.69293,1.69328
"2017-10-30","01:30",1.69328,1.69328,1.69283,1.69284
"2017-10-30","01:31",1.69286,1.69306,1.6928,1.69304
"2017-10-30","01:32",1.69301,1.69327,1.693,1.69327
"2017-10-30","01:33",1.69327,1.69353,1.69327,1.69352
"2017-10-30","01:34",1.69352,1.69352,1.69349,1.69352
"2017-10-30","01:35",1.69352,1.69368,1.69352,1.69365
"2017-10-30","01:36",1.69364,1.69367,1.69352,1.69358
"2017-10-30","01:37",1.69359,1.69381,1.69359,1.69379
"2017-10-30","01:38",1.69379,1.69379,1.69374,1.69376
"2017-10-30","01:39",1.69375,1.69378,1.69373,1.69375
"2017-10-30","01:40",1.69376,1.69388,1.69362,1.6938
"2017-10-30","01:41",1.69383,1.6943,1.69377,1.69427
"2017-10-30","01:42",1.69426,1.69443,1.69421,1.69432
"2017-10-30","01:43",1.69432,1.69462,1.69432,1.69461
"2017-10-30","01:44",1.69462,1.69462,1.69437,1.69446
"2017-10-30","01:45",1.69457,1.69488,1.69426,1.6948
"2017-10-30","01:46",1.69478,1.69483,1.69457,1.69457
"2017-10-30","01:47",1.69457,1.69478,1.69448,1.69448
"2017-10-30","01:48",1.69449,1.69493,1.69444,1.69493
"2017-10-30","01:49",1.69495,1.69495,1.69477,1.69481
"2017-10-30","01:50",1.6948,1.69481,1.69474,1.69478
"2017-10-30","01:51",1.69476,1.69485,1.69468,1.69485
"2017-10-30","01:52",1.69487,1.69487,1.69458,1.69458
"2017-10-30","01:53",1.69442,1.69476,1.69442,1.69454
"2017-10-30","01:54",1.69452,1.69475,1.69448,1.69459
"2017-10-30","01:55",1.69458,1.695,1.69456,1.69498
"2017-10-30","01:56",1.69499,1.69513,1.69468,1.69493
"2017-10-30","01:57",1.69492,1.69493,1.69484,1.69486
"2017-10-30","01:58",1.69487,1.69512,1.69484,1.69497
"2017-10-30","01:59",1.69498,1.69501,1.69485,1.69496
"2017-10-30","02:00",1.69506,1.69522,1.69502,1.69504
"2017-10-30","02:01",1.69505,1.69506,1.69476,1.69476
"2017-10-30","02:02",1.6948,1.6949,1.69468,1.69473
"2017-10-30","02:03",1.69474,1.69475,1.69457,1.69461
"2017-10-30","02:04",1.69462,1.69463,1.69379,1.69388
"2017-10-30","02:05",1.6939,1.69416,1.6939,1.69402
"2017-10-30","02:06",1.69403,1.69413,1.69388,1.69394
"2017-10-30","02:07",1.69396,1.6944,1.69395,1.69426
"2017-10-30","02:08",1.69425,1.69432,1.69413,1.69413
"2017-10-30","02:09",1.69417,1.69432,1.69399,1.69399
"2017-10-30","02:10",1.694,1.69401,1.69372,1.69372
"2017-10-30","02:11",1.69371,1.69371,1.69307,1.6935
"2017-10-30","02:12",1.69349,1.69361,1.69332,1.69334
"2017-10-30","02:13",1.69332,1.69361,1.69331,1.6936
"2017-10-30","02:14",1.69359,1.69414,1.69359,1.69412
"2017-10-30","02:15",1.6941,1.6943,1.69405,1.69425
"2017-10-30","02:16",1.69428,1.69462,1.69428,1.69461
"2017-10-30","02:17",1.69456,1.69485,1.69456,1.69484
"2017-10-30","02:18",1.69483,1.69483,1.69442,1.6946
"2017-10-30","02:19",1.69459,1.6946,1.69449,1.69449
"2017-10-30","02:20",1.69449,1.69474,1.69449,1.69464
"2017-10-30","02:21",1.69464,1.6949,1.69463,1.69488
"2017-10-30","02:22",1.69481,1.69492,1.69481,1.69489
"2017-10-30","02:23",1.69489,1.69505,1.69487,1.69505
"2017-10-30","02:24",1.69505,1.69575,1.69505,1.69573
"2017-10-30","02:25",1.69577,1.69588,1.69575,1.69578
"2017-10-30","02:26",1.69576,1.69578,1.69546,1.69551
"2017-10-30","02:27",1.69553,1.69553,1.69518,1.69524
"2017-10-30","02:28",1.69525,1.69534,1.69484,1.69491
"2017-10-30","02:29",1.6949,1.69511,1.6949,1.69511
"2017-10-30","02:30",1.69511,1.69511,1.6947,1.69474
"2017-10-30","02:31",1.69474,1.69485,1.69473,1.69484
"2017-10-30","02:32",1.69484,1.69514,1.69484,1.69514
"2017-10-30","02:33",1.69514,1.69514,1.69495,1.695
"2017-10-30","02:34",1.695,1.69509,1.69494,1.69509
"2017-10-30","02:35",1.6951,1.69511,1.69481,1.69498
"2017-10-30","02:36",1.69495,1.695,1.69493,1.695
"2017-10-30","02:37",1.69497,1.69497,1.69481,1.69487
"2017-10-30","02:38",1.69487,1.69487,1.69477,1.69481
"2017-10-30","02:39",1.69481,1.69485,1.69468,1.69468
"2017-10-30","02:40",1.69468,1.69468,1.69443,1.69446
"2017-10-30","02:41",1.69447,1.6945,1.6944,1.6944
"2017-10-30","02:42",1.6944,1.69443,1.69433,1.69436
"2017-10-30","02:43",1.6944,1.6944,1.69407,1.69407
"2017-10-30","02:44",1.69413,1.69456,1.6941,1.69444
"2017-10-30","02:45",1.69444,1.69449,1.6944,1.69442
"2017-10-30","02:46",1.69448,1.69453,1.69437,1.69437
"2017-10-30","02:47",1.69425,1.69443,1.69425,1.69441
"2017-10-30","02:48",1.69442,1.69471,1.69442,1.69469
"2017-10-30","02:49",1.6947,1.69483,1.6947,1.69482
"2017-10-30","02:50",1.69482,1.69482,1.69471,1.69477
"2017-10-30","02:51",1.69472,1.69476,1.69469,1.6947
"2017-10-30","02:52",1.69468,1.69468,1.69439,1.69451
"2017-10-30","02:53",1.69451,1.69455,1.69442,1.69443
"2017-10-30","02:54",1.69444,1.69444,1.69381,1.69398
"2017-10-30","02:55",1.69396,1.69399,1.69354,1.69354
"2017-10-30","02:56",1.69356,1.69371,1.69356,1.69368
"2017-10-30","02:57",1.69368,1.69368,1.69353,1.69356
"2017-10-30","02:58",1.69356,1.69376,1.69351,1.69375
"2017-10-30","02:59",1.6937,1.69395,1.69368,1.69395
"2017-10-30","03:00",1.69396,1.69417,1.69396,1.69417
"2017-10-30","03:01",1.69418,1.69426,1.69413,1.69424
"2017-10-30","03:02",1.69423,1.69423,1.69411,1.69412
"2017-10-30","03:03",1.69412,1.69476,1.69412,1.69476
"2017-10-30","03:04",1.69477,1.69487,1.6947,1.69486
"2017-10-30","03:05",1.69489,1.69512,1.69489,1.69505
"2017-10-30","03:06",1.69504,1.69515,1.69501,1.69504
"2017-10-30","03:07",1.69508,1.69509,1.69498,1.69509
"2017-10-30","03:08",1.6951,1.69524,1.69501,1.69506
"2017-10-30","03:09",1.69507,1.69521,1.69493,1.69494
"2017-10-30","03:10",1.69496,1.69521,1.69476,1.69502
"2017-10-30","03:11",1.69501,1.69506,1.69439,1.69451
"2017-10-30","03:12",1.69449,1.69449,1.69409,1.69427
"2017-10-30","03:13",1.69425,1.69426,1.69406,1.69424
"2017-10-30","03:14",1.69422,1.69434,1.69413,1.69417
"2017-10-30","03:15",1.69415,1.69437,1.69415,1.69423
"2017-10-30","03:16",1.69423,1.69453,1.69423,1.69436
"2017-10-30","03:17",1.6944,1.69443,1.6943,1.69431
"2017-10-30","03:18",1.69432,1.69443,1.69423,1.69443
"2017-10-30","03:19",1.69442,1.69449,1.69429,1.69437
"2017-10-30","03:20",1.69437,1.6946,1.69437,1.69458
"2017-10-30","03:21",1.6946,1.69482,1.69457,1.69465
"2017-10-30","03:22",1.69465,1.69499,1.69463,1.69497
"2017-10-30","03:23",1.69497,1.69503,1.69497,1.69503
"2017-10-30","03:24",1.69502,1.69505,1.69493,1.69501
"2017-10-30","03:25",1.69502,1.69512,1.6949,1.69512
"2017-10-30","03:26",1.6951,1.69524,1.69507,1.69524
"2017-10-30","03:27",1.69523,1.69537,1.69519,1.69535
