Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.16059,1.16579,1.15978,1.16512
"2017-10-31","00:00",1.16515,1.16614,1.16251,1.16521
"2017-11-01","00:00",1.16521,1.16573,1.16066,1.16285
"2017-11-02","00:00",1.16285,1.16874,1.16263,1.16589
"2017-11-03","00:00",1.1659,1.16904,1.15993,1.16079
"2017-11-06","00:00",1.16148,1.16243,1.15805,1.16115
"2017-11-07","00:00",1.16115,1.16155,1.15547,1.16012
"2017-11-08","00:00",1.16012,1.16112,1.15793,1.15953
"2017-11-09","00:00",1.15952,1.1655,1.15858,1.16466
"2017-11-10","00:00",1.16467,1.16781,1.1623,1.16651
"2017-11-13","00:00",1.1661,1.16751,1.16376,1.16648
"2017-11-14","00:00",1.16648,1.18051,1.16627,1.1791
"2017-11-15","00:00",1.17909,1.18599,1.1769,1.1783
"2017-11-16","00:00",1.1783,1.1801,1.17575,1.17782
"2017-11-17","00:00",1.17783,1.18219,1.17741,1.17949
"2017-11-20","00:00",1.17346,1.18085,1.17254,1.17375
"2017-11-21","00:00",1.17373,1.17579,1.17136,1.17418
"2017-11-22","00:00",1.17419,1.18271,1.17349,1.18146
"2017-11-23","00:00",1.18148,1.18559,1.18135,1.18505
"2017-11-24","00:00",1.18505,1.19444,1.1837,1.1931
"2017-11-27","00:00",1.19277,1.19607,1.18912,1.19043
"2017-11-28","00:00",1.19043,1.192,1.18274,1.18493
"2017-11-29","00:00",1.18492,1.1883,1.18177,1.18523
"2017-11-30","00:00",1.18522,1.19315,1.18093,1.18982
"2017-12-01","00:00",1.18983,1.19405,1.18511,1.1891
"2017-12-04","00:00",1.18568,1.18788,1.18295,1.1868
"2017-12-05","00:00",1.1868,1.18767,1.1801,1.18307
"2017-12-06","00:00",1.18307,1.1848,1.17807,1.18042
"2017-12-07","00:00",1.18042,1.18137,1.17716,1.17728
"2017-12-08","00:00",1.17729,1.17745,1.17305,1.17648
"2017-12-11","00:00",1.1768,1.18119,1.17644,1.17764
"2017-12-12","00:00",1.17764,1.17928,1.17178,1.17423
"2017-12-13","00:00",1.17424,1.18406,1.17295,1.18363
"2017-12-14","00:00",1.18363,1.18521,1.17647,1.17746
"2017-12-15","00:00",1.17746,1.18125,1.17507,1.17543
"2017-12-18","00:00",1.17433,1.18339,1.17422,1.17838
"2017-12-19","00:00",1.17839,1.18488,1.17765,1.18371
"2017-12-20","00:00",1.18372,1.19017,1.18291,1.18776
"2017-12-21","00:00",1.18777,1.18894,1.18495,1.18523
"2017-12-22","00:00",1.18524,1.18619,1.18172,1.18526
"2017-12-26","00:00",1.18714,1.18788,1.18468,1.18572
"2017-12-27","00:00",1.18572,1.19103,1.18552,1.19002
"2017-12-28","00:00",1.19003,1.19591,1.18972,1.19395
"2017-12-29","00:00",1.19395,1.20255,1.19371,1.20216
"2018-01-02","00:00",1.20108,1.2081,1.20079,1.20616
"2018-01-03","00:00",1.20616,1.20637,1.20035,1.20108
"2018-01-04","00:00",1.20104,1.20888,1.20046,1.20666
"2018-01-05","00:00",1.20668,1.20825,1.20208,1.20417
"2018-01-08","00:00",1.20372,1.20522,1.19561,1.197
"2018-01-09","00:00",1.19701,1.19757,1.19161,1.19285
"2018-01-10","00:00",1.19286,1.20179,1.19235,1.19559
"2018-01-11","00:00",1.19559,1.2059,1.19296,1.20428
"2018-01-12","00:00",1.20429,1.21886,1.20403,1.21873
"2018-01-15","00:00",1.21921,1.22966,1.21877,1.22668
"2018-01-16","00:00",1.2267,1.22834,1.21951,1.22707
"2018-01-17","00:00",1.22708,1.2323,1.21653,1.21804
"2018-01-18","00:00",1.21803,1.22649,1.21738,1.22343
"2018-01-19","00:00",1.22344,1.22954,1.22187,1.22268
"2018-01-22","00:00",1.22561,1.2267,1.2214,1.22564
"2018-01-23","00:00",1.22563,1.23151,1.22232,1.23089
"2018-01-24","00:00",1.2309,1.2415,1.22933,1.23928
"2018-01-25","00:00",1.23928,1.25368,1.23643,1.23914
"2018-01-26","00:00",1.23915,1.24934,1.23864,1.24201
"2018-01-29","00:00",1.24314,1.24323,1.23368,1.23811
"2018-01-30","00:00",1.23811,1.24539,1.23355,1.24085
"2018-01-31","00:00",1.24084,1.2475,1.23872,1.24169
"2018-02-01","00:00",1.2417,1.25223,1.23857,1.25108
