Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.16059,1.1607,1.16058,1.16069
"2017-10-30","00:01",1.16066,1.16071,1.16066,1.16071
"2017-10-30","00:02",1.16071,1.16071,1.16058,1.16064
"2017-10-30","00:03",1.16067,1.16067,1.16056,1.16056
"2017-10-30","00:04",1.16054,1.16054,1.16038,1.16049
"2017-10-30","00:05",1.16048,1.16058,1.16047,1.16058
"2017-10-30","00:06",1.16057,1.16058,1.16013,1.16021
"2017-10-30","00:07",1.16019,1.16039,1.16019,1.16039
"2017-10-30","00:08",1.16043,1.16043,1.16026,1.16033
"2017-10-30","00:09",1.16033,1.1604,1.16033,1.1604
"2017-10-30","00:10",1.1604,1.1606,1.1604,1.16057
"2017-10-30","00:11",1.16059,1.16076,1.16056,1.16076
"2017-10-30","00:12",1.16079,1.16081,1.1606,1.16063
"2017-10-30","00:13",1.16064,1.16065,1.16047,1.16047
"2017-10-30","00:14",1.16047,1.16065,1.16047,1.1606
"2017-10-30","00:15",1.1606,1.16067,1.16058,1.16063
"2017-10-30","00:16",1.16061,1.16064,1.16048,1.16051
"2017-10-30","00:17",1.16053,1.16053,1.16042,1.16043
"2017-10-30","00:18",1.16041,1.16058,1.16041,1.16058
"2017-10-30","00:19",1.16058,1.16061,1.16058,1.1606
"2017-10-30","00:20",1.16061,1.16061,1.16057,1.1606
"2017-10-30","00:21",1.16062,1.16062,1.16047,1.16047
"2017-10-30","00:22",1.16048,1.16048,1.16033,1.16033
"2017-10-30","00:23",1.16033,1.16038,1.16033,1.16033
"2017-10-30","00:24",1.16033,1.16036,1.16026,1.16027
"2017-10-30","00:25",1.16027,1.16033,1.16027,1.16033
"2017-10-30","00:26",1.16033,1.16038,1.16019,1.1602
"2017-10-30","00:27",1.1602,1.16021,1.15999,1.16004
"2017-10-30","00:28",1.16003,1.16013,1.16002,1.16002
"2017-10-30","00:29",1.16003,1.16004,1.15993,1.15993
"2017-10-30","00:30",1.15993,1.16003,1.15992,1.15998
"2017-10-30","00:31",1.15998,1.1601,1.15998,1.1601
"2017-10-30","00:32",1.1601,1.1601,1.16008,1.16009
"2017-10-30","00:33",1.16009,1.16015,1.16009,1.16015
"2017-10-30","00:34",1.16014,1.16025,1.16014,1.16025
