Date,Time,Open,High,Low,Close
"2017-10-30","00:00",889.426,894.007,888.641,892.207
"2017-10-31","00:00",892.201,900.448,891.823,900.206
"2017-11-01","00:00",900.203,902.384,897.288,898.377
"2017-11-02","00:00",898.376,898.699,881.529,882.178
"2017-11-03","00:00",882.177,886.844,882.127,885.455
"2017-11-06","00:00",885.696,890.17,885.341,889.975
"2017-11-07","00:00",889.975,892.292,889.197,891.37
"2017-11-08","00:00",891.37,891.741,884.327,886.742
"2017-11-09","00:00",886.748,888.274,884.095,886.342
"2017-11-10","00:00",886.339,891.909,884.645,890.469
"2017-11-13","00:00",886.125,887.345,882.003,887.275
"2017-11-14","00:00",887.277,889.45,883.163,887.25
"2017-11-15","00:00",887.251,889.773,884.667,888.7
"2017-11-16","00:00",888.699,891.532,887.395,890.98
"2017-11-17","00:00",890.981,894.694,889.504,890.974
"2017-11-20","00:00",891.319,896.17,890.553,895.243
"2017-11-21","00:00",895.247,897.402,892.209,893.914
"2017-11-22","00:00",893.916,894.858,891.165,894.059
"2017-11-23","00:00",894.059,895.128,891.41,892.681
"2017-11-24","00:00",892.682,895.606,891.793,893.974
"2017-11-27","00:00",893.757,895.511,892.293,893.762
"2017-11-28","00:00",893.764,900.503,888.207,899.114
"2017-11-29","00:00",899.114,906.295,898.721,904.823
"2017-11-30","00:00",904.822,913.587,904.349,913.197
"2017-12-01","00:00",913.197,914.008,903.337,904.628
"2017-12-04","00:00",908.59,910.76,903.022,905.65
"2017-12-05","00:00",905.649,905.993,897.893,902.439
"2017-12-06","00:00",902.437,904.33,898.17,903.236
"2017-12-07","00:00",903.237,913.874,900.985,913.682
"2017-12-08","00:00",913.683,916.719,906.195,908.241
"2017-12-11","00:00",908.283,909.551,902.955,904.538
"2017-12-12","00:00",904.536,905.158,900.911,902.703
"2017-12-13","00:00",902.701,905.335,900.683,903.638
"2017-12-14","00:00",903.642,907.055,902.435,904.386
"2017-12-15","00:00",904.387,904.587,895.437,899.576
"2017-12-18","00:00",899.101,904.323,898.9,901.955
"2017-12-19","00:00",901.958,902.778,899.258,902.778
"2017-12-20","00:00",902.769,904.349,900.269,900.271
"2017-12-21","00:00",900.281,902.214,897.357,899.253
"2017-12-22","00:00",899.248,900.559,897.54,899.105
"2017-12-26","00:00",897.974,898.366,896.339,897.495
"2017-12-27","00:00",897.487,899.121,896.308,897.17
"2017-12-28","00:00",897.173,898.769,896.212,896.901
"2017-12-29","00:00",896.901,901.477,896.811,899.8
"2018-01-02","00:00",900.096,903.207,898.869,902.657
"2018-01-03","00:00",902.652,904.196,897.967,899.099
"2018-01-04","00:00",899.097,900.757,898.302,899.644
"2018-01-05","00:00",899.65,902.07,899.038,900.177
"2018-01-08","00:00",900.965,902.996,899.024,902.189
"2018-01-09","00:00",902.19,902.31,898.761,901.211
"2018-01-10","00:00",901.211,1228.432,762.084,897.487
"2018-01-11","00:00",897.489,897.999,894.373,896.798
"2018-01-12","00:00",896.806,906.975,896.776,905.504
"2018-01-15","00:00",905.541,906.895,903.15,906.042
"2018-01-16","00:00",906.04,907.043,903.91,905.561
"2018-01-17","00:00",905.563,913.331,905.321,910.515
"2018-01-18","00:00",910.519,913.774,909.185,912.396
"2018-01-19","00:00",912.397,913.819,909.203,911.746
"2018-01-22","00:00",912.568,918.784,911.431,918.54
"2018-01-23","00:00",918.531,919.957,914.91,917.724
"2018-01-24","00:00",917.694,928.248,917.472,926.683
"2018-01-25","00:00",926.679,929.389,919.862,923.597
"2018-01-26","00:00",923.6,927.829,918.179,918.673
"2018-01-29","00:00",918.288,919.334,913.683,915.341
"2018-01-30","00:00",915.334,920.924,911.107,919.866
"2018-01-31","00:00",919.872,924.226,916.715,923.813
"2018-02-01","00:00",923.817,929.78,923.217,926.892
"2018-02-02","00:00",926.887,928.903,923.782,924.517
"2018-02-05","00:00",924.535,924.882,915.112,915.223
"2018-02-06","00:00",915.242,918.348,910.254,916.121
"2018-02-07","00:00",916.117,917.58,911.209,914.494
"2018-02-08","00:00",914.482,926.55,913.982,918.358
"2018-02-09","00:00",918.357,922.464,907.879,911.362
"2018-02-12","00:00",910.751,913.382,908.584,910.576
"2018-02-13","00:00",910.573,912.725,908.014,910.531
"2018-02-14","00:00",910.524,913.727,907.32,912.192
"2018-02-15","00:00",912.198,917.11,911.219,916.441
"2018-02-16","00:00",916.434,916.895,912.868,914.23
"2018-02-19","00:00",915.113,915.349,912.424,913.724
"2018-02-20","00:00",913.721,918.392,911.4,918.145
"2018-02-21","00:00",918.117,919.254,913.284,916.085
"2018-02-22","00:00",916.087,917.566,911.586,916.104
"2018-02-23","00:00",916.102,919.535,914.324,916.991
"2018-02-26","00:00",917.239,921.57,915.568,916.8
"2018-02-27","00:00",916.799,918.246,913.807,917.412
"2018-02-28","00:00",917.419,917.705,907.885,908.28
"2018-03-01","00:00",908.292,911.074,907.008,907.595
"2018-03-02","00:00",907.588,908.72,905.525,907.836
"2018-03-05","00:00",908.152,915.187,907.362,913.717
"2018-03-06","00:00",913.733,915.079,911.567,913.753
"2018-03-07","00:00",913.748,914.906,909.845,913.608
"2018-03-08","00:00",913.608,913.802,908.279,909.667
"2018-03-09","00:00",909.666,913.724,909.49,910.729
"2018-03-12","00:00",911.065,913.651,909.927,912.965
"2018-03-13","00:00",912.984,919.253,912.534,918.886
"2018-03-14","00:00",918.887,919.83,915.491,917.866
"2018-03-15","00:00",917.877,921.627,915.08,920.511
"2018-03-16","00:00",920.518,923.53,919.118,923.034
"2018-03-19","00:00",922.986,932.114,921.738,927.725
"2018-03-20","00:00",927.724,930.848,926.53,928.811
"2018-03-21","00:00",928.802,932.417,927.534,930.97
"2018-03-22","00:00",930.977,936.36,928.433,929.932
"2018-03-23","00:00",929.958,931.588,927.632,929.828
"2018-03-26","00:00",930.561,935.46,930.396,934.436
"2018-03-27","00:00",934.437,935.319,927.314,933.233
"2018-03-28","00:00",933.242,934.973,930.444,932.038
"2018-03-29","00:00",932.048,932.145,926.329,926.91
"2018-03-30","00:00",926.913,928.025,925.428,925.698
"2018-04-02","00:00",927.261,929.197,926.926,928.48
"2018-04-03","00:00",928.492,929.57,926.274,928.972
"2018-04-04","00:00",928.965,929.707,925.458,928.945
"2018-04-05","00:00",928.944,929.891,924.461,926.19
"2018-04-06","00:00",926.194,931.672,925.319,930.994
"2018-04-09","00:00",931.118,935.067,930.595,931.16
