Date,Time,Open,High,Low,Close
"2017-10-30","00:00",889.426,889.454,889.31,889.454
"2017-10-30","00:01",889.463,889.476,889.433,889.455
"2017-10-30","00:02",889.455,889.555,889.427,889.496
"2017-10-30","00:03",889.549,889.549,889.455,889.463
"2017-10-30","00:04",889.457,889.463,889.323,889.396
"2017-10-30","00:05",889.394,889.44,889.384,889.429
"2017-10-30","00:06",889.432,889.495,889.352,889.352
"2017-10-30","00:07",889.358,889.427,889.35,889.421
"2017-10-30","00:08",889.422,889.443,889.345,889.413
"2017-10-30","00:09",889.419,889.431,889.386,889.402
"2017-10-30","00:10",889.401,889.474,889.371,889.381
"2017-10-30","00:11",889.382,889.503,889.375,889.503
"2017-10-30","00:12",889.51,889.513,889.376,889.435
"2017-10-30","00:13",889.432,889.488,889.426,889.426
"2017-10-30","00:14",889.414,889.433,889.391,889.428
"2017-10-30","00:15",889.431,889.432,889.341,889.342
"2017-10-30","00:16",889.343,889.363,889.332,889.332
"2017-10-30","00:17",889.331,889.381,889.33,889.381
"2017-10-30","00:18",889.377,889.438,889.361,889.422
"2017-10-30","00:19",889.409,889.415,889.361,889.363
"2017-10-30","00:20",889.354,889.394,889.332,889.361
"2017-10-30","00:21",889.361,889.395,889.349,889.381
"2017-10-30","00:22",889.382,889.407,889.372,889.378
"2017-10-30","00:23",889.373,889.382,889.331,889.382
"2017-10-30","00:24",889.383,889.406,889.346,889.349
"2017-10-30","00:25",889.351,889.357,889.305,889.305
"2017-10-30","00:26",889.305,889.389,889.305,889.338
"2017-10-30","00:27",889.336,889.37,889.282,889.285
"2017-10-30","00:28",889.296,889.326,889.27,889.324
"2017-10-30","00:29",889.325,889.338,889.3,889.336
"2017-10-30","00:30",889.341,889.357,889.299,889.352
"2017-10-30","00:31",889.351,889.371,889.314,889.316
"2017-10-30","00:32",889.313,889.325,889.289,889.316
"2017-10-30","00:33",889.319,889.319,889.258,889.291
"2017-10-30","00:34",889.289,889.329,889.287,889.329
"2017-10-30","00:35",889.326,889.403,889.305,889.403
"2017-10-30","00:36",889.404,889.444,889.404,889.444
