Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.71334,1.72299,1.71016,1.71686
"2017-10-31","00:00",1.71684,1.73626,1.71613,1.73511
"2017-11-01","00:00",1.73511,1.73678,1.72206,1.72691
"2017-11-02","00:00",1.72693,1.72791,1.68972,1.69218
"2017-11-03","00:00",1.69219,1.71069,1.69218,1.70922
"2017-11-06","00:00",1.70978,1.7147,1.70732,1.71378
"2017-11-07","00:00",1.71378,1.72329,1.7111,1.72074
"2017-11-08","00:00",1.72074,1.72268,1.70375,1.70768
"2017-11-09","00:00",1.70765,1.71427,1.7044,1.71081
"2017-11-10","00:00",1.71083,1.72608,1.70649,1.72251
"2017-11-13","00:00",1.71583,1.72331,1.70794,1.72293
"2017-11-14","00:00",1.72294,1.72932,1.71305,1.72446
"2017-11-15","00:00",1.72447,1.73923,1.72401,1.73524
"2017-11-16","00:00",1.73524,1.74013,1.73164,1.73972
"2017-11-17","00:00",1.73974,1.75671,1.73933,1.74682
"2017-11-20","00:00",1.74752,1.75606,1.74516,1.75292
"2017-11-21","00:00",1.75293,1.75987,1.74358,1.74651
"2017-11-22","00:00",1.74651,1.7539,1.74391,1.7489
"2017-11-23","00:00",1.7489,1.75196,1.74172,1.74503
"2017-11-24","00:00",1.74503,1.75314,1.7428,1.75056
"2017-11-27","00:00",1.75064,1.75551,1.74544,1.75109
"2017-11-28","00:00",1.75109,1.76111,1.73641,1.75708
"2017-11-29","00:00",1.75708,1.77591,1.75656,1.7732
"2017-11-30","00:00",1.77318,1.79017,1.76882,1.78902
"2017-12-01","00:00",1.78903,1.79096,1.76701,1.77035
"2017-12-04","00:00",1.77791,1.78002,1.76489,1.77197
"2017-12-05","00:00",1.77197,1.77197,1.74911,1.76403
"2017-12-06","00:00",1.76403,1.77303,1.75784,1.76967
"2017-12-07","00:00",1.76963,1.79574,1.76917,1.795
"2017-12-08","00:00",1.79499,1.79968,1.7796,1.78402
"2017-12-11","00:00",1.78382,1.78453,1.76952,1.77283
"2017-12-12","00:00",1.77282,1.77466,1.7597,1.76267
