Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.71334,1.71365,1.71315,1.71365
"2017-10-30","00:01",1.71372,1.71373,1.71357,1.71373
"2017-10-30","00:02",1.71371,1.71371,1.71345,1.71368
"2017-10-30","00:03",1.71365,1.71365,1.71345,1.71345
"2017-10-30","00:04",1.71345,1.71347,1.71309,1.71324
"2017-10-30","00:05",1.71325,1.71327,1.71303,1.71322
"2017-10-30","00:06",1.71322,1.71334,1.71305,1.71313
"2017-10-30","00:07",1.71318,1.71318,1.71296,1.71302
"2017-10-30","00:08",1.713,1.71313,1.71283,1.71299
"2017-10-30","00:09",1.71297,1.71304,1.71286,1.71289
"2017-10-30","00:10",1.71288,1.71314,1.71277,1.71278
"2017-10-30","00:11",1.71279,1.71327,1.71279,1.71327
"2017-10-30","00:12",1.71325,1.71328,1.71294,1.71308
"2017-10-30","00:13",1.71308,1.71332,1.71307,1.71323
"2017-10-30","00:14",1.71325,1.71325,1.71286,1.71293
"2017-10-30","00:15",1.71295,1.71295,1.71277,1.71278
"2017-10-30","00:16",1.71296,1.71296,1.71281,1.71281
"2017-10-30","00:17",1.71283,1.71293,1.71283,1.71291
"2017-10-30","00:18",1.71284,1.71294,1.71275,1.71275
"2017-10-30","00:19",1.71269,1.71274,1.71252,1.71259
"2017-10-30","00:20",1.71252,1.7126,1.71235,1.71243
"2017-10-30","00:21",1.71242,1.71253,1.7123,1.71252
"2017-10-30","00:22",1.71252,1.71263,1.71249,1.71257
"2017-10-30","00:23",1.71256,1.71261,1.7124,1.71241
"2017-10-30","00:24",1.71244,1.71257,1.7124,1.71253
"2017-10-30","00:25",1.71251,1.71264,1.71249,1.71251
"2017-10-30","00:26",1.71246,1.71258,1.71233,1.71245
"2017-10-30","00:27",1.71243,1.7129,1.71237,1.71267
"2017-10-30","00:28",1.71266,1.71276,1.71245,1.71273
"2017-10-30","00:29",1.71276,1.71277,1.71259,1.7127
"2017-10-30","00:30",1.71271,1.71287,1.71259,1.71284
"2017-10-30","00:31",1.71281,1.71296,1.71264,1.71274
"2017-10-30","00:32",1.71277,1.71277,1.71256,1.71267
"2017-10-30","00:33",1.71271,1.71271,1.71237,1.71241
"2017-10-30","00:34",1.7124,1.71261,1.7124,1.71242
"2017-10-30","00:35",1.71243,1.7125,1.71227,1.7125
"2017-10-30","00:36",1.7125,1.71269,1.71249,1.71268
"2017-10-30","00:37",1.71267,1.71296,1.71266,1.7128
"2017-10-30","00:38",1.71288,1.71291,1.71276,1.7129
"2017-10-30","00:39",1.71288,1.713,1.71263,1.71263
"2017-10-30","00:40",1.71263,1.71307,1.71262,1.71294
"2017-10-30","00:41",1.71294,1.71317,1.71294,1.71294
"2017-10-30","00:42",1.71294,1.71296,1.71252,1.7126
"2017-10-30","00:43",1.71265,1.7127,1.71236,1.71242
