Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.6852,1.69651,1.68361,1.69476
"2017-10-31","00:00",1.69481,1.71396,1.69381,1.71347
"2017-11-01","00:00",1.71345,1.71645,1.70305,1.70646
"2017-11-02","00:00",1.70648,1.70731,1.67153,1.67184
"2017-11-03","00:00",1.67184,1.68107,1.6649,1.66919
"2017-11-06","00:00",1.66922,1.67633,1.66753,1.67497
"2017-11-07","00:00",1.67497,1.68365,1.67254,1.68111
"2017-11-08","00:00",1.6811,1.68176,1.66556,1.66907
"2017-11-09","00:00",1.66907,1.67277,1.66367,1.66645
"2017-11-10","00:00",1.66646,1.67826,1.66251,1.67327
"2017-11-13","00:00",1.66539,1.67128,1.65896,1.67112
"2017-11-14","00:00",1.67114,1.67979,1.66414,1.67599
"2017-11-15","00:00",1.67597,1.68515,1.67079,1.68179
"2017-11-16","00:00",1.68176,1.68615,1.67834,1.68398
"2017-11-17","00:00",1.684,1.69287,1.68042,1.68715
"2017-11-20","00:00",1.68873,1.69801,1.68717,1.6968
"2017-11-21","00:00",1.6968,1.70101,1.68752,1.69217
"2017-11-22","00:00",1.69217,1.69434,1.6844,1.69186
"2017-11-23","00:00",1.69188,1.69432,1.6859,1.69158
"2017-11-24","00:00",1.69158,1.69921,1.69003,1.69491
"2017-11-27","00:00",1.69427,1.70225,1.69167,1.69964
"2017-11-28","00:00",1.69967,1.71532,1.69345,1.7126
"2017-11-29","00:00",1.7126,1.72944,1.7119,1.72599
"2017-11-30","00:00",1.72599,1.74572,1.72528,1.74447
"2017-12-01","00:00",1.74447,1.74667,1.70856,1.7102
"2017-12-04","00:00",1.71585,1.71612,1.70272,1.70802
"2017-12-05","00:00",1.70804,1.70816,1.69253,1.70294
"2017-12-06","00:00",1.70294,1.71349,1.69165,1.71244
"2017-12-07","00:00",1.71243,1.73395,1.70848,1.73357
"2017-12-08","00:00",1.73357,1.73813,1.71805,1.72286
"2017-12-11","00:00",1.7223,1.7238,1.71384,1.71566
"2017-12-12","00:00",1.71566,1.71884,1.7081,1.71418
"2017-12-13","00:00",1.71419,1.72118,1.71191,1.71893
"2017-12-14","00:00",1.71893,1.72878,1.70844,1.71873
"2017-12-15","00:00",1.7187,1.7187,1.70073,1.71637
"2017-12-18","00:00",1.71444,1.72757,1.71374,1.72146
"2017-12-19","00:00",1.72145,1.72542,1.71706,1.72412
"2017-12-20","00:00",1.72411,1.72571,1.71486,1.71489
"2017-12-21","00:00",1.71491,1.71847,1.6981,1.70423
"2017-12-22","00:00",1.70422,1.71286,1.69792,1.70383
"2017-12-26","00:00",1.7007,1.70132,1.69552,1.69702
"2017-12-27","00:00",1.697,1.69854,1.69236,1.69489
"2017-12-28","00:00",1.69493,1.69742,1.68772,1.68881
"2017-12-29","00:00",1.6888,1.69939,1.6883,1.69406
"2018-01-02","00:00",1.69646,1.70159,1.69347,1.70023
"2018-01-03","00:00",1.70019,1.70322,1.69162,1.6952
"2018-01-04","00:00",1.6952,1.69805,1.69151,1.69274
"2018-01-05","00:00",1.69275,1.69667,1.67598,1.68401
"2018-01-08","00:00",1.6827,1.68713,1.67807,1.68476
"2018-01-09","00:00",1.68476,1.68824,1.67949,1.68777
"2018-01-10","00:00",1.68779,1.69956,1.67958,1.69344
"2018-01-11","00:00",1.69343,1.70016,1.69218,1.69566
"2018-01-12","00:00",1.69569,1.71801,1.6956,1.71257
"2018-01-15","00:00",1.71114,1.71648,1.70773,1.71442
"2018-01-16","00:00",1.7144,1.71618,1.70733,1.71446
"2018-01-17","00:00",1.71443,1.72775,1.70722,1.72036
"2018-01-18","00:00",1.72037,1.73384,1.71907,1.72426
"2018-01-19","00:00",1.72428,1.73394,1.72266,1.73392
"2018-01-22","00:00",1.73447,1.74267,1.73028,1.74152
"2018-01-23","00:00",1.74147,1.74784,1.73657,1.73969
"2018-01-24","00:00",1.73962,1.75972,1.73875,1.75631
"2018-01-25","00:00",1.75631,1.76386,1.7439,1.75167
"2018-01-26","00:00",1.75162,1.75955,1.74274,1.74367
"2018-01-29","00:00",1.74234,1.74529,1.73042,1.73599
"2018-01-30","00:00",1.73596,1.74661,1.73034,1.74612
"2018-01-31","00:00",1.74614,1.74858,1.73522,1.74716
"2018-02-01","00:00",1.74716,1.75596,1.74444,1.74889
"2018-02-02","00:00",1.7489,1.7558,1.74787,1.75473
"2018-02-05","00:00",1.75452,1.75537,1.74516,1.74758
"2018-02-06","00:00",1.7476,1.75304,1.73588,1.74549
"2018-02-07","00:00",1.74544,1.74926,1.73666,1.74416
"2018-02-08","00:00",1.74416,1.76641,1.74265,1.75446
"2018-02-09","00:00",1.75448,1.76138,1.73699,1.7408
"2018-02-12","00:00",1.74023,1.74444,1.73826,1.74237
"2018-02-13","00:00",1.74238,1.7538,1.74053,1.74793
"2018-02-14","00:00",1.74792,1.7556,1.74111,1.74935
"2018-02-15","00:00",1.74935,1.76281,1.74849,1.76062
"2018-02-16","00:00",1.76066,1.76347,1.75334,1.75955
"2018-02-19","00:00",1.76199,1.76213,1.757,1.75856
"2018-02-20","00:00",1.75856,1.77095,1.75486,1.77078
"2018-02-21","00:00",1.77068,1.77202,1.76076,1.76648
"2018-02-22","00:00",1.76648,1.77579,1.75852,1.77384
"2018-02-23","00:00",1.77383,1.77829,1.76461,1.76828
"2018-02-26","00:00",1.76679,1.7805,1.76653,1.77136
"2018-02-27","00:00",1.77136,1.77734,1.7678,1.77588
"2018-02-28","00:00",1.77587,1.77699,1.76409,1.76543
"2018-03-01","00:00",1.76541,1.77032,1.76182,1.76756
"2018-03-02","00:00",1.76754,1.7801,1.76598,1.7773
"2018-03-05","00:00",1.77787,1.80069,1.77716,1.79767
"2018-03-06","00:00",1.79772,1.80093,1.7878,1.79977
"2018-03-07","00:00",1.79977,1.80495,1.78737,1.79436
"2018-03-08","00:00",1.79436,1.7965,1.77973,1.78021
"2018-03-09","00:00",1.78021,1.78451,1.77419,1.77462
"2018-03-12","00:00",1.77533,1.78628,1.77416,1.78584
"2018-03-13","00:00",1.78582,1.81305,1.78313,1.81031
"2018-03-14","00:00",1.81029,1.81178,1.80364,1.80977
"2018-03-15","00:00",1.80977,1.82427,1.80364,1.81922
"2018-03-16","00:00",1.81925,1.82927,1.81779,1.82586
"2018-03-19","00:00",1.82567,1.84162,1.82456,1.83479
"2018-03-20","00:00",1.83479,1.83804,1.82744,1.83093
"2018-03-21","00:00",1.83095,1.83675,1.82027,1.82401
"2018-03-22","00:00",1.824,1.82918,1.81732,1.82478
"2018-03-23","00:00",1.82478,1.82635,1.81408,1.82231
"2018-03-26","00:00",1.82238,1.83815,1.82014,1.82764
"2018-03-27","00:00",1.8276,1.82842,1.81344,1.82574
"2018-03-28","00:00",1.82573,1.82929,1.81451,1.81915
"2018-03-29","00:00",1.81917,1.82009,1.80561,1.8077
"2018-03-30","00:00",1.8077,1.81249,1.80625,1.80695
"2018-04-02","00:00",1.80978,1.81801,1.80859,1.81513
"2018-04-03","00:00",1.81515,1.81515,1.79648,1.80188
"2018-04-04","00:00",1.8019,1.80754,1.79629,1.79683
"2018-04-05","00:00",1.79678,1.79898,1.78463,1.78871
"2018-04-06","00:00",1.78871,1.8019,1.78588,1.80122
