Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.6852,1.68532,1.68504,1.68527
"2017-10-30","00:01",1.68533,1.6854,1.68533,1.6854
"2017-10-30","00:02",1.6854,1.68559,1.68534,1.68555
"2017-10-30","00:03",1.68555,1.68555,1.68532,1.68532
"2017-10-30","00:04",1.6853,1.6853,1.685,1.68509
"2017-10-30","00:05",1.68511,1.68514,1.68509,1.68509
"2017-10-30","00:06",1.6851,1.68516,1.68486,1.68496
"2017-10-30","00:07",1.68498,1.6853,1.68498,1.6853
"2017-10-30","00:08",1.68527,1.68532,1.68511,1.68532
"2017-10-30","00:09",1.68531,1.68536,1.68521,1.68527
"2017-10-30","00:10",1.68528,1.68543,1.68522,1.68525
"2017-10-30","00:11",1.68522,1.68558,1.68522,1.68558
"2017-10-30","00:12",1.68553,1.68555,1.68514,1.68524
"2017-10-30","00:13",1.68524,1.68529,1.6851,1.6851
"2017-10-30","00:14",1.6851,1.68528,1.68507,1.68528
"2017-10-30","00:15",1.68526,1.68528,1.68517,1.68517
"2017-10-30","00:16",1.68512,1.68512,1.68507,1.68507
"2017-10-30","00:17",1.68505,1.6852,1.68505,1.68512
"2017-10-30","00:18",1.68516,1.68526,1.68515,1.68523
"2017-10-30","00:19",1.68525,1.68528,1.68502,1.68505
"2017-10-30","00:20",1.68507,1.68513,1.68483,1.68485
"2017-10-30","00:21",1.68486,1.68498,1.68479,1.68479
"2017-10-30","00:22",1.6848,1.68501,1.6848,1.68498
"2017-10-30","00:23",1.68498,1.68509,1.68492,1.68507
"2017-10-30","00:24",1.68505,1.68511,1.6849,1.68498
"2017-10-30","00:25",1.68498,1.685,1.68488,1.68488
"2017-10-30","00:26",1.68491,1.68509,1.68491,1.68498
"2017-10-30","00:27",1.68498,1.68502,1.68465,1.68465
"2017-10-30","00:28",1.68464,1.68484,1.68464,1.68484
"2017-10-30","00:29",1.68485,1.68487,1.68478,1.68479
"2017-10-30","00:30",1.68479,1.68483,1.68471,1.6848
"2017-10-30","00:31",1.6848,1.68488,1.6848,1.68484
"2017-10-30","00:32",1.68483,1.68487,1.68472,1.68487
"2017-10-30","00:33",1.68487,1.68488,1.68471,1.68478
"2017-10-30","00:34",1.68478,1.68496,1.68478,1.68496
"2017-10-30","00:35",1.68495,1.68507,1.68486,1.68507
"2017-10-30","00:36",1.6851,1.6852,1.68506,1.6852
"2017-10-30","00:37",1.68521,1.68521,1.68496,1.68515
"2017-10-30","00:38",1.68515,1.68524,1.6851,1.6851
"2017-10-30","00:39",1.68514,1.68524,1.68514,1.68517
"2017-10-30","00:40",1.68517,1.68536,1.68515,1.6853
"2017-10-30","00:41",1.68528,1.6854,1.68528,1.68535
"2017-10-30","00:42",1.68541,1.68541,1.68508,1.68512
"2017-10-30","00:43",1.68511,1.68514,1.68506,1.6851
"2017-10-30","00:44",1.68513,1.68538,1.68513,1.68538
"2017-10-30","00:45",1.68537,1.68537,1.68513,1.68519
"2017-10-30","00:46",1.68519,1.68534,1.68518,1.68531
"2017-10-30","00:47",1.68531,1.68532,1.68523,1.68525
"2017-10-30","00:48",1.68524,1.68525,1.68511,1.6852
"2017-10-30","00:49",1.68521,1.68527,1.6852,1.68521
"2017-10-30","00:50",1.68521,1.68523,1.68508,1.68508
"2017-10-30","00:51",1.68505,1.68505,1.68494,1.68494
"2017-10-30","00:52",1.68493,1.68503,1.68487,1.68497
"2017-10-30","00:53",1.68495,1.68514,1.68481,1.68501
"2017-10-30","00:54",1.68501,1.68523,1.68494,1.68494
"2017-10-30","00:55",1.68495,1.685,1.68473,1.68491
"2017-10-30","00:56",1.68494,1.68496,1.68482,1.68495
"2017-10-30","00:57",1.68493,1.68496,1.68492,1.68493
"2017-10-30","00:58",1.68495,1.68544,1.68495,1.68541
"2017-10-30","00:59",1.68536,1.68545,1.68528,1.68539
"2017-10-30","01:00",1.68538,1.68543,1.68487,1.68512
"2017-10-30","01:01",1.68514,1.6854,1.68513,1.68539
"2017-10-30","01:02",1.6854,1.6854,1.68527,1.68534
"2017-10-30","01:03",1.68536,1.68551,1.68535,1.68544
"2017-10-30","01:04",1.68544,1.68547,1.68524,1.68538
"2017-10-30","01:05",1.68538,1.68544,1.68527,1.68527
"2017-10-30","01:06",1.68527,1.68534,1.68524,1.68529
"2017-10-30","01:07",1.6853,1.68548,1.6853,1.68532
"2017-10-30","01:08",1.68532,1.68535,1.68514,1.68515
"2017-10-30","01:09",1.68513,1.68515,1.68491,1.68491
"2017-10-30","01:10",1.68493,1.68505,1.68489,1.685
"2017-10-30","01:11",1.68502,1.68511,1.68497,1.68511
"2017-10-30","01:12",1.68511,1.68511,1.68485,1.68485
"2017-10-30","01:13",1.68478,1.68498,1.68478,1.68487
"2017-10-30","01:14",1.68486,1.68486,1.68461,1.68465
"2017-10-30","01:15",1.68466,1.6847,1.68437,1.6847
"2017-10-30","01:16",1.68473,1.68473,1.68452,1.68455
"2017-10-30","01:17",1.68454,1.68454,1.6844,1.68444
"2017-10-30","01:18",1.68445,1.68452,1.68444,1.68446
"2017-10-30","01:19",1.68453,1.6846,1.68453,1.68456
"2017-10-30","01:20",1.68454,1.68461,1.68454,1.68459
"2017-10-30","01:21",1.6846,1.68461,1.68449,1.68449
"2017-10-30","01:22",1.6845,1.68451,1.68416,1.68417
"2017-10-30","01:23",1.68417,1.68424,1.6841,1.68424
"2017-10-30","01:24",1.68424,1.68424,1.6842,1.68422
"2017-10-30","01:25",1.68423,1.68428,1.68411,1.68422
"2017-10-30","01:26",1.68423,1.68434,1.68423,1.68434
"2017-10-30","01:27",1.68437,1.68437,1.68417,1.68417
"2017-10-30","01:28",1.68418,1.68425,1.6841,1.68415
"2017-10-30","01:29",1.6841,1.68411,1.68394,1.68406
"2017-10-30","01:30",1.68404,1.68417,1.6839,1.68396
"2017-10-30","01:31",1.68396,1.68406,1.68381,1.68406
"2017-10-30","01:32",1.68409,1.68421,1.68376,1.68394
"2017-10-30","01:33",1.68395,1.6841,1.68382,1.6841
"2017-10-30","01:34",1.6841,1.6841,1.68402,1.68406
"2017-10-30","01:35",1.68406,1.68407,1.68399,1.68405
"2017-10-30","01:36",1.68405,1.68405,1.68399,1.684
"2017-10-30","01:37",1.684,1.68433,1.68398,1.68427
