Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.31085,1.31932,1.30981,1.31459
"2017-10-31","00:00",1.31457,1.32629,1.31395,1.326
"2017-11-01","00:00",1.32598,1.33297,1.3252,1.32904
"2017-11-02","00:00",1.32904,1.32946,1.30305,1.30445
"2017-11-03","00:00",1.30445,1.31051,1.30339,1.30861
"2017-11-06","00:00",1.3084,1.31492,1.30729,1.31448
"2017-11-07","00:00",1.31448,1.3174,1.31,1.31494
"2017-11-08","00:00",1.31495,1.3162,1.30815,1.31121
"2017-11-09","00:00",1.31119,1.31446,1.30386,1.30642
"2017-11-10","00:00",1.30642,1.31657,1.30459,1.31422
"2017-11-13","00:00",1.30768,1.30885,1.3003,1.30742
"2017-11-14","00:00",1.30742,1.30776,1.29832,1.30227
"2017-11-15","00:00",1.30225,1.30417,1.2956,1.30219
"2017-11-16","00:00",1.30219,1.31201,1.30102,1.31139
"2017-11-17","00:00",1.3114,1.31503,1.30531,1.30666
"2017-11-20","00:00",1.30618,1.31542,1.30315,1.31534
"2017-11-21","00:00",1.31532,1.31854,1.31146,1.31228
"2017-11-22","00:00",1.31226,1.31343,1.30436,1.30778
"2017-11-23","00:00",1.30777,1.3094,1.30333,1.30622
"2017-11-24","00:00",1.30622,1.30845,1.30328,1.30632
"2017-11-27","00:00",1.30632,1.31222,1.30359,1.30727
"2017-11-28","00:00",1.30727,1.31723,1.3002,1.31529
"2017-11-29","00:00",1.31528,1.32361,1.31456,1.32096
"2017-11-30","00:00",1.32098,1.33177,1.32016,1.3314
"2017-12-01","00:00",1.33135,1.33229,1.31411,1.31561
"2017-12-04","00:00",1.32537,1.33188,1.3198,1.32672
"2017-12-05","00:00",1.32668,1.32885,1.31859,1.32473
"2017-12-06","00:00",1.32474,1.32647,1.32053,1.32493
"2017-12-07","00:00",1.32494,1.34149,1.32217,1.34118
"2017-12-08","00:00",1.34119,1.34691,1.32679,1.32959
"2017-12-11","00:00",1.32974,1.33169,1.3207,1.32334
"2017-12-12","00:00",1.32334,1.32599,1.31793,1.32068
"2017-12-13","00:00",1.32068,1.32573,1.31606,1.32154
"2017-12-14","00:00",1.32158,1.33069,1.32124,1.32855
"2017-12-15","00:00",1.32858,1.32903,1.3174,1.32009
"2017-12-18","00:00",1.31991,1.32568,1.31841,1.31876
"2017-12-19","00:00",1.31874,1.32018,1.3149,1.31932
"2017-12-20","00:00",1.31932,1.32586,1.31764,1.31875
"2017-12-21","00:00",1.31875,1.32346,1.31676,1.32287
"2017-12-22","00:00",1.32285,1.32618,1.32176,1.32451
"2017-12-26","00:00",1.32265,1.32484,1.32071,1.32384
"2017-12-27","00:00",1.32383,1.32909,1.32049,1.32144
"2017-12-28","00:00",1.32146,1.32268,1.31429,1.31552
"2017-12-29","00:00",1.31554,1.32125,1.31459,1.31667
"2018-01-02","00:00",1.31702,1.32215,1.31425,1.32072
"2018-01-03","00:00",1.32072,1.32466,1.31944,1.3202
"2018-01-04","00:00",1.3202,1.32342,1.31909,1.32062
"2018-01-05","00:00",1.32065,1.32608,1.32042,1.32306
"2018-01-08","00:00",1.32381,1.32693,1.32156,1.32637
"2018-01-09","00:00",1.32636,1.33198,1.32572,1.33138
"2018-01-10","00:00",1.33135,1.33213,1.31889,1.3211
"2018-01-11","00:00",1.3211,1.32378,1.3174,1.32119
"2018-01-12","00:00",1.32122,1.33099,1.31978,1.32954
"2018-01-15","00:00",1.32951,1.33082,1.3239,1.32878
"2018-01-16","00:00",1.32877,1.33044,1.32202,1.32348
"2018-01-17","00:00",1.32347,1.33633,1.32328,1.33445
"2018-01-18","00:00",1.33444,1.33483,1.32909,1.33238
"2018-01-19","00:00",1.33237,1.33526,1.3282,1.33507
"2018-01-22","00:00",1.33575,1.34636,1.33338,1.34543
"2018-01-23","00:00",1.34543,1.34613,1.33892,1.34068
"2018-01-24","00:00",1.34064,1.34847,1.33805,1.34588
"2018-01-25","00:00",1.34589,1.34925,1.32883,1.33262
"2018-01-26","00:00",1.33264,1.33543,1.32053,1.32088
"2018-01-29","00:00",1.32097,1.32574,1.31466,1.31928
"2018-01-30","00:00",1.31926,1.32393,1.31075,1.3231
"2018-01-31","00:00",1.32309,1.3244,1.31615,1.3224
"2018-02-01","00:00",1.32241,1.33004,1.31987,1.32117
"2018-02-02","00:00",1.32112,1.32341,1.31465,1.31491
"2018-02-05","00:00",1.3141,1.3145,1.29846,1.29867
"2018-02-06","00:00",1.29872,1.31043,1.29814,1.30671
"2018-02-07","00:00",1.30674,1.31286,1.30267,1.30815
"2018-02-08","00:00",1.30821,1.32377,1.30058,1.30327
"2018-02-09","00:00",1.30324,1.31257,1.29143,1.29931
"2018-02-12","00:00",1.29904,1.30224,1.29473,1.30016
"2018-02-13","00:00",1.30017,1.30132,1.29377,1.29868
"2018-02-14","00:00",1.29869,1.30304,1.29237,1.30003
"2018-02-15","00:00",1.30002,1.3039,1.29664,1.30083
"2018-02-16","00:00",1.30085,1.30168,1.29637,1.30011
"2018-02-19","00:00",1.30114,1.3027,1.29849,1.30045
"2018-02-20","00:00",1.30051,1.31222,1.29922,1.31101
"2018-02-21","00:00",1.31098,1.31198,1.30348,1.30592
"2018-02-22","00:00",1.30588,1.30716,1.29941,1.30194
"2018-02-23","00:00",1.30194,1.31014,1.30079,1.30841
"2018-02-26","00:00",1.30917,1.31442,1.30693,1.3108
"2018-02-27","00:00",1.31081,1.31081,1.30384,1.3064
"2018-02-28","00:00",1.30641,1.3117,1.29849,1.29917
"2018-03-01","00:00",1.29914,1.3051,1.29641,1.29697
"2018-03-02","00:00",1.29696,1.29795,1.28634,1.29256
"2018-03-05","00:00",1.29284,1.30395,1.28995,1.30151
"2018-03-06","00:00",1.3016,1.30708,1.29937,1.30414
"2018-03-07","00:00",1.30413,1.31237,1.29826,1.31185
"2018-03-08","00:00",1.31182,1.31481,1.30877,1.31349
"2018-03-09","00:00",1.31351,1.31913,1.3113,1.31706
"2018-03-12","00:00",1.31746,1.32028,1.31541,1.31719
"2018-03-13","00:00",1.31712,1.32084,1.315,1.31841
"2018-03-14","00:00",1.31839,1.32405,1.31722,1.31942
"2018-03-15","00:00",1.31942,1.32685,1.31651,1.32592
"2018-03-16","00:00",1.32595,1.32908,1.3234,1.32743
"2018-03-19","00:00",1.32859,1.34096,1.32657,1.33405
"2018-03-20","00:00",1.3341,1.33937,1.33347,1.33879
"2018-03-21","00:00",1.33874,1.34428,1.33655,1.34171
"2018-03-22","00:00",1.34173,1.34662,1.33432,1.33582
"2018-03-23","00:00",1.33584,1.34356,1.33337,1.3388
"2018-03-26","00:00",1.34006,1.34684,1.33991,1.34545
"2018-03-27","00:00",1.34545,1.34601,1.33598,1.3417
"2018-03-28","00:00",1.34169,1.34861,1.34133,1.34716
"2018-03-29","00:00",1.34716,1.34796,1.34056,1.34129
"2018-03-30","00:00",1.34129,1.34154,1.33616,1.33739
"2018-04-02","00:00",1.3399,1.34251,1.33893,1.3417
"2018-04-03","00:00",1.34173,1.3496,1.34142,1.34848
"2018-04-04","00:00",1.34851,1.35343,1.34408,1.35263
"2018-04-05","00:00",1.35262,1.35384,1.34608,1.34788
"2018-04-06","00:00",1.34791,1.35415,1.34601,1.35136
"2018-04-09","00:00",1.35181,1.35532,1.35079,1.35149
"2018-04-10","00:00",1.3515,1.3573,1.35093,1.35639
"2018-04-11","00:00",1.35644,1.36417,1.35595,1.35833
"2018-04-12","00:00",1.35836,1.37133,1.35817,1.37033
"2018-04-13","00:00",1.37035,1.37445,1.36918,1.3697
"2018-04-16","00:00",1.37213,1.37667,1.36966,1.376
"2018-04-17","00:00",1.37608,1.38373,1.37591,1.382
"2018-04-18","00:00",1.38204,1.38565,1.37254,1.37562
"2018-04-19","00:00",1.37565,1.38079,1.36745,1.36848
"2018-04-20","00:00",1.36846,1.37165,1.36298,1.36496
"2018-04-23","00:00",1.3666,1.36867,1.36023,1.36329
"2018-04-24","00:00",1.36327,1.3707,1.3616,1.36975
"2018-04-25","00:00",1.36978,1.37212,1.36817,1.36947
"2018-04-26","00:00",1.36949,1.3782,1.3684,1.37662
"2018-04-27","00:00",1.37666,1.37928,1.36075,1.36156
"2018-04-30","00:00",1.36072,1.36529,1.35681,1.36451
"2018-05-01","00:00",1.36451,1.36508,1.35343,1.35635
"2018-05-02","00:00",1.35638,1.3609,1.35287,1.35624
"2018-05-03","00:00",1.35622,1.35798,1.35259,1.35355
"2018-05-04","00:00",1.35353,1.35767,1.35137,1.35314
"2018-05-07","00:00",1.35403,1.36173,1.35338,1.35959
"2018-05-08","00:00",1.35956,1.36192,1.35223,1.35716
"2018-05-09","00:00",1.35715,1.36428,1.35462,1.36185
"2018-05-10","00:00",1.36183,1.36492,1.35115,1.35634
"2018-05-11","00:00",1.35631,1.35774,1.35349,1.35472
"2018-05-14","00:00",1.355,1.35857,1.35372,1.35653
"2018-05-15","00:00",1.35654,1.35745,1.34974,1.35189
"2018-05-16","00:00",1.35188,1.35575,1.34627,1.3556
"2018-05-17","00:00",1.35559,1.35709,1.35018,1.35349
"2018-05-18","00:00",1.35347,1.35375,1.34201,1.34347
"2018-05-21","00:00",1.34502,1.34554,1.33775,1.3389
"2018-05-22","00:00",1.33888,1.34342,1.33128,1.33336
"2018-05-23","00:00",1.33336,1.3337,1.31792,1.32939
"2018-05-24","00:00",1.32939,1.33175,1.32345,1.32653
"2018-05-25","00:00",1.32651,1.3278,1.31574,1.31574
"2018-05-28","00:00",1.32046,1.325,1.31963,1.3226
"2018-05-29","00:00",1.32258,1.32343,1.30524,1.31321
"2018-05-30","00:00",1.3132,1.31846,1.31024,1.31334
"2018-05-31","00:00",1.31336,1.31778,1.3059,1.3091
"2018-06-01","00:00",1.30912,1.32061,1.30878,1.31887
"2018-06-04","00:00",1.32033,1.32272,1.31452,1.31594
"2018-06-05","00:00",1.31593,1.32049,1.31463,1.31963
"2018-06-06","00:00",1.3196,1.327,1.31893,1.32331
"2018-06-07","00:00",1.32332,1.32434,1.31272,1.31597
"2018-06-08","00:00",1.31598,1.3229,1.31459,1.32078
"2018-06-11","00:00",1.32108,1.32575,1.31706,1.31907
"2018-06-12","00:00",1.31906,1.32127,1.31414,1.32004
"2018-06-13","00:00",1.32004,1.32053,1.31473,1.31767
"2018-06-14","00:00",1.31765,1.32614,1.31707,1.32155
"2018-06-15","00:00",1.32159,1.32701,1.31916,1.32525
"2018-06-18","00:00",1.32457,1.32457,1.31602,1.31826
"2018-06-19","00:00",1.31829,1.31829,1.30806,1.30981
"2018-06-20","00:00",1.3098,1.31634,1.3087,1.31212
"2018-06-21","00:00",1.31214,1.31723,1.3065,1.31353
"2018-06-22","00:00",1.31356,1.31783,1.30859,1.31033
"2018-06-25","00:00",1.31025,1.31253,1.30598,1.31066
"2018-06-26","00:00",1.31068,1.31293,1.30683,1.31012
"2018-06-27","00:00",1.31014,1.31143,1.30614,1.30781
"2018-06-28","00:00",1.30784,1.30787,1.30316,1.30438
"2018-06-29","00:00",1.30436,1.31189,1.30241,1.30842
"2018-07-02","00:00",1.30801,1.30849,1.30358,1.30557
"2018-07-03","00:00",1.30556,1.31107,1.30456,1.30897
"2018-07-04","00:00",1.30893,1.31489,1.30793,1.3128
"2018-07-05","00:00",1.31279,1.31698,1.31102,1.31325
"2018-07-06","00:00",1.31323,1.31634,1.31144,1.31518
"2018-07-09","00:00",1.31536,1.32019,1.30879,1.31405
