Date,Time,Open,High,Low,Close
"2017-10-30","00:00",149.37,150.016,148.876,149.334
"2017-10-31","00:00",149.333,151.12,149.198,151.067
"2017-11-01","00:00",151.066,151.931,151.015,151.347
"2017-11-02","00:00",151.349,151.522,148.668,148.835
"2017-11-03","00:00",148.834,149.532,148.714,149.168
"2017-11-06","00:00",149.333,149.921,149.307,149.882
"2017-11-07","00:00",149.881,150.327,149.66,149.82
"2017-11-08","00:00",149.821,149.927,148.555,149.387
"2017-11-09","00:00",149.387,149.7,148.46,148.998
"2017-11-10","00:00",148.992,149.993,148.85,149.834
"2017-11-13","00:00",149.177,149.26,148.058,149.056
"2017-11-14","00:00",149.055,149.566,148.623,149.228
"2017-11-15","00:00",149.23,149.321,148.13,148.55
"2017-11-16","00:00",148.549,149.462,148.545,149.217
"2017-11-17","00:00",149.217,149.323,147.941,148.145
"2017-11-20","00:00",147.866,149.238,147.642,149.049
"2017-11-21","00:00",149.048,149.376,148.624,148.832
"2017-11-22","00:00",148.831,148.889,148.024,148.178
"2017-11-23","00:00",148.178,148.483,147.819,148.043
"2017-11-24","00:00",148.041,148.984,147.972,148.763
"2017-11-27","00:00",148.784,148.784,147.841,148.052
"2017-11-28","00:00",148.048,149.284,146.986,149.192
"2017-11-29","00:00",149.194,150.442,148.893,150.281
"2017-11-30","00:00",150.28,152.421,150.18,152.331
"2017-12-01","00:00",152.329,152.485,150.594,151.02
"2017-12-04","00:00",152.298,152.952,151.282,151.575
"2017-12-05","00:00",151.572,151.817,150.542,150.87
"2017-12-06","00:00",150.868,151.096,149.769,150.396
"2017-12-07","00:00",150.397,152.649,150.173,152.631
"2017-12-08","00:00",152.632,153.414,151.639,151.964
"2017-12-11","00:00",152.077,152.338,151.242,151.56
"2017-12-12","00:00",151.558,151.768,151.036,151.226
"2017-12-13","00:00",151.225,151.519,150.493,151.209
"2017-12-14","00:00",151.22,151.871,150.635,150.972
"2017-12-15","00:00",150.975,151.027,149.419,150.046
"2017-12-18","00:00",150.108,151.034,150.056,150.617
"2017-12-19","00:00",150.617,151.275,150.394,151.271
"2017-12-20","00:00",151.269,152.019,151.19,151.411
"2017-12-21","00:00",151.413,151.919,151.293,151.587
"2017-12-22","00:00",151.586,151.858,151.438,151.556
"2017-12-26","00:00",151.544,151.589,151.197,151.412
"2017-12-27","00:00",151.413,152.089,151.377,151.76
"2017-12-28","00:00",151.762,151.988,151.5,151.723
"2017-12-29","00:00",151.726,152.512,151.539,152.258
"2018-01-02","00:00",152.365,152.743,151.873,152.607
"2018-01-03","00:00",152.606,152.828,151.762,152.151
"2018-01-04","00:00",152.151,152.98,152.151,152.873
"2018-01-05","00:00",152.872,153.643,152.827,153.466
"2018-01-08","00:00",153.627,153.676,152.877,153.546
"2018-01-09","00:00",153.545,153.578,151.959,152.59
"2018-01-10","00:00",152.59,152.599,150.366,150.606
"2018-01-11","00:00",150.605,151.006,150.2,150.695
"2018-01-12","00:00",150.696,152.678,150.608,152.477
"2018-01-15","00:00",152.617,152.811,151.935,152.593
"2018-01-16","00:00",152.593,153.103,152.05,152.319
"2018-01-17","00:00",152.317,154.289,152.206,153.95
"2018-01-18","00:00",153.95,154.587,153.639,154.265
"2018-01-19","00:00",154.266,154.359,153.116,153.502
"2018-01-22","00:00",153.757,155.259,153.504,155.197
"2018-01-23","00:00",155.198,155.404,153.737,154.308
"2018-01-24","00:00",154.309,155.714,154.134,155.464
"2018-01-25","00:00",155.459,156.084,154.436,155.188
"2018-01-26","00:00",155.184,155.858,153.435,153.805
"2018-01-29","00:00",153.69,154.023,152.828,153.318
"2018-01-30","00:00",153.317,154.082,151.977,153.929
"2018-01-31","00:00",153.928,155.35,153.565,155.05
"2018-02-01","00:00",155.05,156.447,154.959,156.07
"2018-02-02","00:00",156.07,156.613,155.492,155.499
"2018-02-05","00:00",155.264,155.415,152.03,152.06
"2018-02-06","00:00",152.068,153.141,151.212,153.018
"2018-02-07","00:00",153.02,153.057,151.329,151.503
"2018-02-08","00:00",151.501,154.039,150.838,151.298
"2018-02-09","00:00",151.294,152.76,148.928,150.379
"2018-02-12","00:00",150.411,150.822,149.672,150.572
"2018-02-13","00:00",150.567,150.567,148.981,149.628
"2018-02-14","00:00",149.626,150.028,147.977,149.336
"2018-02-15","00:00",149.334,150.185,148.952,149.656
"2018-02-16","00:00",149.657,149.966,148.803,149.004
"2018-02-19","00:00",149.108,149.475,148.884,149.327
"2018-02-20","00:00",149.325,150.387,149.092,150.349
"2018-02-21","00:00",150.349,150.934,149.43,149.65
"2018-02-22","00:00",149.649,149.794,148.546,149.053
"2018-02-23","00:00",149.056,149.522,148.651,149.281
"2018-02-26","00:00",149.577,150.016,149.005,149.515
"2018-02-27","00:00",149.516,149.817,148.841,149.375
"2018-02-28","00:00",149.375,149.523,146.591,146.676
"2018-03-01","00:00",146.678,147.444,146.018,146.256
"2018-03-02","00:00",146.257,146.45,144.993,145.803
"2018-03-05","00:00",145.624,147.207,145.093,147.149
