Date,Time,Open,High,Low,Close
"2017-10-30","00:00",149.37,149.37,149.298,149.344
"2017-10-30","00:01",149.351,149.351,149.327,149.327
"2017-10-30","00:02",149.327,149.362,149.325,149.362
"2017-10-30","00:03",149.361,149.364,149.344,149.347
"2017-10-30","00:04",149.346,149.346,149.32,149.338
"2017-10-30","00:05",149.339,149.37,149.339,149.368
"2017-10-30","00:06",149.369,149.41,149.369,149.378
"2017-10-30","00:07",149.379,149.391,149.375,149.385
"2017-10-30","00:08",149.385,149.392,149.361,149.38
"2017-10-30","00:09",149.382,149.385,149.358,149.374
"2017-10-30","00:10",149.373,149.373,149.351,149.356
"2017-10-30","00:11",149.356,149.358,149.34,149.347
"2017-10-30","00:12",149.349,149.353,149.334,149.344
"2017-10-30","00:13",149.341,149.368,149.341,149.346
"2017-10-30","00:14",149.347,149.369,149.347,149.363
"2017-10-30","00:15",149.364,149.367,149.33,149.33
"2017-10-30","00:16",149.331,149.344,149.327,149.344
"2017-10-30","00:17",149.341,149.369,149.332,149.369
"2017-10-30","00:18",149.368,149.389,149.356,149.389
"2017-10-30","00:19",149.384,149.4,149.374,149.375
"2017-10-30","00:20",149.374,149.404,149.371,149.398
"2017-10-30","00:21",149.397,149.424,149.397,149.415
"2017-10-30","00:22",149.417,149.434,149.404,149.404
"2017-10-30","00:23",149.403,149.426,149.394,149.426
"2017-10-30","00:24",149.427,149.438,149.415,149.416
"2017-10-30","00:25",149.417,149.422,149.4,149.404
"2017-10-30","00:26",149.4,149.427,149.4,149.413
"2017-10-30","00:27",149.413,149.427,149.4,149.407
"2017-10-30","00:28",149.409,149.418,149.409,149.413
"2017-10-30","00:29",149.415,149.431,149.409,149.431
"2017-10-30","00:30",149.434,149.448,149.425,149.448
"2017-10-30","00:31",149.448,149.448,149.419,149.421
"2017-10-30","00:32",149.421,149.424,149.419,149.422
"2017-10-30","00:33",149.421,149.424,149.413,149.424
"2017-10-30","00:34",149.421,149.425,149.416,149.425
"2017-10-30","00:35",149.425,149.445,149.425,149.445
"2017-10-30","00:36",149.445,149.466,149.445,149.463
"2017-10-30","00:37",149.463,149.472,149.458,149.468
"2017-10-30","00:38",149.469,149.471,149.445,149.445
"2017-10-30","00:39",149.445,149.465,149.445,149.447
"2017-10-30","00:40",149.45,149.467,149.447,149.457
"2017-10-30","00:41",149.456,149.484,149.456,149.483
"2017-10-30","00:42",149.481,149.483,149.434,149.439
"2017-10-30","00:43",149.438,149.471,149.438,149.46
"2017-10-30","00:44",149.462,149.47,149.451,149.457
"2017-10-30","00:45",149.463,149.471,149.458,149.465
"2017-10-30","00:46",149.465,149.47,149.462,149.462
"2017-10-30","00:47",149.462,149.462,149.451,149.455
"2017-10-30","00:48",149.454,149.454,149.42,149.433
"2017-10-30","00:49",149.432,149.454,149.432,149.439
"2017-10-30","00:50",149.438,149.447,149.418,149.423
"2017-10-30","00:51",149.423,149.428,149.402,149.422
"2017-10-30","00:52",149.419,149.451,149.419,149.435
