Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.91429,1.92819,1.91398,1.92048
"2017-10-31","00:00",1.92046,1.94321,1.92041,1.92501
"2017-11-01","00:00",1.925,1.93128,1.91909,1.92378
"2017-11-02","00:00",1.92381,1.92412,1.88475,1.88833
"2017-11-03","00:00",1.88836,1.89407,1.88118,1.89324
"2017-11-06","00:00",1.89335,1.90439,1.89155,1.89808
"2017-11-07","00:00",1.89812,1.90877,1.89401,1.90593
"2017-11-08","00:00",1.90595,1.90931,1.88151,1.88504
"2017-11-09","00:00",1.88501,1.89646,1.87872,1.89273
"2017-11-10","00:00",1.89274,1.90695,1.88978,1.90447
"2017-11-13","00:00",1.89476,1.90251,1.88851,1.90233
"2017-11-14","00:00",1.90237,1.91638,1.90172,1.91287
"2017-11-15","00:00",1.9129,1.91884,1.90368,1.91608
"2017-11-16","00:00",1.91606,1.93039,1.91603,1.92534
"2017-11-17","00:00",1.92535,1.95361,1.92383,1.93894
"2017-11-20","00:00",1.94104,1.9464,1.93104,1.94427
"2017-11-21","00:00",1.94427,1.95122,1.93463,1.93491
"2017-11-22","00:00",1.93491,1.94298,1.93284,1.93735
"2017-11-23","00:00",1.93735,1.94026,1.9273,1.93141
"2017-11-24","00:00",1.93142,1.94068,1.9288,1.93766
"2017-11-27","00:00",1.93884,1.94338,1.92367,1.925
"2017-11-28","00:00",1.92498,1.93778,1.90804,1.93687
"2017-11-29","00:00",1.93684,1.9504,1.93422,1.94922
"2017-11-30","00:00",1.94922,1.983,1.94922,1.98074
"2017-12-01","00:00",1.98075,1.98388,1.95244,1.95618
"2017-12-04","00:00",1.96849,1.9742,1.95506,1.9622
"2017-12-05","00:00",1.9622,1.96563,1.94209,1.95148
"2017-12-06","00:00",1.95149,1.95258,1.93533,1.94464
"2017-12-07","00:00",1.94451,1.97539,1.94275,1.97504
"2017-12-08","00:00",1.97506,1.97735,1.95188,1.95743
"2017-12-11","00:00",1.95736,1.95807,1.92769,1.93216
"2017-12-12","00:00",1.93215,1.93303,1.91654,1.9199
"2017-12-13","00:00",1.91998,1.92578,1.90365,1.91062
"2017-12-14","00:00",1.91068,1.92432,1.90937,1.92205
"2017-12-15","00:00",1.92207,1.92382,1.89678,1.90668
"2017-12-18","00:00",1.90299,1.91467,1.8992,1.91297
"2017-12-19","00:00",1.91297,1.92172,1.90439,1.9205
"2017-12-20","00:00",1.9205,1.92626,1.90568,1.90593
"2017-12-21","00:00",1.90595,1.91316,1.90275,1.90766
"2017-12-22","00:00",1.90762,1.91226,1.90315,1.90661
"2017-12-26","00:00",1.90345,1.9059,1.89904,1.90216
"2017-12-27","00:00",1.90217,1.90261,1.89446,1.89623
"2017-12-28","00:00",1.89622,1.8998,1.89377,1.89541
"2017-12-29","00:00",1.89455,1.90705,1.89383,1.90606
"2018-01-02","00:00",1.90627,1.91544,1.89709,1.91512
"2018-01-03","00:00",1.9151,1.92161,1.90212,1.90641
"2018-01-04","00:00",1.90643,1.91009,1.89213,1.89394
"2018-01-05","00:00",1.89391,1.89841,1.88903,1.88983
"2018-01-08","00:00",1.8932,1.8942,1.8849,1.89154
"2018-01-09","00:00",1.89149,1.89543,1.88004,1.89389
"2018-01-10","00:00",1.89387,1.89436,1.87189,1.87527
"2018-01-11","00:00",1.87529,1.87986,1.86181,1.86477
"2018-01-12","00:00",1.86476,1.89579,1.86342,1.8924
"2018-01-15","00:00",1.89455,1.89511,1.88483,1.89095
"2018-01-16","00:00",1.89089,1.89903,1.88899,1.89888
