Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.91429,1.9148,1.91398,1.9148
"2017-10-30","00:01",1.91483,1.91483,1.91454,1.91473
"2017-10-30","00:02",1.91474,1.91513,1.91465,1.91513
"2017-10-30","00:03",1.91511,1.91517,1.9149,1.91491
"2017-10-30","00:04",1.91489,1.9149,1.9145,1.91476
"2017-10-30","00:05",1.91477,1.91497,1.9147,1.91493
"2017-10-30","00:06",1.91494,1.91524,1.91478,1.91495
"2017-10-30","00:07",1.91494,1.91494,1.91464,1.91492
"2017-10-30","00:08",1.91495,1.91499,1.91468,1.91485
"2017-10-30","00:09",1.91485,1.91492,1.91474,1.91491
"2017-10-30","00:10",1.91492,1.91492,1.91454,1.91454
"2017-10-30","00:11",1.91454,1.91481,1.91454,1.91481
"2017-10-30","00:12",1.91478,1.91491,1.91466,1.91482
"2017-10-30","00:13",1.91481,1.91507,1.91475,1.91494
"2017-10-30","00:14",1.91499,1.91502,1.91478,1.91494
"2017-10-30","00:15",1.91496,1.91498,1.91484,1.91488
"2017-10-30","00:16",1.9149,1.91513,1.91484,1.91508
"2017-10-30","00:17",1.91509,1.91509,1.91485,1.91504
"2017-10-30","00:18",1.91503,1.91525,1.91503,1.91518
"2017-10-30","00:19",1.91513,1.91527,1.91507,1.91519
"2017-10-30","00:20",1.91521,1.91525,1.91488,1.91516
"2017-10-30","00:21",1.91515,1.91542,1.91515,1.91537
"2017-10-30","00:22",1.91536,1.91554,1.91519,1.91541
"2017-10-30","00:23",1.9154,1.9154,1.9149,1.91496
"2017-10-30","00:24",1.91501,1.91502,1.9148,1.91489
"2017-10-30","00:25",1.9149,1.91494,1.9146,1.91461
"2017-10-30","00:26",1.9146,1.9147,1.91447,1.91454
"2017-10-30","00:27",1.91453,1.91494,1.91448,1.91452
"2017-10-30","00:28",1.91453,1.91458,1.91444,1.9145
"2017-10-30","00:29",1.91451,1.91456,1.91444,1.91456
"2017-10-30","00:30",1.91475,1.91478,1.91453,1.9147
"2017-10-30","00:31",1.9147,1.9147,1.91447,1.91453
"2017-10-30","00:32",1.91453,1.91456,1.91434,1.91446
"2017-10-30","00:33",1.91446,1.9146,1.91438,1.91444
"2017-10-30","00:34",1.91445,1.91468,1.91444,1.91462
"2017-10-30","00:35",1.91464,1.91468,1.91433,1.9145
"2017-10-30","00:36",1.91453,1.91472,1.91452,1.91468
"2017-10-30","00:37",1.9147,1.91483,1.91463,1.91475
"2017-10-30","00:38",1.91486,1.91499,1.91478,1.91499
"2017-10-30","00:39",1.91497,1.91499,1.9148,1.91483
"2017-10-30","00:40",1.91488,1.91514,1.91487,1.91501
"2017-10-30","00:41",1.91502,1.91539,1.91502,1.91539
"2017-10-30","00:42",1.91545,1.91567,1.91509,1.91522
"2017-10-30","00:43",1.91521,1.91527,1.91505,1.91519
"2017-10-30","00:44",1.91519,1.91549,1.91507,1.91546
"2017-10-30","00:45",1.91547,1.9155,1.91531,1.91536
"2017-10-30","00:46",1.91542,1.91542,1.91526,1.9153
"2017-10-30","00:47",1.91528,1.91533,1.91487,1.9149
"2017-10-30","00:48",1.91491,1.915,1.91482,1.91492
"2017-10-30","00:49",1.91493,1.91515,1.91484,1.91495
"2017-10-30","00:50",1.91497,1.91504,1.91461,1.91463
"2017-10-30","00:51",1.91482,1.91512,1.91472,1.91507
"2017-10-30","00:52",1.91511,1.91565,1.91511,1.9156
"2017-10-30","00:53",1.91559,1.91559,1.91508,1.91533
"2017-10-30","00:54",1.91532,1.91599,1.91532,1.91576
"2017-10-30","00:55",1.91567,1.91568,1.91462,1.91465
"2017-10-30","00:56",1.91465,1.91484,1.91463,1.91464
"2017-10-30","00:57",1.91463,1.91506,1.91462,1.91504
"2017-10-30","00:58",1.91515,1.91536,1.91506,1.91513
"2017-10-30","00:59",1.91508,1.91553,1.9149,1.91553
"2017-10-30","01:00",1.91556,1.91581,1.91506,1.91578
"2017-10-30","01:01",1.91578,1.91619,1.91572,1.91618
"2017-10-30","01:02",1.9162,1.9162,1.91576,1.91578
"2017-10-30","01:03",1.91573,1.91573,1.91553,1.9157
"2017-10-30","01:04",1.9157,1.91579,1.91559,1.91575
"2017-10-30","01:05",1.91577,1.9161,1.91554,1.91554
"2017-10-30","01:06",1.9155,1.91588,1.9155,1.91552
"2017-10-30","01:07",1.91553,1.91588,1.91553,1.91565
"2017-10-30","01:08",1.91566,1.91596,1.91566,1.91581
"2017-10-30","01:09",1.91583,1.91621,1.9158,1.91615
"2017-10-30","01:10",1.91607,1.91646,1.91596,1.91623
