Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.3135,1.3215,1.3127,1.3213
"2017-10-31","00:00",1.3214,1.3294,1.3192,1.3291
"2017-11-01","00:00",1.329,1.332,1.3241,1.3256
"2017-11-02","00:00",1.3256,1.3299,1.3043,1.3053
"2017-11-03","00:00",1.3053,1.3133,1.304,1.3076
"2017-11-06","00:00",1.308,1.3175,1.3059,1.3174
"2017-11-07","00:00",1.3174,1.3178,1.311,1.3171
"2017-11-08","00:00",1.3171,1.3176,1.3086,1.3114
"2017-11-09","00:00",1.3114,1.3166,1.3086,1.3143
"2017-11-10","00:00",1.3143,1.323,1.3113,1.3198
"2017-11-13","00:00",1.312,1.3135,1.3062,1.3121
"2017-11-14","00:00",1.3121,1.3187,1.3076,1.3158
"2017-11-15","00:00",1.3158,1.3213,1.3131,1.3173
"2017-11-16","00:00",1.3173,1.3207,1.3136,1.32
"2017-11-17","00:00",1.32,1.326,1.317,1.3217
"2017-11-20","00:00",1.3199,1.3279,1.3186,1.3242
"2017-11-21","00:00",1.3242,1.3268,1.321,1.3247
"2017-11-22","00:00",1.3248,1.333,1.3215,1.3315
"2017-11-23","00:00",1.3315,1.3337,1.3285,1.3306
"2017-11-24","00:00",1.3306,1.336,1.3279,1.3333
"2017-11-27","00:00",1.3324,1.3383,1.331,1.3321
"2017-11-28","00:00",1.3321,1.3387,1.3222,1.3365
"2017-11-29","00:00",1.3365,1.3448,1.3353,1.3417
"2017-11-30","00:00",1.3417,1.3548,1.341,1.353
"2017-12-01","00:00",1.353,1.355,1.3447,1.3471
"2017-12-04","00:00",1.349,1.3539,1.3417,1.3473
"2017-12-05","00:00",1.3473,1.3477,1.3372,1.3414
"2017-12-06","00:00",1.3414,1.3436,1.3358,1.3391
"2017-12-07","00:00",1.3391,1.3486,1.332,1.3483
"2017-12-08","00:00",1.3483,1.352,1.3356,1.339
"2017-12-11","00:00",1.3391,1.343,1.3331,1.3348
"2017-12-12","00:00",1.3348,1.338,1.3304,1.3319
"2017-12-13","00:00",1.3319,1.3428,1.3312,1.3409
"2017-12-14","00:00",1.341,1.3464,1.3393,1.3433
"2017-12-15","00:00",1.3433,1.3447,1.3304,1.3328
"2017-12-18","00:00",1.3316,1.3419,1.331,1.3379
"2017-12-19","00:00",1.3379,1.3402,1.3332,1.3386
"2017-12-20","00:00",1.3386,1.342,1.3369,1.337
"2017-12-21","00:00",1.337,1.3388,1.3333,1.3378
"2017-12-22","00:00",1.3378,1.3397,1.336,1.3382
"2017-12-26","00:00",1.3374,1.3389,1.3348,1.3374
"2017-12-27","00:00",1.3374,1.3429,1.3368,1.3403
"2017-12-28","00:00",1.3403,1.3456,1.3398,1.344
"2017-12-29","00:00",1.344,1.3542,1.3439,1.3524
"2018-01-02","00:00",1.351,1.36,1.3508,1.3594
"2018-01-03","00:00",1.3594,1.3613,1.3498,1.3511
"2018-01-04","00:00",1.3511,1.356,1.3505,1.3552
"2018-01-05","00:00",1.3552,1.3582,1.3523,1.3567
"2018-01-08","00:00",1.3577,1.3586,1.3524,1.357
"2018-01-09","00:00",1.357,1.3582,1.3508,1.3531
"2018-01-10","00:00",1.3531,1.3562,1.3482,1.3512
"2018-01-11","00:00",1.3512,1.3555,1.3458,1.3542
"2018-01-12","00:00",1.3542,1.3737,1.3538,1.3731
"2018-01-15","00:00",1.3731,1.382,1.3731,1.3794
"2018-01-16","00:00",1.3794,1.3806,1.3742,1.3798
"2018-01-17","00:00",1.3798,1.3942,1.3757,1.3825
"2018-01-18","00:00",1.3825,1.3914,1.3805,1.3893
"2018-01-19","00:00",1.3893,1.3945,1.3841,1.3866
