Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.3135,1.3136,1.3133,1.3136
"2017-10-30","00:01",1.3136,1.3136,1.3135,1.3136
"2017-10-30","00:02",1.3136,1.3138,1.3135,1.3138
"2017-10-30","00:03",1.3138,1.3138,1.3136,1.3136
"2017-10-30","00:04",1.3136,1.3136,1.3134,1.3135
"2017-10-30","00:05",1.3135,1.3136,1.3135,1.3136
"2017-10-30","00:06",1.3136,1.3136,1.3131,1.3131
"2017-10-30","00:07",1.3131,1.3134,1.3131,1.3134
"2017-10-30","00:08",1.3134,1.3134,1.3132,1.3133
"2017-10-30","00:09",1.3133,1.3134,1.3133,1.3134
"2017-10-30","00:10",1.3134,1.3136,1.3134,1.3135
"2017-10-30","00:11",1.3135,1.3139,1.3135,1.3139
"2017-10-30","00:12",1.3139,1.3139,1.3136,1.3137
"2017-10-30","00:13",1.3137,1.3137,1.3135,1.3135
"2017-10-30","00:14",1.3135,1.3137,1.3135,1.3136
"2017-10-30","00:15",1.3136,1.3136,1.3135,1.3135
"2017-10-30","00:16",1.3135,1.3136,1.3134,1.3134
"2017-10-30","00:17",1.3134,1.3135,1.3134,1.3134
"2017-10-30","00:18",1.3134,1.3136,1.3134,1.3135
"2017-10-30","00:19",1.3135,1.3136,1.3135,1.3136
"2017-10-30","00:20",1.3136,1.3136,1.3136,1.3136
"2017-10-30","00:21",1.3136,1.3136,1.3135,1.3135
"2017-10-30","00:22",1.3135,1.3135,1.3134,1.3134
"2017-10-30","00:23",1.3134,1.3134,1.3133,1.3133
"2017-10-30","00:24",1.3133,1.3133,1.3132,1.3132
"2017-10-30","00:25",1.3132,1.3132,1.3132,1.3132
"2017-10-30","00:26",1.3132,1.3133,1.3131,1.3132
"2017-10-30","00:27",1.3131,1.3132,1.3129,1.313
"2017-10-30","00:28",1.313,1.3131,1.3129,1.313
"2017-10-30","00:29",1.313,1.313,1.3129,1.3129
"2017-10-30","00:30",1.3129,1.3129,1.3128,1.3129
"2017-10-30","00:31",1.3129,1.313,1.3129,1.3129
"2017-10-30","00:32",1.3129,1.3129,1.3129,1.3129
"2017-10-30","00:33",1.3129,1.313,1.3129,1.313
"2017-10-30","00:34",1.313,1.3131,1.313,1.3131
"2017-10-30","00:35",1.3131,1.3133,1.3131,1.3133
"2017-10-30","00:36",1.3133,1.3133,1.3132,1.3132
"2017-10-30","00:37",1.3132,1.3132,1.313,1.3132
"2017-10-30","00:38",1.3132,1.3133,1.3131,1.3132
"2017-10-30","00:39",1.3132,1.3133,1.3132,1.3133
"2017-10-30","00:40",1.3133,1.3134,1.3133,1.3134
"2017-10-30","00:41",1.3134,1.3135,1.3134,1.3135
"2017-10-30","00:42",1.3135,1.3135,1.3132,1.3133
"2017-10-30","00:43",1.3133,1.3133,1.3132,1.3133
"2017-10-30","00:44",1.3133,1.3135,1.3133,1.3134
"2017-10-30","00:45",1.3134,1.3134,1.3133,1.3134
"2017-10-30","00:46",1.3134,1.3134,1.3134,1.3134
"2017-10-30","00:47",1.3134,1.3135,1.3134,1.3135
"2017-10-30","00:48",1.3135,1.3136,1.3134,1.3136
"2017-10-30","00:49",1.3136,1.3137,1.3136,1.3136
"2017-10-30","00:50",1.3136,1.3139,1.3136,1.3137
"2017-10-30","00:51",1.3137,1.3137,1.3136,1.3136
"2017-10-30","00:52",1.3136,1.3136,1.3134,1.3135
"2017-10-30","00:53",1.3135,1.3135,1.3133,1.3133
"2017-10-30","00:54",1.3133,1.3134,1.3132,1.3132
"2017-10-30","00:55",1.3133,1.3133,1.3132,1.3132
"2017-10-30","00:56",1.3132,1.3134,1.3132,1.3133
