Date,Time,Open,High,Low,Close
"2017-10-30","00:00",78.028,78.068,77.664,77.758
"2017-10-31","00:00",77.76,78.546,77.351,78.463
"2017-11-01","00:00",78.46,78.976,78.364,78.668
"2017-11-02","00:00",78.67,78.99,78.636,78.817
"2017-11-03","00:00",78.815,79.21,78.751,78.792
"2017-11-06","00:00",78.874,79.178,78.579,78.962
"2017-11-07","00:00",78.96,79.141,78.517,78.607
"2017-11-08","00:00",78.608,79.399,78.501,79.247
"2017-11-09","00:00",79.247,79.465,78.611,78.714
"2017-11-10","00:00",78.712,78.903,78.445,78.674
"2017-11-13","00:00",78.73,78.797,78.224,78.354
"2017-11-14","00:00",78.353,78.451,77.82,78.009
"2017-11-15","00:00",78.011,78.105,77.51,77.525
"2017-11-16","00:00",77.524,77.633,77.314,77.501
"2017-11-17","00:00",77.502,77.502,76.218,76.405
"2017-11-20","00:00",76.176,76.739,76.129,76.657
"2017-11-21","00:00",76.657,76.922,76.389,76.907
"2017-11-22","00:00",76.909,76.948,76.429,76.483
"2017-11-23","00:00",76.483,76.786,76.285,76.65
"2017-11-24","00:00",76.65,76.828,76.499,76.772
"2017-11-27","00:00",76.735,77.019,76.34,76.911
"2017-11-28","00:00",76.911,77.348,76.758,77.028
"2017-11-29","00:00",77.029,77.241,76.767,77.097
"2017-11-30","00:00",77.097,77.097,76.595,76.9
"2017-12-01","00:00",76.903,77.446,76.732,77.201
"2017-12-04","00:00",77.373,77.594,77.001,77.243
"2017-12-05","00:00",77.245,77.74,77.127,77.309
"2017-12-06","00:00",77.309,77.55,77.103,77.338
"2017-12-07","00:00",77.34,77.427,76.938,77.279
"2017-12-08","00:00",77.284,77.816,77.198,77.632
"2017-12-11","00:00",77.695,78.6,77.631,78.441
"2017-12-12","00:00",78.441,78.892,78.362,78.767
"2017-12-13","00:00",78.766,79.212,78.629,79.142
"2017-12-14","00:00",79.145,79.191,78.403,78.547
"2017-12-15","00:00",78.547,78.989,78.447,78.702
"2017-12-18","00:00",78.881,79.204,78.698,78.733
"2017-12-19","00:00",78.734,79.036,78.638,78.766
"2017-12-20","00:00",78.766,79.565,78.54,79.445
"2017-12-21","00:00",79.445,79.65,79.257,79.461
"2017-12-22","00:00",79.46,79.621,79.395,79.493
"2017-12-26","00:00",79.62,79.733,79.437,79.602
"2017-12-27","00:00",79.602,80.174,79.586,80.028
"2017-12-28","00:00",80.029,80.156,79.833,80.06
"2017-12-29","00:00",80.072,80.172,79.858,79.876
"2018-01-02","00:00",79.925,80.305,79.648,79.686
"2018-01-03","00:00",79.685,79.931,79.491,79.808
"2018-01-04","00:00",79.808,80.75,79.749,80.713
"2018-01-05","00:00",80.714,81.271,80.627,81.203
"2018-01-08","00:00",81.148,81.274,80.98,81.179
"2018-01-09","00:00",81.179,81.315,80.482,80.572
"2018-01-10","00:00",80.57,80.644,80.005,80.311
"2018-01-11","00:00",80.31,80.905,80.195,80.811
"2018-01-12","00:00",80.814,80.894,80.401,80.573
"2018-01-15","00:00",80.555,80.878,80.379,80.697
"2018-01-16","00:00",80.697,81.027,80.175,80.216
"2018-01-17","00:00",80.215,81.201,80.153,80.97
"2018-01-18","00:00",80.97,81.273,80.674,80.994
"2018-01-19","00:00",80.992,81.086,80.441,80.555
"2018-01-22","00:00",80.66,81.302,80.523,81.228
"2018-01-23","00:00",81.226,81.566,80.766,81.066
"2018-01-24","00:00",81.071,81.212,80.013,80.219
"2018-01-25","00:00",80.21,80.602,79.917,80.17
"2018-01-26","00:00",80.167,80.434,79.604,79.96
"2018-01-29","00:00",79.973,79.99,79.626,79.794
"2018-01-30","00:00",79.796,79.936,79.166,79.811
"2018-01-31","00:00",79.811,80.921,79.802,80.516
"2018-02-01","00:00",80.517,81.067,80.397,80.941
"2018-02-02","00:00",80.942,80.969,80.38,80.411
"2018-02-05","00:00",80.115,80.534,79.222,79.249
"2018-02-06","00:00",79.247,80.59,78.816,80.361
"2018-02-07","00:00",80.363,80.397,78.871,78.907
"2018-02-08","00:00",78.909,79.297,78.294,78.447
"2018-02-09","00:00",78.447,79.072,78.1,78.826
"2018-02-12","00:00",78.844,79.098,78.495,78.953
"2018-02-13","00:00",78.953,78.988,78.237,78.476
"2018-02-14","00:00",78.477,78.935,77.65,78.577
"2018-02-15","00:00",78.579,78.93,78.334,78.487
"2018-02-16","00:00",78.486,78.791,78.329,78.569
"2018-02-19","00:00",78.52,78.798,78.4,78.581
"2018-02-20","00:00",78.583,78.94,78.456,78.832
"2018-02-21","00:00",78.831,79.296,78.653,78.697
"2018-02-22","00:00",78.695,78.859,78.181,78.221
"2018-02-23","00:00",78.219,78.376,77.647,77.925
"2018-02-26","00:00",77.965,78.314,77.773,78.062
"2018-02-27","00:00",78.064,78.115,77.642,77.731
"2018-02-28","00:00",77.734,77.82,76.8,76.852
"2018-03-01","00:00",76.849,77.707,76.618,77.097
"2018-03-02","00:00",77.094,77.27,76.157,76.509
"2018-03-05","00:00",76.337,76.833,75.933,76.758
"2018-03-06","00:00",76.759,77.67,76.683,76.885
"2018-03-07","00:00",76.882,77.39,76.797,77.378
"2018-03-08","00:00",77.376,77.389,76.872,77.26
"2018-03-09","00:00",77.257,78.016,77.178,77.85
"2018-03-12","00:00",78.118,78.164,77.558,77.584
"2018-03-13","00:00",77.588,78.624,77.576,78.099
"2018-03-14","00:00",78.098,78.299,77.603,77.627
"2018-03-15","00:00",77.626,77.772,77.106,77.285
"2018-03-16","00:00",77.286,77.291,76.448,76.489
"2018-03-19","00:00",76.587,77.013,76.078,76.782
"2018-03-20","00:00",76.779,77.051,76.367,76.441
"2018-03-21","00:00",76.441,76.855,75.97,76.59
"2018-03-22","00:00",76.59,76.778,75.543,75.729
"2018-03-23","00:00",75.733,76.427,75.616,75.795
"2018-03-26","00:00",75.918,77.076,75.904,77.058
"2018-03-27","00:00",77.064,77.084,76.444,76.647
"2018-03-28","00:00",76.647,77.18,76.434,77.019
"2018-03-29","00:00",77.016,77.055,76.586,76.969
"2018-03-30","00:00",76.974,76.996,76.702,76.918
"2018-04-02","00:00",76.915,76.999,76.168,76.203
"2018-04-03","00:00",76.204,77.463,76.188,77.304
"2018-04-04","00:00",77.306,78.171,77.124,78.15
"2018-04-05","00:00",78.149,78.231,77.686,77.78
"2018-04-06","00:00",77.776,78.018,77.622,77.733
"2018-04-09","00:00",77.794,78.401,77.78,77.999
"2018-04-10","00:00",77.999,79.145,77.911,78.951
"2018-04-11","00:00",78.954,78.958,78.526,78.708
