Date,Time,Open,High,Low,Close
"2017-10-30","00:00",78.028,78.029,77.995,77.997
"2017-10-30","00:01",77.999,78.005,77.987,77.987
"2017-10-30","00:02",77.987,77.993,77.984,77.993
"2017-10-30","00:03",77.992,77.998,77.99,77.994
"2017-10-30","00:04",77.993,77.996,77.988,77.994
"2017-10-30","00:05",77.993,78.003,77.993,78.001
"2017-10-30","00:06",78.002,78.02,78.001,78.005
"2017-10-30","00:07",78.006,78.023,78.006,78.01
"2017-10-30","00:08",78.01,78.011,78.004,78.008
"2017-10-30","00:09",78.01,78.012,78.001,78.004
"2017-10-30","00:10",78.003,78.009,77.997,78.009
"2017-10-30","00:11",78.01,78.011,77.995,77.996
"2017-10-30","00:12",77.997,78.004,77.99,77.995
"2017-10-30","00:13",77.994,78.004,77.989,77.989
"2017-10-30","00:14",77.989,78.001,77.989,77.999
"2017-10-30","00:15",77.998,78,77.983,77.983
"2017-10-30","00:16",77.983,77.988,77.98,77.983
"2017-10-30","00:17",77.982,77.996,77.981,77.996
"2017-10-30","00:18",77.998,78.001,77.991,78.001
"2017-10-30","00:19",78.002,78.005,77.993,77.994
"2017-10-30","00:20",77.993,78.012,77.993,78.006
"2017-10-30","00:21",78.006,78.013,78.002,78.008
"2017-10-30","00:22",78.009,78.021,78.003,78.003
"2017-10-30","00:23",78.004,78.031,78.003,78.028
"2017-10-30","00:24",78.028,78.034,78.027,78.03
"2017-10-30","00:25",78.029,78.035,78.025,78.035
"2017-10-30","00:26",78.034,78.043,78.034,78.041
"2017-10-30","00:27",78.042,78.043,78.03,78.039
"2017-10-30","00:28",78.04,78.046,78.039,78.043
"2017-10-30","00:29",78.043,78.05,78.042,78.049
"2017-10-30","00:30",78.043,78.054,78.042,78.054
"2017-10-30","00:31",78.053,78.056,78.045,78.045
"2017-10-30","00:32",78.045,78.054,78.045,78.049
"2017-10-30","00:33",78.047,78.048,78.041,78.044
"2017-10-30","00:34",78.047,78.047,78.037,78.042
"2017-10-30","00:35",78.043,78.059,78.042,78.058
"2017-10-30","00:36",78.057,78.068,78.057,78.06
"2017-10-30","00:37",78.061,78.065,78.056,78.06
"2017-10-30","00:38",78.055,78.058,78.038,78.038
"2017-10-30","00:39",78.039,78.053,78.039,78.046
"2017-10-30","00:40",78.047,78.048,78.041,78.044
"2017-10-30","00:41",78.044,78.046,78.037,78.037
"2017-10-30","00:42",78.038,78.04,78.025,78.029
"2017-10-30","00:43",78.028,78.046,78.028,78.038
"2017-10-30","00:44",78.038,78.042,78.023,78.026
"2017-10-30","00:45",78.027,78.035,78.027,78.03
"2017-10-30","00:46",78.031,78.038,78.03,78.036
"2017-10-30","00:47",78.033,78.049,78.028,78.047
"2017-10-30","00:48",78.046,78.046,78.03,78.034
"2017-10-30","00:49",78.034,78.044,78.031,78.035
"2017-10-30","00:50",78.037,78.044,78.031,78.034
"2017-10-30","00:51",78.035,78.041,78.016,78.023
"2017-10-30","00:52",78.023,78.026,78.009,78.01
"2017-10-30","00:53",78.011,78.031,78.006,78.031
"2017-10-30","00:54",78.032,78.032,77.971,77.971
"2017-10-30","00:55",77.977,78.014,77.977,77.999
"2017-10-30","00:56",78.001,78.013,77.999,78.013
"2017-10-30","00:57",78.012,78.021,78.001,78.002
"2017-10-30","00:58",77.998,77.998,77.989,77.994
"2017-10-30","00:59",77.995,78.001,77.99,77.994
"2017-10-30","01:00",77.987,77.989,77.973,77.976
"2017-10-30","01:01",77.976,77.976,77.962,77.965
"2017-10-30","01:02",77.965,77.989,77.965,77.989
"2017-10-30","01:03",77.99,77.996,77.968,77.968
"2017-10-30","01:04",77.968,77.974,77.965,77.972
"2017-10-30","01:05",77.973,77.991,77.962,77.99
"2017-10-30","01:06",77.991,77.992,77.975,77.98
"2017-10-30","01:07",77.981,77.983,77.972,77.974
"2017-10-30","01:08",77.972,77.973,77.964,77.971
"2017-10-30","01:09",77.971,77.975,77.947,77.948
"2017-10-30","01:10",77.948,77.957,77.938,77.948
"2017-10-30","01:11",77.948,77.964,77.947,77.964
"2017-10-30","01:12",77.96,77.964,77.95,77.957
"2017-10-30","01:13",77.958,77.961,77.953,77.959
"2017-10-30","01:14",77.96,77.968,77.957,77.958
"2017-10-30","01:15",77.957,77.96,77.935,77.938
"2017-10-30","01:16",77.939,77.952,77.939,77.952
"2017-10-30","01:17",77.952,77.972,77.945,77.972
"2017-10-30","01:18",77.971,77.971,77.965,77.967
