Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1110.487,1111.019,1105.837,1105.956
"2017-10-31","00:00",1105.961,1110.319,1105.805,1108.093
"2017-11-01","00:00",1108.095,1110.344,1107.319,1109.338
"2017-11-02","00:00",1109.338,1110.622,1105.054,1109.639
"2017-11-03","00:00",1109.639,1112.836,1106.823,1111.409
"2017-11-06","00:00",1111.395,1113.75,1106.761,1107.194
"2017-11-07","00:00",1107.193,1113.605,1106.792,1109.172
"2017-11-08","00:00",1109.171,1110.584,1108.225,1109.248
"2017-11-09","00:00",1109.252,1110.426,1104.829,1105.785
"2017-11-10","00:00",1105.789,1107.173,1103.678,1105.392
"2017-11-13","00:00",1107.794,1109.752,1106.416,1109.22
"2017-11-14","00:00",1109.221,1109.637,1104.266,1105.433
"2017-11-15","00:00",1105.434,1107.342,1102.275,1105.674
"2017-11-16","00:00",1105.672,1107.84,1104.372,1105.829
"2017-11-17","00:00",1105.827,1108.14,1101.78,1104.071
"2017-11-20","00:00",1106.291,1107.709,1102.815,1106.873
"2017-11-21","00:00",1106.874,1107.951,1103.63,1104.663
"2017-11-22","00:00",1104.661,1105.274,1097.01,1098.127
"2017-11-23","00:00",1098.121,1098.418,1095.972,1097.335
"2017-11-24","00:00",1097.335,1099.004,1094.976,1096.263
"2017-11-27","00:00",1096.853,1098.245,1092.563,1097.149
"2017-11-28","00:00",1097.146,1101.158,1096.289,1099.409
"2017-11-29","00:00",1099.411,1102.672,1097.842,1101.256
"2017-11-30","00:00",1101.255,1102.888,1096.339,1100.299
"2017-12-01","00:00",1100.298,1100.831,1092.224,1095.708
"2017-12-04","00:00",1098.571,1100.605,1096.064,1096.697
"2017-12-05","00:00",1096.696,1099.873,1094.968,1098.579
"2017-12-06","00:00",1098.578,1103.005,1097.683,1101.815
"2017-12-07","00:00",1101.815,1106.441,1101.813,1105.51
"2017-12-08","00:00",1105.5,1108.95,1105.243,1108.068
"2017-12-11","00:00",1108.001,1108.272,1105.392,1107.751
"2017-12-12","00:00",1107.746,1109.733,1105.233,1108.305
"2017-12-13","00:00",1108.304,1108.304,1099.381,1100.539
"2017-12-14","00:00",1100.54,1101.703,1096.281,1099.152
"2017-12-15","00:00",1099.15,1104.58,1096.459,1103.641
"2017-12-18","00:00",1104.244,1104.548,1098.819,1101.464
"2017-12-19","00:00",1101.466,1103.69,1099.865,1101.793
"2017-12-20","00:00",1101.775,1101.827,1099.678,1100.313
"2017-12-21","00:00",1100.316,1102.048,1097.365,1098.27
"2017-12-22","00:00",1098.27,1099.319,1097.203,1097.741
"2017-12-26","00:00",1097.085,1098.275,1095.945,1096.474
"2017-12-27","00:00",1096.477,1096.738,1092.716,1093.353
"2017-12-28","00:00",1093.351,1093.486,1088.954,1089.331
"2017-12-29","00:00",1089.324,1089.438,1084.327,1084.731
"2018-01-02","00:00",1086.395,1086.401,1080.944,1081.395
"2018-01-03","00:00",1081.394,1085.444,1080.996,1085.12
"2018-01-04","00:00",1085.123,1085.987,1081.429,1081.852
"2018-01-05","00:00",1081.852,1084.388,1079.574,1080.98
"2018-01-08","00:00",1081.116,1084.387,1079.99,1083.16
"2018-01-09","00:00",1083.157,1086.101,1081.099,1085.808
"2018-01-10","00:00",1085.806,1085.818,489.061,1083.098
"2018-01-11","00:00",1083.093,1085.044,1078.722,1079.439
"2018-01-12","00:00",1079.439,1080.702,1071.638,1071.814
"2018-01-15","00:00",1071.868,1071.962,1064.72,1066.599
"2018-01-16","00:00",1066.601,1069.561,1065.23,1065.734
"2018-01-17","00:00",1065.727,1070.171,1061.529,1069.024
"2018-01-18","00:00",1069.032,1070.523,1064.021,1064.952
"2018-01-19","00:00",1064.948,1066.741,1061.223,1066.736
