Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1110.487,1110.494,1110.347,1110.404
"2017-10-30","00:01",1110.422,1110.422,1110.366,1110.374
"2017-10-30","00:02",1110.373,1110.432,1110.327,1110.366
"2017-10-30","00:03",1110.353,1110.398,1110.344,1110.393
"2017-10-30","00:04",1110.402,1110.466,1110.384,1110.385
"2017-10-30","00:05",1110.385,1110.397,1110.353,1110.365
"2017-10-30","00:06",1110.367,1110.769,1110.367,1110.745
"2017-10-30","00:07",1110.761,1110.761,1110.576,1110.576
"2017-10-30","00:08",1110.575,1110.651,1110.566,1110.588
"2017-10-30","00:09",1110.592,1110.605,1110.516,1110.525
"2017-10-30","00:10",1110.527,1110.537,1110.305,1110.343
"2017-10-30","00:11",1110.341,1110.348,1110.175,1110.175
"2017-10-30","00:12",1110.172,1110.316,1110.163,1110.256
"2017-10-30","00:13",1110.245,1110.396,1110.245,1110.396
"2017-10-30","00:14",1110.403,1110.439,1110.296,1110.32
"2017-10-30","00:15",1110.325,1110.33,1110.266,1110.267
"2017-10-30","00:16",1110.292,1110.411,1110.275,1110.402
"2017-10-30","00:17",1110.377,1110.479,1110.36,1110.479
"2017-10-30","00:18",1110.5,1110.5,1110.366,1110.366
"2017-10-30","00:19",1110.367,1110.368,1110.285,1110.298
"2017-10-30","00:20",1110.289,1110.327,1110.239,1110.272
"2017-10-30","00:21",1110.269,1110.395,1110.233,1110.392
"2017-10-30","00:22",1110.393,1110.519,1110.369,1110.519
"2017-10-30","00:23",1110.518,1110.562,1110.514,1110.562
"2017-10-30","00:24",1110.575,1110.669,1110.572,1110.641
"2017-10-30","00:25",1110.642,1110.652,1110.62,1110.622
"2017-10-30","00:26",1110.614,1110.684,1110.573,1110.683
"2017-10-30","00:27",1110.683,1110.863,1110.661,1110.8
"2017-10-30","00:28",1110.805,1110.87,1110.732,1110.866
"2017-10-30","00:29",1110.865,1110.941,1110.839,1110.941
"2017-10-30","00:30",1110.94,1111.019,1110.938,1111.017
"2017-10-30","00:31",1111.011,1111.011,1110.872,1110.895
"2017-10-30","00:32",1110.895,1110.895,1110.842,1110.888
"2017-10-30","00:33",1110.888,1110.888,1110.792,1110.793
"2017-10-30","00:34",1110.787,1110.787,1110.718,1110.718
"2017-10-30","00:35",1110.718,1110.718,1110.611,1110.615
"2017-10-30","00:36",1110.616,1110.801,1110.612,1110.799
"2017-10-30","00:37",1110.807,1110.919,1110.785,1110.785
"2017-10-30","00:38",1110.811,1110.828,1110.764,1110.811
"2017-10-30","00:39",1110.794,1110.794,1110.663,1110.663
"2017-10-30","00:40",1110.661,1110.712,1110.66,1110.707
"2017-10-30","00:41",1110.706,1110.749,1110.674,1110.719
"2017-10-30","00:42",1110.72,1110.865,1110.674,1110.677
"2017-10-30","00:43",1110.679,1110.758,1110.673,1110.685
"2017-10-30","00:44",1110.685,1110.685,1110.574,1110.61
"2017-10-30","00:45",1110.617,1110.676,1110.617,1110.62
"2017-10-30","00:46",1110.62,1110.62,1110.577,1110.578
"2017-10-30","00:47",1110.578,1110.578,1110.498,1110.5
"2017-10-30","00:48",1110.501,1110.501,1110.246,1110.25
"2017-10-30","00:49",1110.249,1110.346,1110.249,1110.284
"2017-10-30","00:50",1110.283,1110.286,1110.078,1110.138
"2017-10-30","00:51",1110.137,1110.26,1110.133,1110.249
"2017-10-30","00:52",1110.249,1110.487,1110.249,1110.451
"2017-10-30","00:53",1110.451,1110.668,1110.414,1110.647
"2017-10-30","00:54",1110.657,1110.679,1110.506,1110.516
"2017-10-30","00:55",1110.47,1110.55,1110.409,1110.458
"2017-10-30","00:56",1110.467,1110.508,1110.377,1110.393
"2017-10-30","00:57",1110.394,1110.447,1110.391,1110.424
"2017-10-30","00:58",1110.426,1110.426,1110.029,1110.054
"2017-10-30","00:59",1110.06,1110.06,1109.89,1109.962
"2017-10-30","01:00",1109.903,1110.243,1109.887,1110.243
"2017-10-30","01:01",1110.241,1110.241,1110.057,1110.113
"2017-10-30","01:02",1110.122,1110.154,1110.103,1110.103
"2017-10-30","01:03",1110.099,1110.125,1110.008,1110.013
"2017-10-30","01:04",1110.015,1110.209,1109.906,1110.159
"2017-10-30","01:05",1110.157,1110.323,1110.148,1110.277
"2017-10-30","01:06",1110.269,1110.358,1110.222,1110.223
"2017-10-30","01:07",1110.226,1110.252,1110.22,1110.246
"2017-10-30","01:08",1110.249,1110.314,1110.249,1110.249
"2017-10-30","01:09",1110.254,1110.36,1110.246,1110.246
"2017-10-30","01:10",1110.235,1110.235,1110.186,1110.203
"2017-10-30","01:11",1110.204,1110.289,1110.204,1110.236
"2017-10-30","01:12",1110.23,1110.254,1109.999,1110.003
"2017-10-30","01:13",1109.994,1110.141,1109.994,1110.141
"2017-10-30","01:14",1110.155,1110.247,1110.139,1110.199
"2017-10-30","01:15",1110.208,1110.336,1110.164,1110.171
"2017-10-30","01:16",1110.193,1110.235,1110.176,1110.204
"2017-10-30","01:17",1110.202,1110.269,1110.156,1110.259
"2017-10-30","01:18",1110.243,1110.246,1110.202,1110.203
"2017-10-30","01:19",1110.179,1110.179,1110.108,1110.114
"2017-10-30","01:20",1110.115,1110.118,1110.063,1110.072
"2017-10-30","01:21",1110.073,1110.077,1110.003,1110.018
"2017-10-30","01:22",1110.019,1110.28,1110.013,1110.245
"2017-10-30","01:23",1110.246,1110.264,1110.163,1110.178
"2017-10-30","01:24",1110.179,1110.207,1110.173,1110.182
"2017-10-30","01:25",1110.183,1110.183,1109.91,1109.945
"2017-10-30","01:26",1109.945,1110.019,1109.883,1109.891
