Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.28308,1.28606,1.28122,1.28265
"2017-10-31","00:00",1.28266,1.29149,1.28234,1.28924
"2017-11-01","00:00",1.28924,1.29106,1.28548,1.28739
"2017-11-02","00:00",1.2874,1.28742,1.27996,1.28078
"2017-11-03","00:00",1.28079,1.28356,1.27156,1.27666
"2017-11-06","00:00",1.27622,1.27828,1.27035,1.27148
"2017-11-07","00:00",1.27148,1.28194,1.27106,1.27634
"2017-11-08","00:00",1.27634,1.27747,1.27155,1.27278
"2017-11-09","00:00",1.2728,1.27408,1.26681,1.26798
"2017-11-10","00:00",1.26799,1.2696,1.26664,1.26787
"2017-11-13","00:00",1.26933,1.27417,1.26784,1.27372
"2017-11-14","00:00",1.27372,1.27735,1.27011,1.27384
"2017-11-15","00:00",1.27383,1.27895,1.27134,1.27673
"2017-11-16","00:00",1.27673,1.27839,1.27287,1.27583
"2017-11-17","00:00",1.27582,1.28237,1.27138,1.27653
"2017-11-20","00:00",1.27944,1.28209,1.2755,1.28145
"2017-11-21","00:00",1.28145,1.28368,1.27495,1.27737
"2017-11-22","00:00",1.27736,1.27759,1.26947,1.27068
"2017-11-23","00:00",1.27068,1.27248,1.26731,1.27131
"2017-11-24","00:00",1.27131,1.27476,1.26938,1.27125
"2017-11-27","00:00",1.27159,1.27709,1.26805,1.27591
"2017-11-28","00:00",1.27595,1.28248,1.27548,1.28149
"2017-11-29","00:00",1.28148,1.28741,1.28056,1.28649
"2017-11-30","00:00",1.28651,1.29095,1.28509,1.28939
"2017-12-01","00:00",1.28939,1.28984,1.26837,1.26959
"2017-12-04","00:00",1.27192,1.27272,1.26567,1.26774
"2017-12-05","00:00",1.26774,1.27048,1.2624,1.26953
"2017-12-06","00:00",1.26953,1.28075,1.26536,1.2788
"2017-12-07","00:00",1.27881,1.28683,1.27876,1.28578
"2017-12-08","00:00",1.2858,1.28799,1.28062,1.28673
"2017-12-11","00:00",1.28618,1.28689,1.28313,1.2854
"2017-12-12","00:00",1.2854,1.28924,1.28136,1.28702
"2017-12-13","00:00",1.28702,1.28804,1.27924,1.28194
"2017-12-14","00:00",1.28193,1.28662,1.27143,1.27956
"2017-12-15","00:00",1.27955,1.28909,1.27396,1.28787
"2017-12-18","00:00",1.28756,1.28811,1.28424,1.28668
"2017-12-19","00:00",1.28668,1.2917,1.28506,1.28802
"2017-12-20","00:00",1.28801,1.28808,1.28192,1.28274
"2017-12-21","00:00",1.28274,1.28394,1.26999,1.27389
"2017-12-22","00:00",1.27389,1.27962,1.2698,1.27324
"2017-12-26","00:00",1.27167,1.27283,1.2683,1.26887
"2017-12-27","00:00",1.26887,1.26958,1.26276,1.26514
"2017-12-28","00:00",1.26514,1.26532,1.25618,1.25659
"2017-12-29","00:00",1.25658,1.2572,1.25151,1.25268
"2018-01-02","00:00",1.25569,1.25571,1.25004,1.25071
"2018-01-03","00:00",1.25071,1.25535,1.25007,1.25472
"2018-01-04","00:00",1.25472,1.25555,1.24838,1.24913
"2018-01-05","00:00",1.24913,1.25133,1.23555,1.24124
"2018-01-08","00:00",1.23947,1.24493,1.23786,1.24152
"2018-01-09","00:00",1.24153,1.24778,1.23984,1.24744
"2018-01-10","00:00",1.24743,1.25834,1.24281,1.25335
"2018-01-11","00:00",1.25335,1.25899,1.25158,1.25225
"2018-01-12","00:00",1.25223,1.25557,1.247,1.2472
"2018-01-15","00:00",1.24614,1.24713,1.24032,1.24287
"2018-01-16","00:00",1.24287,1.24527,1.23973,1.24259
"2018-01-17","00:00",1.24257,1.25331,1.23728,1.24442
"2018-01-18","00:00",1.24443,1.2487,1.24003,1.24115
"2018-01-19","00:00",1.24114,1.25057,1.24002,1.25057
"2018-01-22","00:00",1.24862,1.24966,1.24351,1.24535
"2018-01-23","00:00",1.24533,1.24913,1.24124,1.24154
"2018-01-24","00:00",1.24153,1.24253,1.2317,1.23512
"2018-01-25","00:00",1.23512,1.23913,1.22824,1.23794
"2018-01-26","00:00",1.23792,1.23842,1.22934,1.23258
"2018-01-29","00:00",1.23127,1.2361,1.23109,1.23358
"2018-01-30","00:00",1.23358,1.23789,1.231,1.23356
"2018-01-31","00:00",1.23355,1.23484,1.22505,1.2305
"2018-02-01","00:00",1.2305,1.23318,1.22559,1.22593
"2018-02-02","00:00",1.22593,1.24372,1.22578,1.24252
"2018-02-05","00:00",1.24345,1.25439,1.23977,1.25329
"2018-02-06","00:00",1.25331,1.25676,1.2491,1.25051
"2018-02-07","00:00",1.25053,1.25776,1.24972,1.25671
"2018-02-08","00:00",1.2567,1.26138,1.25467,1.25894
"2018-02-09","00:00",1.25894,1.26878,1.25608,1.25955
"2018-02-12","00:00",1.25885,1.26227,1.25562,1.25811
"2018-02-13","00:00",1.25807,1.2625,1.2567,1.25892
"2018-02-14","00:00",1.25893,1.26489,1.24802,1.24828
"2018-02-15","00:00",1.24826,1.25372,1.24656,1.24826
"2018-02-16","00:00",1.24825,1.25678,1.24507,1.25554
"2018-02-19","00:00",1.25575,1.25924,1.25277,1.2568
"2018-02-20","00:00",1.25679,1.26519,1.25589,1.26489
"2018-02-21","00:00",1.26489,1.27036,1.2627,1.26995
"2018-02-22","00:00",1.26995,1.27526,1.26723,1.27147
"2018-02-23","00:00",1.27147,1.27258,1.26194,1.26613
"2018-02-26","00:00",1.26485,1.27116,1.26152,1.26853
"2018-02-27","00:00",1.26855,1.27777,1.26683,1.27718
"2018-02-28","00:00",1.27718,1.28418,1.27619,1.28356
"2018-03-01","00:00",1.28356,1.28953,1.28095,1.28315
"2018-03-02","00:00",1.28315,1.29157,1.282,1.28879
"2018-03-05","00:00",1.28877,1.3001,1.28781,1.29808
"2018-03-06","00:00",1.29811,1.2995,1.28626,1.29487
