Date,Time,Open,High,Low,Close
"2017-10-30","00:00",1.28308,1.2831,1.28301,1.28303
"2017-10-30","00:01",1.28303,1.28307,1.28303,1.28305
"2017-10-30","00:02",1.28308,1.28308,1.28305,1.28306
"2017-10-30","00:03",1.28306,1.28306,1.28302,1.28303
"2017-10-30","00:04",1.28303,1.28304,1.28293,1.28293
"2017-10-30","00:05",1.28294,1.28294,1.28287,1.28287
"2017-10-30","00:06",1.28287,1.28326,1.28287,1.28326
"2017-10-30","00:07",1.28327,1.2833,1.28322,1.28324
"2017-10-30","00:08",1.28325,1.28329,1.28325,1.28327
"2017-10-30","00:09",1.28326,1.28326,1.28319,1.28319
"2017-10-30","00:10",1.28318,1.28322,1.28296,1.283
"2017-10-30","00:11",1.28299,1.28301,1.28295,1.28295
"2017-10-30","00:12",1.28293,1.28299,1.2829,1.2829
"2017-10-30","00:13",1.28291,1.28297,1.2829,1.28297
"2017-10-30","00:14",1.28297,1.28301,1.28297,1.28299
"2017-10-30","00:15",1.283,1.283,1.2829,1.28292
"2017-10-30","00:16",1.28292,1.28304,1.28291,1.28303
"2017-10-30","00:17",1.28303,1.28309,1.283,1.28309
"2017-10-30","00:18",1.28309,1.2831,1.283,1.283
"2017-10-30","00:19",1.283,1.28303,1.28283,1.28284
"2017-10-30","00:20",1.28283,1.28292,1.28268,1.28269
"2017-10-30","00:21",1.28269,1.28275,1.28268,1.28274
"2017-10-30","00:22",1.28269,1.283,1.28269,1.283
"2017-10-30","00:23",1.28299,1.28313,1.28299,1.28312
"2017-10-30","00:24",1.28313,1.28316,1.28308,1.28312
"2017-10-30","00:25",1.28313,1.28314,1.2831,1.2831
"2017-10-30","00:26",1.2831,1.28321,1.28309,1.28321
"2017-10-30","00:27",1.28321,1.28322,1.2831,1.2831
"2017-10-30","00:28",1.28311,1.28327,1.28309,1.28326
"2017-10-30","00:29",1.28325,1.28331,1.28324,1.2833
"2017-10-30","00:30",1.2833,1.28341,1.2833,1.28338
"2017-10-30","00:31",1.28336,1.28336,1.28329,1.2833
"2017-10-30","00:32",1.2833,1.28334,1.28321,1.28334
"2017-10-30","00:33",1.28334,1.28334,1.28321,1.28322
"2017-10-30","00:34",1.2832,1.28322,1.28319,1.28322
"2017-10-30","00:35",1.2832,1.2832,1.28309,1.28314
"2017-10-30","00:36",1.28314,1.28333,1.28314,1.28333
"2017-10-30","00:37",1.28334,1.28338,1.28327,1.28327
"2017-10-30","00:38",1.28329,1.28333,1.28325,1.28333
"2017-10-30","00:39",1.28331,1.28331,1.28317,1.28317
"2017-10-30","00:40",1.28317,1.28322,1.28316,1.28322
"2017-10-30","00:41",1.2832,1.28321,1.28318,1.2832
"2017-10-30","00:42",1.28321,1.28327,1.28317,1.28317
"2017-10-30","00:43",1.28317,1.2832,1.28317,1.28317
"2017-10-30","00:44",1.28317,1.28317,1.28316,1.28317
"2017-10-30","00:45",1.28316,1.28316,1.28307,1.28308
"2017-10-30","00:46",1.28308,1.28315,1.28308,1.28312
"2017-10-30","00:47",1.28312,1.28312,1.28305,1.28306
"2017-10-30","00:48",1.28306,1.28308,1.28285,1.28287
"2017-10-30","00:49",1.28288,1.28292,1.28288,1.28288
"2017-10-30","00:50",1.28288,1.28288,1.28268,1.28269
"2017-10-30","00:51",1.28269,1.28273,1.28269,1.2827
"2017-10-30","00:52",1.28271,1.28292,1.28271,1.28287
"2017-10-30","00:53",1.28288,1.28314,1.28287,1.28309
"2017-10-30","00:54",1.2831,1.28316,1.28308,1.28308
"2017-10-30","00:55",1.28307,1.28313,1.28293,1.28307
"2017-10-30","00:56",1.28309,1.2831,1.28294,1.28296
"2017-10-30","00:57",1.28296,1.28297,1.28295,1.28295
"2017-10-30","00:58",1.28295,1.28296,1.28275,1.2828
"2017-10-30","00:59",1.28279,1.2828,1.28258,1.28258
"2017-10-30","01:00",1.28256,1.28283,1.28254,1.28283
