Date,Time,Open,High,Low,Close
"2017-10-30","00:00",0.99805,0.99968,0.99389,0.99491
"2017-10-31","00:00",0.99491,0.99948,0.99477,0.99774
"2017-11-01","00:00",0.99774,1.00378,0.9976,1.0026
"2017-11-02","00:00",1.0026,1.00262,0.99496,0.99931
"2017-11-03","00:00",0.99931,1.00244,0.99494,1.00003
"2017-11-06","00:00",1.00037,1.00294,0.99729,0.99782
"2017-11-07","00:00",0.99783,1.00197,0.99735,0.99834
"2017-11-08","00:00",0.99834,1.00068,0.99816,0.99991
"2017-11-09","00:00",0.99991,1.00179,0.99221,0.99404
"2017-11-10","00:00",0.99403,0.99686,0.99255,0.99583
"2017-11-13","00:00",0.9967,0.99871,0.99364,0.9965
"2017-11-14","00:00",0.9965,0.9971,0.98822,0.98975
"2017-11-15","00:00",0.98976,0.99113,0.98468,0.98855
"2017-11-16","00:00",0.98855,0.99456,0.98841,0.99353
"2017-11-17","00:00",0.99352,0.99361,0.98764,0.9886
"2017-11-20","00:00",0.9896,0.99376,0.98791,0.99331
"2017-11-21","00:00",0.99332,0.9947,0.98994,0.99062
"2017-11-22","00:00",0.99062,0.99112,0.98061,0.98219
"2017-11-23","00:00",0.98218,0.98283,0.97954,0.98169
"2017-11-24","00:00",0.9817,0.98273,0.97858,0.97979
"2017-11-27","00:00",0.98044,0.98238,0.97791,0.98137
"2017-11-28","00:00",0.98148,0.9853,0.98034,0.98416
"2017-11-29","00:00",0.98416,0.987,0.98191,0.98453
"2017-11-30","00:00",0.98453,0.98823,0.98162,0.98405
"2017-12-01","00:00",0.98402,0.98709,0.97355,0.97665
"2017-12-04","00:00",0.98247,0.98672,0.98118,0.98471
"2017-12-05","00:00",0.98471,0.98877,0.98377,0.98757
"2017-12-06","00:00",0.98757,0.99097,0.98554,0.9894
"2017-12-07","00:00",0.98939,0.99481,0.9892,0.99478
"2017-12-08","00:00",0.99478,0.99779,0.99243,0.99299
"2017-12-11","00:00",0.99303,0.99311,0.98976,0.99147
"2017-12-12","00:00",0.99148,0.99359,0.98907,0.99155
"2017-12-13","00:00",0.99154,0.99287,0.9843,0.98553
"2017-12-14","00:00",0.98556,0.99048,0.98405,0.98904
"2017-12-15","00:00",0.98904,0.99347,0.9874,0.9905
"2017-12-18","00:00",0.99124,0.99174,0.98398,0.98569
"2017-12-19","00:00",0.98569,0.98788,0.9835,0.98559
"2017-12-20","00:00",0.98558,0.98855,0.98286,0.98633
"2017-12-21","00:00",0.98634,0.991,0.98554,0.98881
"2017-12-22","00:00",0.98882,0.99116,0.9885,0.98981
"2017-12-26","00:00",0.98913,0.99149,0.98869,0.98984
"2017-12-27","00:00",0.98985,0.99038,0.9855,0.98592
"2017-12-28","00:00",0.98592,0.98605,0.97718,0.97881
"2017-12-29","00:00",0.97883,0.97891,0.97344,0.97359
"2018-01-02","00:00",0.97484,0.97484,0.96997,0.97152
"2018-01-03","00:00",0.97152,0.97976,0.97146,0.97716
"2018-01-04","00:00",0.97716,0.97806,0.97372,0.9745
"2018-01-05","00:00",0.97453,0.97847,0.97395,0.97515
"2018-01-08","00:00",0.9751,0.97843,0.97461,0.97742
"2018-01-09","00:00",0.97742,0.98418,0.97657,0.98399
"2018-01-10","00:00",0.98398,0.98457,0.97544,0.9777
"2018-01-11","00:00",0.97772,0.98164,0.97323,0.97569
"2018-01-12","00:00",0.97569,0.97708,0.96814,0.9682
"2018-01-15","00:00",0.96819,0.96852,0.9603,0.96328
"2018-01-16","00:00",0.96327,0.96656,0.95815,0.95921
"2018-01-17","00:00",0.95921,0.96678,0.9573,0.96524
"2018-01-18","00:00",0.96524,0.96571,0.95753,0.95903
"2018-01-19","00:00",0.95903,0.96291,0.95359,0.96289
"2018-01-22","00:00",0.96157,0.96401,0.9593,0.96213
"2018-01-23","00:00",0.96213,0.96337,0.95656,0.9568
"2018-01-24","00:00",0.95678,0.95766,0.94272,0.94645
"2018-01-25","00:00",0.94644,0.94665,0.92906,0.9418
"2018-01-26","00:00",0.94181,0.94251,0.93238,0.93367
"2018-01-29","00:00",0.93351,0.93866,0.93351,0.93746
"2018-01-30","00:00",0.93746,0.93935,0.93105,0.93469
"2018-01-31","00:00",0.93468,0.93593,0.92897,0.93132
"2018-02-01","00:00",0.93132,0.93419,0.92566,0.92605
"2018-02-02","00:00",0.92606,0.93368,0.92583,0.93108
"2018-02-05","00:00",0.9313,0.93766,0.92875,0.93139
"2018-02-06","00:00",0.93137,0.93979,0.93066,0.9362
"2018-02-07","00:00",0.93622,0.94539,0.93402,0.94255
"2018-02-08","00:00",0.94256,0.94701,0.93488,0.93519
"2018-02-09","00:00",0.93517,0.94089,0.93517,0.9401
"2018-02-12","00:00",0.93971,0.94015,0.93637,0.93881
