Date,Time,Open,High,Low,Close
"2017-10-30","00:00",113.725,113.837,112.987,113.017
"2017-10-31","00:00",113.017,113.731,112.962,113.656
"2017-11-01","00:00",113.654,114.282,113.632,114.174
"2017-11-02","00:00",114.175,114.217,113.547,114.02
"2017-11-03","00:00",114.02,114.428,113.65,114.071
"2017-11-06","00:00",114.172,114.737,113.696,113.773
"2017-11-07","00:00",113.773,114.341,113.659,113.749
"2017-11-08","00:00",113.749,113.971,113.398,113.919
"2017-11-09","00:00",113.919,114.07,113.094,113.369
"2017-11-10","00:00",113.362,113.637,113.222,113.531
"2017-11-13","00:00",113.698,113.715,113.249,113.606
"2017-11-14","00:00",113.607,113.911,113.31,113.416
"2017-11-15","00:00",113.418,113.497,112.486,112.768
"2017-11-16","00:00",112.767,113.334,112.738,113.044
"2017-11-17","00:00",113.045,113.049,111.948,112.086
"2017-11-20","00:00",112.023,112.719,111.951,112.558
"2017-11-21","00:00",112.558,112.705,112.178,112.338
"2017-11-22","00:00",112.34,112.356,111.144,111.285
"2017-11-23","00:00",111.285,111.381,111.071,111.263
"2017-11-24","00:00",111.262,111.625,111.256,111.58
"2017-11-27","00:00",111.665,111.665,110.844,111.14
"2017-11-28","00:00",111.139,111.659,110.936,111.631
"2017-11-29","00:00",111.633,112.149,111.377,112.01
"2017-11-30","00:00",112.01,112.696,111.739,112.59
"2017-12-01","00:00",112.587,112.876,111.424,112.111
"2017-12-04","00:00",112.892,113.09,112.368,112.501
"2017-12-05","00:00",112.499,112.867,112.38,112.469
"2017-12-06","00:00",112.469,112.535,111.999,112.309
"2017-12-07","00:00",112.309,113.212,112.309,113.207
"2017-12-08","00:00",113.207,113.589,113.113,113.492
"2017-12-11","00:00",113.566,113.69,113.245,113.55
"2017-12-12","00:00",113.549,113.752,113.373,113.539
"2017-12-13","00:00",113.538,113.541,112.464,112.765
"2017-12-14","00:00",112.771,112.882,112.067,112.393
"2017-12-15","00:00",112.393,112.745,112.034,112.585
"2017-12-18","00:00",112.734,112.83,112.32,112.577
"2017-12-19","00:00",112.576,113.078,112.513,113.006
"2017-12-20","00:00",113.005,113.467,112.861,113.251
"2017-12-21","00:00",113.251,113.632,113.211,113.32
"2017-12-22","00:00",113.308,113.444,113.257,113.266
"2017-12-26","00:00",113.311,113.352,113.12,113.21
"2017-12-27","00:00",113.211,113.377,113.139,113.221
"2017-12-28","00:00",113.223,113.266,112.666,112.878
"2017-12-29","00:00",112.882,112.969,112.474,112.579
"2018-01-02","00:00",112.773,112.793,112.058,112.256
"2018-01-03","00:00",112.256,112.624,112.192,112.608
"2018-01-04","00:00",112.612,112.865,112.49,112.804
"2018-01-05","00:00",112.803,113.306,112.727,113.109
"2018-01-08","00:00",113.16,113.387,112.882,113.151
"2018-01-09","00:00",113.15,113.181,112.368,112.775
"2018-01-10","00:00",112.778,112.782,111.27,111.46
"2018-01-11","00:00",111.459,111.875,111.046,111.284
"2018-01-12","00:00",111.288,111.694,110.916,111.041
"2018-01-15","00:00",111.145,111.185,110.329,110.62
"2018-01-16","00:00",110.619,110.98,110.247,110.395
"2018-01-17","00:00",110.394,111.386,110.197,111.356
"2018-01-18","00:00",111.356,111.484,110.7,111.041
"2018-01-19","00:00",111.04,111.127,110.498,110.713
"2018-01-22","00:00",110.689,111.222,110.596,110.984
"2018-01-23","00:00",110.983,111.18,110.066,110.123
"2018-01-24","00:00",110.125,110.299,108.969,109.326
"2018-01-25","00:00",109.325,109.72,108.501,109.676
"2018-01-26","00:00",109.673,109.77,108.285,108.721
"2018-01-29","00:00",108.606,109.203,108.511,108.945
"2018-01-30","00:00",108.947,109.206,108.416,108.744
"2018-01-31","00:00",108.745,109.447,108.597,109.196
"2018-02-01","00:00",109.195,109.751,109.096,109.4
"2018-02-02","00:00",109.4,110.48,109.281,110.11
"2018-02-05","00:00",110.036,110.265,108.993,109.054
"2018-02-06","00:00",109.054,109.715,108.459,109.629
"2018-02-07","00:00",109.632,109.701,108.921,109.154
"2018-02-08","00:00",109.156,109.785,108.504,108.561
"2018-02-09","00:00",108.561,109.309,108.049,108.797
"2018-02-12","00:00",108.804,108.81,108.439,108.721
"2018-02-13","00:00",108.721,108.769,107.412,107.767
"2018-02-14","00:00",107.767,107.898,106.422,106.552
