Date,Time,Open,High,Low,Close
"2017-10-30","00:00",113.725,113.726,113.67,113.695
"2017-10-30","00:01",113.701,113.701,113.68,113.68
"2017-10-30","00:02",113.68,113.699,113.678,113.694
"2017-10-30","00:03",113.693,113.7,113.693,113.696
"2017-10-30","00:04",113.697,113.706,113.689,113.695
"2017-10-30","00:05",113.695,113.714,113.695,113.713
"2017-10-30","00:06",113.714,113.768,113.714,113.761
"2017-10-30","00:07",113.763,113.763,113.743,113.744
"2017-10-30","00:08",113.745,113.749,113.732,113.739
"2017-10-30","00:09",113.743,113.745,113.721,113.731
"2017-10-30","00:10",113.731,113.731,113.7,113.705
"2017-10-30","00:11",113.704,113.704,113.669,113.669
"2017-10-30","00:12",113.671,113.691,113.668,113.684
"2017-10-30","00:13",113.68,113.704,113.68,113.7
"2017-10-30","00:14",113.701,113.718,113.699,113.704
"2017-10-30","00:15",113.707,113.707,113.684,113.685
"2017-10-30","00:16",113.684,113.708,113.684,113.705
"2017-10-30","00:17",113.704,113.727,113.695,113.727
"2017-10-30","00:18",113.73,113.731,113.716,113.725
"2017-10-30","00:19",113.725,113.739,113.717,113.719
"2017-10-30","00:20",113.717,113.739,113.711,113.732
"2017-10-30","00:21",113.732,113.757,113.73,113.756
"2017-10-30","00:22",113.755,113.769,113.749,113.757
"2017-10-30","00:23",113.757,113.779,113.756,113.779
"2017-10-30","00:24",113.779,113.795,113.779,113.781
"2017-10-30","00:25",113.782,113.786,113.771,113.775
"2017-10-30","00:26",113.773,113.785,113.767,113.782
"2017-10-30","00:27",113.783,113.802,113.781,113.793
"2017-10-30","00:28",113.794,113.803,113.79,113.8
"2017-10-30","00:29",113.802,113.819,113.799,113.819
"2017-10-30","00:30",113.82,113.837,113.817,113.836
"2017-10-30","00:31",113.837,113.837,113.809,113.81
"2017-10-30","00:32",113.81,113.81,113.808,113.809
"2017-10-30","00:33",113.809,113.81,113.801,113.803
"2017-10-30","00:34",113.804,113.804,113.792,113.796
"2017-10-30","00:35",113.796,113.797,113.791,113.794
"2017-10-30","00:36",113.793,113.819,113.793,113.819
"2017-10-30","00:37",113.819,113.837,113.819,113.82
"2017-10-30","00:38",113.82,113.822,113.804,113.804
"2017-10-30","00:39",113.803,113.81,113.796,113.796
"2017-10-30","00:40",113.796,113.8,113.794,113.796
"2017-10-30","00:41",113.795,113.81,113.791,113.809
"2017-10-30","00:42",113.81,113.827,113.789,113.793
"2017-10-30","00:43",113.796,113.817,113.796,113.81
"2017-10-30","00:44",113.81,113.81,113.785,113.791
"2017-10-30","00:45",113.795,113.802,113.794,113.801
"2017-10-30","00:46",113.8,113.802,113.796,113.796
"2017-10-30","00:47",113.794,113.794,113.787,113.789
"2017-10-30","00:48",113.79,113.79,113.753,113.755
"2017-10-30","00:49",113.755,113.771,113.755,113.761
"2017-10-30","00:50",113.762,113.763,113.736,113.741
"2017-10-30","00:51",113.742,113.749,113.731,113.748
"2017-10-30","00:52",113.745,113.781,113.745,113.773
"2017-10-30","00:53",113.773,113.814,113.767,113.807
"2017-10-30","00:54",113.811,113.812,113.753,113.753
"2017-10-30","00:55",113.751,113.766,113.719,113.724
"2017-10-30","00:56",113.729,113.748,113.725,113.732
